date,week,rna_mean_faeces,ci_low_rna,ci_high_rna,level,lab
2022-01-06,2022-W01,12123.26,11287.18,13021.26,High level,external
2022-01-13,2022-W02,12113.35,11241.43,13052.89,High level,external
2022-01-20,2022-W03,19862.82,18524.46,21297.88,High level,external
2022-01-27,2022-W04,28646.97,27075.54,30309.61,High level,external
2022-02-03,2022-W05,31550.21,30014.88,33164.07,Very high level,external
2022-02-10,2022-W06,48853.97,46481.15,51347.92,Very high level,external
2022-02-17,2022-W07,38940.4,37038.9,40939.53,Very high level,external
2022-02-24,2022-W08,35749.43,34012.57,37574.99,Very high level,external
2022-03-03,2022-W09,26468.61,25030.13,27989.76,High level,external
2022-03-10,2022-W10,19380.62,18077.74,20777.41,High level,external
2022-03-17,2022-W11,16403.12,15381.71,17492.36,High level,external
2022-03-24,2022-W12,13474.51,12419.45,14619.21,High level,external
2022-03-31,2022-W13,8960.46,8271.27,9707.08,High level,external
2022-04-07,2022-W14,5383.24,5012.65,5781.22,Medium level,external
2022-04-14,2022-W15,6189.51,5652.92,6777.04,Medium level,external
2022-04-21,2022-W16,3864.95,3446.99,4333.57,Medium level,external
2022-04-28,2022-W17,2177.8,1953.98,2427.26,Medium level,external
2022-05-05,2022-W18,886.66,789.61,995.63,Low level,external
2022-05-12,2022-W19,665,579.85,762.65,Low level,external
2022-05-19,2022-W20,789.17,708.1,879.53,Low level,external
2022-05-26,2022-W21,703.63,623.76,793.73,Low level,external
2022-06-02,2022-W22,844.51,758.99,939.65,Low level,external
2022-06-09,2022-W23,861.59,752.27,986.81,Low level,external
2022-06-16,2022-W24,2104.56,1866.1,2373.49,Medium level,external
2022-06-23,2022-W25,3278.83,2972.08,3617.23,Medium level,external
2022-06-30,2022-W26,1654.76,1452.88,1884.68,Low level,external
2022-07-07,2022-W27,4295.19,3870.38,4766.63,Medium level,external
2022-07-14,2022-W28,5494.91,4867.34,6203.39,Medium level,external
2022-07-21,2022-W29,5100.89,4251.82,6119.52,Medium level,external
2022-07-28,2022-W30,4191,3745.53,4689.44,Medium level,external
2022-08-04,2022-W31,5012.95,4486.25,5601.48,Medium level,external
2022-08-11,2022-W32,5279.03,4587,6075.45,Medium level,external
2022-08-18,2022-W33,3557.26,3157.48,4007.66,Medium level,external
2022-08-25,2022-W34,3003.98,2639.65,3418.6,Medium level,external
2022-09-01,2022-W35,2185.26,1906,2505.44,Medium level,external
2022-09-08,2022-W36,2370.14,2075.57,2706.5,Medium level,external
2022-09-15,2022-W37,1946.78,1646.03,2302.47,Medium level,external
2022-09-22,2022-W38,2571.02,2230.97,2962.89,Medium level,external
2022-09-29,2022-W39,2910.75,2583.89,3278.96,Medium level,external
2022-10-06,2022-W40,5318.46,4784.43,5912.1,Medium level,external
2022-10-13,2022-W41,6146.41,5520.89,6842.8,Medium level,external
2022-10-20,2022-W42,5009.72,4464.01,5622.14,Medium level,external
2022-10-27,2022-W43,3684.16,3333.56,4071.64,Medium level,external
2022-11-03,2022-W44,2137.53,1908.94,2393.49,Medium level,external
2022-11-10,2022-W45,1881.64,1640.67,2157.99,Medium level,external
2022-11-17,2022-W46,1808.1,1548.98,2110.56,Low level,external
2022-11-24,2022-W47,2734.82,2402.96,3112.52,Medium level,external
2022-12-01,2022-W48,4134.47,3671.65,4655.62,Medium level,external
2022-12-08,2022-W49,9195.75,8292.8,10197.01,High level,external
2022-12-15,2022-W50,12283.69,10907.27,13833.8,High level,external
2022-12-22,2022-W51,11186.86,10132.36,12351.1,High level,external
2022-12-29,2022-W52,13819.55,12162.2,15702.75,High level,external
2023-01-05,2023-W01,4879.5,4301.43,5535.25,Medium level,external
2023-01-12,2023-W02,3631.51,3213.68,4103.66,Medium level,external
2023-01-19,2023-W03,1309.48,1122.55,1527.53,Low level,external
2023-01-26,2023-W04,1201.14,1038.03,1389.87,Low level,external
2023-02-02,2023-W05,1338.27,1158.59,1545.82,Low level,external
2023-02-09,2023-W06,1998.06,1584.87,2518.97,Medium level,external
2023-02-16,2023-W07,2042.97,1678.36,2486.79,Medium level,external
2023-02-23,2023-W08,1691.01,1319.55,2167.04,Low level,external
2023-03-02,2023-W09,2169.69,1712.2,2749.43,Medium level,external
2023-03-09,2023-W10,3472.72,2833.26,4256.51,Medium level,external
2023-03-16,2023-W11,3947.83,3156.64,4937.33,Medium level,external
2023-03-23,2023-W12,5738.39,4878.28,6750.15,Medium level,external
2023-03-30,2023-W13,4768.13,3979.6,5712.89,Medium level,external
2023-04-06,2023-W14,5496.44,4742.86,6369.76,Medium level,SSI
2023-04-13,2023-W15,7919.76,6868.64,9131.73,High level,SSI
2023-04-20,2023-W16,3897.37,3367.12,4511.14,Medium level,SSI
