region,date,week,rna_mean_faeces,ci_low_rna,ci_high_rna,level,lab
Capital Region of Denmark,2022-01-06,2022-W01,16847.39,14173.25,20026.07,High level,external
Central Denmark Region,2022-01-06,2022-W01,11147.55,9949.07,12490.39,High level,external
North Denmark Region,2022-01-06,2022-W01,11002.52,8810.68,13739.61,High level,external
Region Zealand,2022-01-06,2022-W01,14913.19,12747.15,17447.3,High level,external
Region of Southern Denmark,2022-01-06,2022-W01,9793,8483.91,11304.08,High level,external
Capital Region of Denmark,2022-01-13,2022-W02,17626.65,14411.2,21559.54,High level,external
Central Denmark Region,2022-01-13,2022-W02,12894.79,11459.57,14509.77,High level,external
North Denmark Region,2022-01-13,2022-W02,9040.01,7014.23,11650.86,High level,external
Region Zealand,2022-01-13,2022-W02,11165.11,9128.69,13655.81,High level,external
Region of Southern Denmark,2022-01-13,2022-W02,10991.35,9747.48,12393.93,High level,external
Capital Region of Denmark,2022-01-20,2022-W03,26255.66,22055.74,31255.34,High level,external
Central Denmark Region,2022-01-20,2022-W03,20662.33,18418.79,23179.14,High level,external
North Denmark Region,2022-01-20,2022-W03,11878.71,9072.13,15553.55,High level,external
Region Zealand,2022-01-20,2022-W03,22590.53,19424.82,26272.15,High level,external
Region of Southern Denmark,2022-01-20,2022-W03,18637.75,16561.91,20973.77,High level,external
Capital Region of Denmark,2022-01-27,2022-W04,35055,30667.34,40070.41,Very high level,external
Central Denmark Region,2022-01-27,2022-W04,29633.1,26773.13,32798.57,Very high level,external
North Denmark Region,2022-01-27,2022-W04,18971.53,15223.88,23641.75,High level,external
Region Zealand,2022-01-27,2022-W04,31079.65,27664.76,34916.06,Very high level,external
Region of Southern Denmark,2022-01-27,2022-W04,27909.27,25404.46,30661.05,High level,external
Capital Region of Denmark,2022-02-03,2022-W05,35329.76,32041.97,38954.91,Very high level,external
Central Denmark Region,2022-02-03,2022-W05,34006.88,31418.23,36808.82,Very high level,external
North Denmark Region,2022-02-03,2022-W05,28816.41,25051.97,33146.51,High level,external
Region Zealand,2022-02-03,2022-W05,27599.23,24073.72,31641.04,High level,external
Region of Southern Denmark,2022-02-03,2022-W05,31107.57,27974.15,34591.97,Very high level,external
Capital Region of Denmark,2022-02-10,2022-W06,39468.53,34475.43,45184.79,Very high level,external
Central Denmark Region,2022-02-10,2022-W06,62429.07,57322.51,67990.55,Very high level,external
North Denmark Region,2022-02-10,2022-W06,60857.32,53167.93,69658.78,Very high level,external
Region Zealand,2022-02-10,2022-W06,38951.87,34080.22,44519.91,Very high level,external
Region of Southern Denmark,2022-02-10,2022-W06,46509.12,43052.98,50242.7,Very high level,external
Capital Region of Denmark,2022-02-17,2022-W07,31273.95,26678.92,36660.39,Very high level,external
Central Denmark Region,2022-02-17,2022-W07,46337.44,42961.33,49978.85,Very high level,external
North Denmark Region,2022-02-17,2022-W07,49371.1,42091.91,57909.13,Very high level,external
Region Zealand,2022-02-17,2022-W07,28623.38,25507.88,32119.4,High level,external
Region of Southern Denmark,2022-02-17,2022-W07,41640.72,38724.72,44776.29,Very high level,external
Capital Region of Denmark,2022-02-24,2022-W08,25034.82,21008.25,29833.15,High level,external
Central Denmark Region,2022-02-24,2022-W08,40263.35,37354.91,43398.23,Very high level,external
North Denmark Region,2022-02-24,2022-W08,53600.63,46924.73,61226.29,Very high level,external
Region Zealand,2022-02-24,2022-W08,30646.37,27807.12,33775.53,Very high level,external
Region of Southern Denmark,2022-02-24,2022-W08,34802.48,31938.9,37922.81,Very high level,external
Capital Region of Denmark,2022-03-03,2022-W09,23517.65,20255.45,27305.23,High level,external
Central Denmark Region,2022-03-03,2022-W09,30851.89,28305.96,33626.82,Very high level,external
North Denmark Region,2022-03-03,2022-W09,36030.62,30796.47,42154.36,Very high level,external
Region Zealand,2022-03-03,2022-W09,20516.29,17989.05,23398.57,High level,external
Region of Southern Denmark,2022-03-03,2022-W09,25553.95,22950.76,28452.4,High level,external
Capital Region of Denmark,2022-03-10,2022-W10,14279.85,11641.17,17516.64,High level,external
Central Denmark Region,2022-03-10,2022-W10,27953.41,25527.29,30610.11,High level,external
North Denmark Region,2022-03-10,2022-W10,23796.71,20907.56,27085.09,High level,external
Region Zealand,2022-03-10,2022-W10,12316.46,10289.38,14742.9,High level,external
Region of Southern Denmark,2022-03-10,2022-W10,20700.83,18247.9,23483.49,High level,external
Capital Region of Denmark,2022-03-17,2022-W11,13154.29,11171.77,15488.63,High level,external
Central Denmark Region,2022-03-17,2022-W11,18682.26,17133.34,20371.2,High level,external
North Denmark Region,2022-03-17,2022-W11,20016.47,16044.78,24971.29,High level,external
Region Zealand,2022-03-17,2022-W11,14105.53,11594.28,17160.7,High level,external
Region of Southern Denmark,2022-03-17,2022-W11,16879.91,15193.84,18753.08,High level,external
Capital Region of Denmark,2022-03-24,2022-W12,10900.68,8317.63,14285.91,High level,external
Central Denmark Region,2022-03-24,2022-W12,15124.56,13500.43,16944.08,High level,external
North Denmark Region,2022-03-24,2022-W12,15731.39,12727.95,19443.56,High level,external
Region Zealand,2022-03-24,2022-W12,12726.39,10353.31,15643.4,High level,external
Region of Southern Denmark,2022-03-24,2022-W12,13377.57,11518.49,15536.7,High level,external
Capital Region of Denmark,2022-03-31,2022-W13,7152.53,5606.1,9125.54,Medium level,external
Central Denmark Region,2022-03-31,2022-W13,9453.23,8426.87,10604.6,High level,external
North Denmark Region,2022-03-31,2022-W13,10857.6,8745.47,13479.85,High level,external
Region Zealand,2022-03-31,2022-W13,8373.15,6779.39,10341.58,High level,external
Region of Southern Denmark,2022-03-31,2022-W13,9374.7,8064.39,10897.92,High level,external
Capital Region of Denmark,2022-04-07,2022-W14,6000.36,4998.52,7203.01,Medium level,external
Central Denmark Region,2022-04-07,2022-W14,6108.94,5404.24,6905.53,Medium level,external
North Denmark Region,2022-04-07,2022-W14,5967.38,4743.06,7507.74,Medium level,external
Region Zealand,2022-04-07,2022-W14,4251.23,3585.94,5039.94,Medium level,external
Region of Southern Denmark,2022-04-07,2022-W14,4949.04,4329.37,5657.41,Medium level,external
Capital Region of Denmark,2022-04-14,2022-W15,7117.47,5377.74,9420.02,Medium level,external
Central Denmark Region,2022-04-14,2022-W15,7064.49,6149.52,8115.59,Medium level,external
North Denmark Region,2022-04-14,2022-W15,5949.13,4471.02,7915.9,Medium level,external
Region Zealand,2022-04-14,2022-W15,6617.31,5284.15,8286.83,Medium level,external
Region of Southern Denmark,2022-04-14,2022-W15,5007.72,4304.41,5825.95,Medium level,external
Capital Region of Denmark,2022-04-21,2022-W16,3517.91,2450.57,5050.14,Medium level,external
Central Denmark Region,2022-04-21,2022-W16,4513.41,3662.92,5561.38,Medium level,external
North Denmark Region,2022-04-21,2022-W16,6102.99,4827.83,7714.96,Medium level,external
Region Zealand,2022-04-21,2022-W16,3122.47,2459.79,3963.69,Medium level,external
Region of Southern Denmark,2022-04-21,2022-W16,3379.63,2709.81,4215,Medium level,external
Capital Region of Denmark,2022-04-28,2022-W17,3236.67,2370.09,4420.1,Medium level,external
Central Denmark Region,2022-04-28,2022-W17,2532.07,2096.1,3058.73,Medium level,external
North Denmark Region,2022-04-28,2022-W17,3083.76,2251.61,4223.46,Medium level,external
Region Zealand,2022-04-28,2022-W17,1734.78,1339.79,2246.21,Low level,external
Region of Southern Denmark,2022-04-28,2022-W17,1665.01,1367.8,2026.8,Low level,external
Capital Region of Denmark,2022-05-05,2022-W18,1099.68,864.61,1398.67,Low level,external
Central Denmark Region,2022-05-05,2022-W18,1050.32,846.65,1302.99,Low level,external
North Denmark Region,2022-05-05,2022-W18,1171.01,846.2,1620.49,Low level,external
Region Zealand,2022-05-05,2022-W18,565.46,416.74,767.25,Low level,external
Region of Southern Denmark,2022-05-05,2022-W18,798.51,638.87,998.04,Low level,external
Capital Region of Denmark,2022-05-12,2022-W19,769.02,562.65,1051.08,Low level,external
Central Denmark Region,2022-05-12,2022-W19,675.55,500.83,911.23,Low level,external
North Denmark Region,2022-05-12,2022-W19,642.41,456.71,903.63,Low level,external
Region Zealand,2022-05-12,2022-W19,445.11,337.02,587.87,Very low level,external
Region of Southern Denmark,2022-05-12,2022-W19,797.01,604.46,1050.88,Low level,external
Capital Region of Denmark,2022-05-19,2022-W20,1485.14,1177.13,1873.74,Low level,external
Central Denmark Region,2022-05-19,2022-W20,945.92,780.95,1145.73,Low level,external
North Denmark Region,2022-05-19,2022-W20,649.43,468.28,900.64,Low level,external
Region Zealand,2022-05-19,2022-W20,605.21,474.58,771.8,Low level,external
Region of Southern Denmark,2022-05-19,2022-W20,598.69,481.72,744.05,Low level,external
Capital Region of Denmark,2022-05-26,2022-W21,1350.3,1052.89,1731.71,Low level,external
Central Denmark Region,2022-05-26,2022-W21,640.59,516.43,794.61,Low level,external
North Denmark Region,2022-05-26,2022-W21,771.6,511.29,1164.44,Low level,external
Region Zealand,2022-05-26,2022-W21,818.38,636.22,1052.7,Low level,external
Region of Southern Denmark,2022-05-26,2022-W21,454.6,360.84,572.73,Very low level,external
Capital Region of Denmark,2022-06-02,2022-W22,1260.12,958.8,1656.14,Low level,external
Central Denmark Region,2022-06-02,2022-W22,991.89,812.84,1210.39,Low level,external
North Denmark Region,2022-06-02,2022-W22,1031.4,808.16,1316.3,Low level,external
Region Zealand,2022-06-02,2022-W22,811.42,623.41,1056.12,Low level,external
Region of Southern Denmark,2022-06-02,2022-W22,548,447.61,670.9,Low level,external
Capital Region of Denmark,2022-06-09,2022-W23,1675.37,1258.32,2230.63,Low level,external
Central Denmark Region,2022-06-09,2022-W23,888.26,692.62,1139.15,Low level,external
North Denmark Region,2022-06-09,2022-W23,787.43,524.89,1181.29,Low level,external
Region Zealand,2022-06-09,2022-W23,766.68,572.18,1027.29,Low level,external
Region of Southern Denmark,2022-06-09,2022-W23,623.85,473.56,821.82,Low level,external
Capital Region of Denmark,2022-06-16,2022-W24,4839.4,3755.42,6236.27,Medium level,external
Central Denmark Region,2022-06-16,2022-W24,2194.73,1794.04,2684.93,Medium level,external
North Denmark Region,2022-06-16,2022-W24,1447.49,1021.44,2051.24,Low level,external
Region Zealand,2022-06-16,2022-W24,2601.44,2062.33,3281.48,Medium level,external
Region of Southern Denmark,2022-06-16,2022-W24,1215.99,943.75,1566.76,Low level,external
Capital Region of Denmark,2022-06-23,2022-W25,5760.7,4546.12,7299.77,Medium level,external
Central Denmark Region,2022-06-23,2022-W25,3289.82,2734.83,3957.45,Medium level,external
North Denmark Region,2022-06-23,2022-W25,2319.14,1642,3275.53,Medium level,external
Region Zealand,2022-06-23,2022-W25,3696.17,2953.76,4625.18,Medium level,external
Region of Southern Denmark,2022-06-23,2022-W25,2492.85,2124.74,2924.74,Medium level,external
