target,sample,sampling_date,city,inhabitants,flow,copies_l,copies_day_inhabitant,pmmov_normalised
Influenza A virus,w35y23gav,2023-08-28,Gavle,89000,NA,NA,NA,NA
Influenza A virus,w35y23got,2023-08-28,Goteborg,800000,NA,NA,NA,NA
Influenza A virus,w35y23hel,2023-08-28,Helsingborg,149000,NA,NA,NA,NA
Influenza A virus,w35y23jon,2023-08-28,Jonkoping,71000,NA,NA,NA,NA
Influenza A virus,w35y23kal,2023-08-28,Kalmar,66000,NA,NA,NA,NA
Influenza A virus,w35y23ksd,2023-08-28,Karlstad,70000,NA,NA,NA,NA
Influenza A virus,w35y23lin,2023-08-28,Linkoping,154000,NA,NA,NA,NA
Influenza A virus,w35y23lul,2023-08-28,Lulea,70000,NA,NA,NA,NA
Influenza A virus,w35y23mal,2023-08-28,Malmo,356000,NA,NA,NA,NA
Influenza A virus,w35y23ohm,2023-08-28,Osthammar,4500,NA,NA,NA,NA
Influenza A virus,w35y23ore,2023-08-28,Orebro,137000,NA,NA,NA,NA
Influenza A virus,w35y23osd,2023-08-28,Ostersund,54000,NA,NA,NA,NA
Influenza A virus,w35y23stb,2023-08-28,Stockholm-Bromma,375000,NA,NA,NA,NA
Influenza A virus,w35y23stg,2023-08-28,Stockholm-Grodinge,345000,NA,NA,NA,NA
Influenza A virus,w35y23sth,2023-08-28,Stockholm-Henriksdal,875000,NA,NA,NA,NA
Influenza A virus,w35y23stk,2023-08-28,Stockholm-Kappala,500000,NA,NA,NA,NA
Influenza A virus,w35y23ume,2023-08-28,Umea,109000,NA,NA,NA,NA
Influenza A virus,w35y23upc,2023-08-28,Uppsala,191000,NA,NA,NA,NA
Influenza A virus,w35y23vas,2023-08-28,Vasteras,145000,NA,NA,NA,NA
Influenza B virus,w35y23gav,2023-08-28,Gavle,89000,NA,NA,NA,NA
Influenza B virus,w35y23got,2023-08-28,Goteborg,800000,NA,NA,NA,NA
Influenza B virus,w35y23hel,2023-08-28,Helsingborg,149000,NA,NA,NA,NA
Influenza B virus,w35y23jon,2023-08-28,Jonkoping,71000,NA,NA,NA,NA
Influenza B virus,w35y23kal,2023-08-28,Kalmar,66000,NA,NA,NA,NA
Influenza B virus,w35y23ksd,2023-08-28,Karlstad,70000,NA,NA,NA,NA
Influenza B virus,w35y23lin,2023-08-28,Linkoping,154000,NA,NA,NA,NA
Influenza B virus,w35y23lul,2023-08-28,Lulea,70000,NA,NA,NA,NA
Influenza B virus,w35y23mal,2023-08-28,Malmo,356000,NA,NA,NA,NA
Influenza B virus,w35y23ohm,2023-08-28,Osthammar,4500,NA,NA,NA,NA
Influenza B virus,w35y23ore,2023-08-28,Orebro,137000,NA,NA,NA,NA
Influenza B virus,w35y23osd,2023-08-28,Ostersund,54000,NA,NA,NA,NA
Influenza B virus,w35y23stb,2023-08-28,Stockholm-Bromma,375000,NA,NA,NA,NA
Influenza B virus,w35y23stg,2023-08-28,Stockholm-Grodinge,345000,NA,NA,NA,NA
Influenza B virus,w35y23sth,2023-08-28,Stockholm-Henriksdal,875000,NA,NA,NA,NA
Influenza B virus,w35y23stk,2023-08-28,Stockholm-Kappala,500000,NA,NA,NA,NA
Influenza B virus,w35y23ume,2023-08-28,Umea,109000,NA,NA,NA,NA
Influenza B virus,w35y23upc,2023-08-28,Uppsala,191000,NA,NA,NA,NA
Influenza B virus,w35y23vas,2023-08-28,Vasteras,145000,NA,NA,NA,NA
RSV,w35y23gav,2023-08-28,Gavle,89000,NA,NA,NA,NA
RSV,w35y23got,2023-08-28,Goteborg,800000,NA,0.3094852973048381,47.499803430346546,0.06080648241114103
RSV,w35y23hel,2023-08-28,Helsingborg,149000,NA,NA,NA,NA
RSV,w35y23jon,2023-08-28,Jonkoping,71000,NA,0.15627100221517518,62.3345218836053,0.04797663133718256
RSV,w35y23kal,2023-08-28,Kalmar,66000,NA,0.3896830179702789,105.5332464121328,0.04252367852584342
RSV,w35y23ksd,2023-08-28,Karlstad,70000,NA,NA,NA,NA
RSV,w35y23lin,2023-08-28,Linkoping,154000,NA,0.02248925380217903,7.495785119558751,0.01134753663220102
RSV,w35y23lul,2023-08-28,Lulea,70000,NA,NA,NA,NA
RSV,w35y23mal,2023-08-28,Malmo,356000,NA,0.2931932233394253,93.2074434219554,0.04817919082033477
RSV,w35y23ohm,2023-08-28,Osthammar,4500,NA,NA,NA,NA
RSV,w35y23ore,2023-08-28,Orebro,137000,NA,0.3269394829460619,158.12416160588367,0.2806069819751676
RSV,w35y23osd,2023-08-28,Ostersund,54000,NA,0.3495939004105499,127.77009663893728,0.06098078287770706
