valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,popExtrapolation,totalConsultationsExtrapolation,incValue,prctConsultations,prct,trend,dataComplete
consultations,2013-W01,week,CH,country,all,agegroup_ili_ari,all,7198.7,105152.2,5594,88.44,1.66,100,NA,TRUE
consultations,2013-W01,week,region_1,sentinella_region,all,agegroup_ili_ari,all,911.2,17011.2,777,52.91,1.16,13,NA,TRUE
consultations,2013-W01,week,region_2,sentinella_region,all,agegroup_ili_ari,all,727.7,20718.5,1007,53.09,1.09,10.4,NA,TRUE
consultations,2013-W01,week,region_3,sentinella_region,all,agegroup_ili_ari,all,1898.2,13670.8,743,138.98,2.56,27.1,NA,TRUE
consultations,2013-W01,week,region_4,sentinella_region,all,agegroup_ili_ari,all,739.3,15706.6,862,95.5,1.74,10.5,NA,TRUE
consultations,2013-W01,week,region_5,sentinella_region,all,agegroup_ili_ari,all,1200.4,29557.7,1679,50.75,0.89,17.1,NA,TRUE
consultations,2013-W01,week,region_6,sentinella_region,all,agegroup_ili_ari,all,1531.2,8487.4,526,282.77,4.56,21.8,NA,TRUE
consultations,2013-W01,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W02,week,CH,country,all,agegroup_ili_ari,all,12341.3,163563.8,14193,151.62,1.75,100,NA,TRUE
consultations,2013-W02,week,region_1,sentinella_region,all,agegroup_ili_ari,all,1983.5,32993.4,2460,115.17,1.54,17.3,NA,TRUE
consultations,2013-W02,week,region_2,sentinella_region,all,agegroup_ili_ari,all,1982.4,27655.8,2220,144.63,1.8,17.3,NA,TRUE
consultations,2013-W02,week,region_3,sentinella_region,all,agegroup_ili_ari,all,964.1,19832.3,1771,70.59,0.79,8.4,NA,TRUE
consultations,2013-W02,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1239.8,20605.1,1834,160.15,1.8,10.8,NA,TRUE
consultations,2013-W02,week,region_5,sentinella_region,all,agegroup_ili_ari,all,3428.6,47602.8,4389,144.95,1.57,29.8,NA,TRUE
consultations,2013-W02,week,region_6,sentinella_region,all,agegroup_ili_ari,all,1893.1,14874.3,1519,349.6,3.42,16.5,NA,TRUE
consultations,2013-W02,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W03,week,CH,country,all,agegroup_ili_ari,all,16895.4,174401.4,15297,207.57,2.37,100,rising,TRUE
consultations,2013-W03,week,region_1,sentinella_region,all,agegroup_ili_ari,all,3189.7,37255.7,2835,185.21,2.43,19.3,rising,TRUE
consultations,2013-W03,week,region_2,sentinella_region,all,agegroup_ili_ari,all,2996.8,31559.4,2603,218.64,2.65,18.2,rising,TRUE
consultations,2013-W03,week,region_3,sentinella_region,all,agegroup_ili_ari,all,1976,24192,2195,144.68,1.59,12,stagnant,TRUE
consultations,2013-W03,week,region_4,sentinella_region,all,agegroup_ili_ari,all,1658.2,20075.2,1811,214.2,2.37,10,rising,TRUE
consultations,2013-W03,week,region_5,sentinella_region,all,agegroup_ili_ari,all,4536.1,47453.5,4429,191.77,2.05,27.5,rising,TRUE
consultations,2013-W03,week,region_6,sentinella_region,all,agegroup_ili_ari,all,2147.9,13865.6,1424,396.66,3.86,13,rising,TRUE
consultations,2013-W03,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W04,week,CH,country,all,agegroup_ili_ari,all,24575.2,175211.1,15091,301.92,3.51,100,rising,TRUE
consultations,2013-W04,week,region_1,sentinella_region,all,agegroup_ili_ari,all,5278.8,36540.7,2745,306.51,4.08,21.9,rising,TRUE
consultations,2013-W04,week,region_2,sentinella_region,all,agegroup_ili_ari,all,4550.7,31625.9,2551,332.01,4.12,18.9,rising,TRUE
consultations,2013-W04,week,region_3,sentinella_region,all,agegroup_ili_ari,all,4594.5,22889.7,2032,336.4,3.79,19.1,rising,TRUE
consultations,2013-W04,week,region_4,sentinella_region,all,agegroup_ili_ari,all,2075.7,20139.4,1780,268.13,3.03,8.6,rising,TRUE
consultations,2013-W04,week,region_5,sentinella_region,all,agegroup_ili_ari,all,5200.5,48212.2,4393,219.86,2.41,21.6,rising,TRUE
consultations,2013-W04,week,region_6,sentinella_region,all,agegroup_ili_ari,all,2398.6,15803.2,1590,442.95,4.4,10,rising,TRUE
consultations,2013-W04,week,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W05,week,CH,country,all,agegroup_ili_ari,all,34038.3,177674.4,14982,418.18,4.96,100,rising,TRUE
consultations,2013-W05,week,region_1,sentinella_region,all,agegroup_ili_ari,all,8659.8,38979.1,2883,502.83,6.8,25.9,rising,TRUE
consultations,2013-W05,week,region_2,sentinella_region,all,agegroup_ili_ari,all,6614.9,32738.5,2609,482.61,6.06,19.8,rising,TRUE
