Date,ILI | Per 100 000 inhabitants
04.01.2013,88.44
11.01.2013,151.62
18.01.2013,207.57
25.01.2013,301.92
01.02.2013,418.18
08.02.2013,483.13
15.02.2013,384.71
22.02.2013,315.47
01.03.2013,218.76
08.03.2013,218.4
15.03.2013,107.8
22.03.2013,80.56
29.03.2013,45.04
05.04.2013,26.31
12.04.2013,20.87
19.04.2013,7.73
26.04.2013,4.58
03.05.2013,4.42
10.05.2013,7.52
17.05.2013,5.23
24.05.2013,4.58
31.05.2013,4.6
07.06.2013,3.41
14.06.2013,2.7
21.06.2013,1.8
28.06.2013,2.23
05.07.2013,2.49
12.07.2013,1.83
19.07.2013,1.18
26.07.2013,1.62
02.08.2013,1.4
09.08.2013,2.76
16.08.2013,0.62
23.08.2013,1.21
30.08.2013,1.77
06.09.2013,6.48
13.09.2013,1.27
20.09.2013,2.37
27.09.2013,5.06
04.10.2013,9.6
11.10.2013,11.39
18.10.2013,16.02
25.10.2013,10.45
01.11.2013,7.79
08.11.2013,18.23
15.11.2013,14.13
22.11.2013,25.36
29.11.2013,13.29
06.12.2013,16.59
13.12.2013,14.68
20.12.2013,22.75
27.12.2013,9.56
03.01.2014,22.03
10.01.2014,45.7
17.01.2014,53.86
24.01.2014,72.21
31.01.2014,94.65
07.02.2014,123.96
14.02.2014,141.83
21.02.2014,141.91
28.02.2014,132.77
07.03.2014,98.77
14.03.2014,67.79
21.03.2014,60.25
28.03.2014,29.64
04.04.2014,24.25
11.04.2014,11
18.04.2014,14.54
25.04.2014,2.08
02.05.2014,5.53
09.05.2014,6.68
16.05.2014,2.66
23.05.2014,5.19
30.05.2014,0.63
06.06.2014,2.21
13.06.2014,0.69
20.06.2014,1.68
27.06.2014,0.59
04.07.2014,1.69
11.07.2014,1.74
18.07.2014,2.33
25.07.2014,1.1
01.08.2014,0
08.08.2014,0.64
15.08.2014,1.22
22.08.2014,1.14
29.08.2014,2.98
05.09.2014,1.23
12.09.2014,2.81
19.09.2014,5.88
26.09.2014,5.7
03.10.2014,3.99
10.10.2014,7.03
17.10.2014,7.14
24.10.2014,11.9
31.10.2014,9.47
07.11.2014,11.7
14.11.2014,17.87
