time,rna_copies,label,filename,virus
2023-06-19,18925808874.12605,none,Mov-RSV-BET.csv,RSV
2023-06-26,0.0,none,Mov-RSV-BET.csv,RSV
2023-07-03,27858674319.988834,none,Mov-RSV-BET.csv,RSV
2023-07-10,18572449546.65922,none,Mov-RSV-BET.csv,RSV
2023-07-17,18572449546.65922,none,Mov-RSV-BET.csv,RSV
2023-07-24,0.0,none,Mov-RSV-BET.csv,RSV
2023-07-31,0.0,none,Mov-RSV-BET.csv,RSV
2023-08-07,0.0,none,Mov-RSV-BET.csv,RSV
2023-08-14,0.0,none,Mov-RSV-BET.csv,RSV
2023-08-21,0.0,none,Mov-RSV-BET.csv,RSV
2023-08-28,0.0,none,Mov-RSV-BET.csv,RSV
2023-09-04,0.0,none,Mov-RSV-BET.csv,RSV
2023-09-11,0.0,none,Mov-RSV-BET.csv,RSV
2023-09-18,0.0,none,Mov-RSV-BET.csv,RSV
2023-09-25,0.0,none,Mov-RSV-BET.csv,RSV
2023-10-02,0.0,start,Mov-RSV-BET.csv,RSV
2023-10-09,36181632749.17233,start,Mov-RSV-BET.csv,RSV
2023-10-16,36181632749.17233,start,Mov-RSV-BET.csv,RSV
2023-10-23,36181632749.17233,start,Mov-RSV-BET.csv,RSV
2023-10-30,0.0,start,Mov-RSV-BET.csv,RSV
2023-11-06,113151650474.64166,on going,Mov-RSV-BET.csv,RSV
2023-11-13,215886729018.93237,on going,Mov-RSV-BET.csv,RSV
2023-11-20,502419291451.6644,on going,Mov-RSV-BET.csv,RSV
2023-11-27,844264445773.4694,on going,Mov-RSV-BET.csv,RSV
2023-12-04,1263159056705.4487,on going,Mov-RSV-BET.csv,RSV
2023-12-11,1306748672033.8984,on going,Mov-RSV-BET.csv,RSV
2023-12-18,1374979081487.3184,on going,Mov-RSV-BET.csv,RSV
2023-12-25,1280024088016.5725,on going,Mov-RSV-BET.csv,RSV
2024-01-01,909845453244.1176,on going,Mov-RSV-BET.csv,RSV
2024-01-08,422637245209.676,on going,Mov-RSV-BET.csv,RSV
2024-01-15,367873617752.0434,on going,Mov-RSV-BET.csv,RSV
2024-01-22,392311026634.64136,on going,Mov-RSV-BET.csv,RSV
2024-01-29,255115348768.32263,on going,Mov-RSV-BET.csv,RSV
2024-02-05,222372617636.34167,on going,Mov-RSV-BET.csv,RSV
2024-02-12,191300324650.244,on going,Mov-RSV-BET.csv,RSV
2024-02-19,186480884083.8763,on going,Mov-RSV-BET.csv,RSV
2024-02-26,181996956233.054,on going,Mov-RSV-BET.csv,RSV
2024-03-04,143655050665.63632,on going,Mov-RSV-BET.csv,RSV
2024-03-11,195088157542.14368,end,Mov-RSV-BET.csv,RSV
2024-03-18,146199362246.021,end,Mov-RSV-BET.csv,RSV
2024-03-25,107839730670.72668,end,Mov-RSV-BET.csv,RSV
2024-04-01,0.0,none,Mov-RSV-BET.csv,RSV
2024-04-08,0.0,none,Mov-RSV-BET.csv,RSV
2024-04-15,0.0,none,Mov-RSV-BET.csv,RSV
2024-04-22,0.0,none,Mov-RSV-BET.csv,RSV
2024-04-29,0.0,none,Mov-RSV-BET.csv,RSV
2024-05-06,0.0,none,Mov-RSV-BET.csv,RSV
2024-05-13,0.0,none,Mov-RSV-BET.csv,RSV
2024-05-20,0.0,none,Mov-RSV-BET.csv,RSV
2024-05-27,0.0,none,Mov-RSV-BET.csv,RSV
2024-06-03,32134429386.630863,none,Mov-RSV-BET.csv,RSV
2024-06-10,32134429386.630863,none,Mov-RSV-BET.csv,RSV
2024-06-17,48201644079.9463,none,Mov-RSV-BET.csv,RSV
2024-06-24,0.0,none,Mov-RSV-BET.csv,RSV
2024-07-01,0.0,none,Mov-RSV-BET.csv,RSV
2024-07-08,19015806836.9063,none,Mov-RSV-BET.csv,RSV
2024-07-15,19015806836.9063,none,Mov-RSV-BET.csv,RSV
2024-07-22,19015806836.9063,none,Mov-RSV-BET.csv,RSV
2024-07-29,0.0,none,Mov-RSV-BET.csv,RSV
2024-08-05,19725398891.6166,none,Mov-RSV-BET.csv,RSV
2024-08-12,19725398891.6166,none,Mov-RSV-BET.csv,RSV
2024-08-19,19725398891.6166,none,Mov-RSV-BET.csv,RSV
2024-08-26,0.0,none,Mov-RSV-BET.csv,RSV
2024-09-02,0.0,none,Mov-RSV-BET.csv,RSV
2024-09-09,0.0,none,Mov-RSV-BET.csv,RSV
2024-09-16,0.0,start,Mov-RSV-BET.csv,RSV
2024-09-23,65269472525.22867,start,Mov-RSV-BET.csv,RSV
2024-09-30,102471394684.25668,start,Mov-RSV-BET.csv,RSV
2024-10-07,102471394684.25668,start,Mov-RSV-BET.csv,RSV
2024-10-14,37201922159.028,start,Mov-RSV-BET.csv,RSV
2024-10-21,31748152409.5494,start,Mov-RSV-BET.csv,RSV
2024-10-28,31748152409.5494,start,Mov-RSV-BET.csv,RSV
2024-11-04,66609977914.45573,start,Mov-RSV-BET.csv,RSV
2024-11-11,61635971010.70792,start,Mov-RSV-BET.csv,RSV
2024-11-18,92453956516.06187,start,Mov-RSV-BET.csv,RSV
2024-11-25,132144631836.1974,on going,Mov-RSV-BET.csv,RSV
2024-12-02,252572486215.875,on going,Mov-RSV-BET.csv,RSV
2024-12-09,423895747283.764,on going,Mov-RSV-BET.csv,RSV
2024-12-16,645757201635.1053,on going,Mov-RSV-BET.csv,RSV
2024-12-23,808046729814.2781,on going,Mov-RSV-BET.csv,RSV
2025-01-06,849551190209.014,on going,Mov-RSV-BET.csv,RSV
2025-01-13,765666736528.329,on going,Mov-RSV-BET.csv,RSV
2025-01-20,846163148538.3875,on going,Mov-RSV-BET.csv,RSV
2025-01-27,891004018078.4469,on going,Mov-RSV-BET.csv,RSV
2025-02-03,779890666538.2861,on going,Mov-RSV-BET.csv,RSV
2025-02-10,643379407490.757,on going,Mov-RSV-BET.csv,RSV
2025-02-17,509251457619.4344,on going,Mov-RSV-BET.csv,RSV
2025-02-24,586348945014.1339,on going,Mov-RSV-BET.csv,RSV
2025-03-03,471776113253.7026,on going,Mov-RSV-BET.csv,RSV
2025-03-10,546443082612.4329,on going,Mov-RSV-BET.csv,RSV
2025-03-17,495528935268.0534,on going,Mov-RSV-BET.csv,RSV
2025-03-24,576633421903.3376,on going,Mov-RSV-BET.csv,RSV
2025-03-31,448367365978.7564,on going,Mov-RSV-BET.csv,RSV
2025-04-07,345304215879.627,on going,Mov-RSV-BET.csv,RSV
2025-04-14,245087062853.5267,on going,Mov-RSV-BET.csv,RSV
2025-04-21,385374823754.5913,on going,Mov-RSV-BET.csv,RSV
2025-04-28,359764156054.123,on going,Mov-RSV-BET.csv,RSV
2025-05-05,338018743909.7044,end,Mov-RSV-BET.csv,RSV
2025-05-12,73491341203.26634,end,Mov-RSV-BET.csv,RSV
2025-05-19,31872924983.262,end,Mov-RSV-BET.csv,RSV
2025-05-26,14928574143.6416,end,Mov-RSV-BET.csv,RSV
2025-06-02,0.0,end,Mov-RSV-BET.csv,RSV
2025-06-09,0.0,end,Mov-RSV-BET.csv,RSV
2025-06-16,23040751502.0789,end,Mov-RSV-BET.csv,RSV
2025-06-23,23040751502.0789,none,Mov-RSV-BET.csv,RSV
