time,rna_copies,label,filename,virus
2024-10-14,0.0,none,Mov-RSV-BLE.csv,RSV
2024-10-21,0.0,start,Mov-RSV-BLE.csv,RSV
2024-10-28,98703143411.39232,start,Mov-RSV-BLE.csv,RSV
2024-11-04,179254786371.34967,start,Mov-RSV-BLE.csv,RSV
2024-11-11,294561544889.67365,start,Mov-RSV-BLE.csv,RSV
2024-11-18,293787602217.422,start,Mov-RSV-BLE.csv,RSV
2024-11-25,470711419047.0245,on going,Mov-RSV-BLE.csv,RSV
2024-12-02,654149439427.755,on going,Mov-RSV-BLE.csv,RSV
2024-12-09,1062276648178.8134,on going,Mov-RSV-BLE.csv,RSV
2024-12-16,1317431246940.1443,on going,Mov-RSV-BLE.csv,RSV
2024-12-23,1619748712252.0,on going,Mov-RSV-BLE.csv,RSV
2025-01-06,1360966358823.07,on going,Mov-RSV-BLE.csv,RSV
2025-01-13,456960470763.526,on going,Mov-RSV-BLE.csv,RSV
2025-01-20,480380318333.596,on going,Mov-RSV-BLE.csv,RSV
2025-01-27,781604989849.6539,on going,Mov-RSV-BLE.csv,RSV
2025-02-03,629284832928.4786,on going,Mov-RSV-BLE.csv,RSV
2025-02-10,518714847680.3217,on going,Mov-RSV-BLE.csv,RSV
2025-02-17,222814457953.8047,on going,Mov-RSV-BLE.csv,RSV
2025-02-24,454607032878.8784,on going,Mov-RSV-BLE.csv,RSV
2025-03-03,397243629492.48,on going,Mov-RSV-BLE.csv,RSV
2025-03-10,524537327753.81805,on going,Mov-RSV-BLE.csv,RSV
2025-03-17,440644313797.1724,on going,Mov-RSV-BLE.csv,RSV
2025-03-24,534584637885.2064,on going,Mov-RSV-BLE.csv,RSV
2025-03-31,416091100907.5027,on going,Mov-RSV-BLE.csv,RSV
2025-04-07,543616342458.993,on going,Mov-RSV-BLE.csv,RSV
2025-04-14,539097772920.1646,end,Mov-RSV-BLE.csv,RSV
2025-04-21,460865569913.1124,end,Mov-RSV-BLE.csv,RSV
2025-04-28,282831357103.904,end,Mov-RSV-BLE.csv,RSV
2025-05-05,282481176162.5137,end,Mov-RSV-BLE.csv,RSV
2025-05-12,255717672073.246,end,Mov-RSV-BLE.csv,RSV
2025-05-19,158327082362.536,end,Mov-RSV-BLE.csv,RSV
2025-05-26,163829129526.41165,end,Mov-RSV-BLE.csv,RSV
2025-06-02,94573620771.691,end,Mov-RSV-BLE.csv,RSV
2025-06-09,94573620771.691,end,Mov-RSV-BLE.csv,RSV
2025-06-16,0.0,none,Mov-RSV-BLE.csv,RSV
2025-06-23,0.0,none,Mov-RSV-BLE.csv,RSV
