time,rna_copies,label,filename,virus
2024-10-14,0.0,none,Mov-RSV-ECH.csv,RSV
2024-10-21,0.0,none,Mov-RSV-ECH.csv,RSV
2024-10-28,0.0,none,Mov-RSV-ECH.csv,RSV
2024-11-04,34449862952.698,start,Mov-RSV-ECH.csv,RSV
2024-11-11,34449862952.698,start,Mov-RSV-ECH.csv,RSV
2024-11-18,51674794429.047,start,Mov-RSV-ECH.csv,RSV
2024-11-25,0.0,start,Mov-RSV-ECH.csv,RSV
2024-12-02,0.0,start,Mov-RSV-ECH.csv,RSV
2024-12-09,99811038939.36566,start,Mov-RSV-ECH.csv,RSV
2024-12-16,202864783087.979,start,Mov-RSV-ECH.csv,RSV
2024-12-23,304297174631.9685,start,Mov-RSV-ECH.csv,RSV
2025-01-06,309161232445.84,start,Mov-RSV-ECH.csv,RSV
2025-01-13,396913647985.504,on going,Mov-RSV-ECH.csv,RSV
2025-01-20,931602516294.207,on going,Mov-RSV-ECH.csv,RSV
2025-01-27,1111847973452.9814,on going,Mov-RSV-ECH.csv,RSV
2025-02-03,1154708217927.743,on going,Mov-RSV-ECH.csv,RSV
2025-02-10,1049192731773.1992,on going,Mov-RSV-ECH.csv,RSV
2025-02-17,913560923633.1228,on going,Mov-RSV-ECH.csv,RSV
2025-02-24,2039890893702.7332,on going,Mov-RSV-ECH.csv,RSV
2025-03-03,1814188524443.529,on going,Mov-RSV-ECH.csv,RSV
2025-03-10,1680251808569.5947,on going,Mov-RSV-ECH.csv,RSV
2025-03-17,510325380585.8223,on going,Mov-RSV-ECH.csv,RSV
2025-03-24,1004813780912.9366,on going,Mov-RSV-ECH.csv,RSV
2025-03-31,1091001245976.2368,on going,Mov-RSV-ECH.csv,RSV
2025-04-07,959432910087.136,on going,Mov-RSV-ECH.csv,RSV
2025-04-14,418099008429.438,on going,Mov-RSV-ECH.csv,RSV
2025-04-21,347959669712.222,end,Mov-RSV-ECH.csv,RSV
2025-04-28,347959669712.222,end,Mov-RSV-ECH.csv,RSV
2025-05-05,289688083199.7477,end,Mov-RSV-ECH.csv,RSV
2025-05-12,135879832971.953,end,Mov-RSV-ECH.csv,RSV
2025-05-19,135879832971.953,end,Mov-RSV-ECH.csv,RSV
2025-05-26,83450981361.122,end,Mov-RSV-ECH.csv,RSV
2025-06-02,0.0,none,Mov-RSV-ECH.csv,RSV
2025-06-09,0.0,none,Mov-RSV-ECH.csv,RSV
2025-06-16,0.0,none,Mov-RSV-ECH.csv,RSV
2025-06-23,0.0,none,Mov-RSV-ECH.csv,RSV
