time,rna_copies,label,filename,virus
2020-04-20,557924478334.4097,none,Mov-SARS-CoV-BEG.csv,SARS
2020-04-27,295902043504.57294,none,Mov-SARS-CoV-BEG.csv,SARS
2020-05-04,125960680894.59384,none,Mov-SARS-CoV-BEG.csv,SARS
2020-05-11,97092347128.24516,none,Mov-SARS-CoV-BEG.csv,SARS
2020-05-18,121006294343.19284,none,Mov-SARS-CoV-BEG.csv,SARS
2020-05-25,125712305734.60118,none,Mov-SARS-CoV-BEG.csv,SARS
2020-06-01,100095255474.62984,none,Mov-SARS-CoV-BEG.csv,SARS
2020-06-08,29709380593.57217,none,Mov-SARS-CoV-BEG.csv,SARS
2020-06-15,0.0,none,Mov-SARS-CoV-BEG.csv,SARS
2020-06-22,0.0,none,Mov-SARS-CoV-BEG.csv,SARS
2020-06-29,94520610246.13434,none,Mov-SARS-CoV-BEG.csv,SARS
2020-07-06,133634088105.684,none,Mov-SARS-CoV-BEG.csv,SARS
2020-07-13,224427238768.35165,none,Mov-SARS-CoV-BEG.csv,SARS
2020-07-20,231999028211.70364,none,Mov-SARS-CoV-BEG.csv,SARS
2020-07-27,265098169754.99496,none,Mov-SARS-CoV-BEG.csv,SARS
2020-08-03,275025143671.0913,none,Mov-SARS-CoV-BEG.csv,SARS
2020-08-10,317988560891.3443,none,Mov-SARS-CoV-BEG.csv,SARS
2020-08-17,494983335139.1546,none,Mov-SARS-CoV-BEG.csv,SARS
2020-08-24,419576158260.3309,none,Mov-SARS-CoV-BEG.csv,SARS
2020-08-31,324807923971.85895,none,Mov-SARS-CoV-BEG.csv,SARS
2020-09-07,117532142915.21794,start,Mov-SARS-CoV-BEG.csv,SARS
2020-09-14,216917705640.8087,start,Mov-SARS-CoV-BEG.csv,SARS
2020-09-21,228560795381.85965,start,Mov-SARS-CoV-BEG.csv,SARS
2020-09-28,310035560205.42633,start,Mov-SARS-CoV-BEG.csv,SARS
2020-10-05,322979531732.2414,start,Mov-SARS-CoV-BEG.csv,SARS
2020-10-12,406046266568.97534,start,Mov-SARS-CoV-BEG.csv,SARS
2020-10-19,663873861710.305,on going,Mov-SARS-CoV-BEG.csv,SARS
2020-10-26,2388064086031.1123,on going,Mov-SARS-CoV-BEG.csv,SARS
2020-11-02,4346536302238.154,on going,Mov-SARS-CoV-BEG.csv,SARS
2020-11-09,5953834669845.526,on going,Mov-SARS-CoV-BEG.csv,SARS
2020-11-16,5913643555743.051,on going,Mov-SARS-CoV-BEG.csv,SARS
2020-11-23,5551963886998.15,on going,Mov-SARS-CoV-BEG.csv,SARS
2020-11-30,4772853467522.437,on going,Mov-SARS-CoV-BEG.csv,SARS
2020-12-07,4002123384932.834,on going,Mov-SARS-CoV-BEG.csv,SARS
2020-12-14,2664666533216.06,on going,Mov-SARS-CoV-BEG.csv,SARS
2020-12-21,2161644988521.9104,on going,Mov-SARS-CoV-BEG.csv,SARS
2020-12-28,1330352300798.6562,on going,Mov-SARS-CoV-BEG.csv,SARS
2021-01-04,1206280061134.202,end,Mov-SARS-CoV-BEG.csv,SARS
2021-01-04,783984482915.641,end,Mov-SARS-CoV-BEG.csv,SARS
2021-01-11,911202123280.988,end,Mov-SARS-CoV-BEG.csv,SARS
2021-01-18,805508035190.7269,end,Mov-SARS-CoV-BEG.csv,SARS
2021-01-25,726431999311.8827,end,Mov-SARS-CoV-BEG.csv,SARS
2021-02-01,560947741646.0079,end,Mov-SARS-CoV-BEG.csv,SARS
2021-02-08,518213000246.7808,end,Mov-SARS-CoV-BEG.csv,SARS
2021-02-15,553429596504.5406,end,Mov-SARS-CoV-BEG.csv,SARS
2021-02-22,757735198671.0922,end,Mov-SARS-CoV-BEG.csv,SARS
2021-03-01,783284282442.317,end,Mov-SARS-CoV-BEG.csv,SARS
2021-03-08,769479735386.2367,end,Mov-SARS-CoV-BEG.csv,SARS
2021-03-15,746084034315.36,end,Mov-SARS-CoV-BEG.csv,SARS
2021-03-22,835461018964.7506,end,Mov-SARS-CoV-BEG.csv,SARS
2021-03-29,790433904754.5267,end,Mov-SARS-CoV-BEG.csv,SARS
2021-04-05,539494358865.7351,end,Mov-SARS-CoV-BEG.csv,SARS
2021-04-12,413602405023.2557,end,Mov-SARS-CoV-BEG.csv,SARS
2021-04-19,346217607404.866,end,Mov-SARS-CoV-BEG.csv,SARS
2021-04-26,351010431218.32135,end,Mov-SARS-CoV-BEG.csv,SARS
2021-05-03,317017057568.439,none,Mov-SARS-CoV-BEG.csv,SARS
2021-05-10,251096170878.5823,none,Mov-SARS-CoV-BEG.csv,SARS
2021-05-17,219242002178.94968,none,Mov-SARS-CoV-BEG.csv,SARS
2021-05-24,167624145989.13467,none,Mov-SARS-CoV-BEG.csv,SARS
2021-05-31,160874828717.1,none,Mov-SARS-CoV-BEG.csv,SARS
2021-06-07,137477135583.61002,none,Mov-SARS-CoV-BEG.csv,SARS
2021-06-14,141273900324.22964,none,Mov-SARS-CoV-BEG.csv,SARS
2021-06-21,99915205014.04366,none,Mov-SARS-CoV-BEG.csv,SARS
2021-06-28,378999523646.3726,none,Mov-SARS-CoV-BEG.csv,SARS
2021-07-05,611112962757.6886,none,Mov-SARS-CoV-BEG.csv,SARS
2021-07-12,976475022825.6552,none,Mov-SARS-CoV-BEG.csv,SARS
2021-07-19,709796726019.844,none,Mov-SARS-CoV-BEG.csv,SARS
2021-07-26,543458896736.67,none,Mov-SARS-CoV-BEG.csv,SARS
2021-08-02,362650703539.9473,none,Mov-SARS-CoV-BEG.csv,SARS
2021-08-09,413918009529.67474,none,Mov-SARS-CoV-BEG.csv,SARS
2021-08-16,575011014862.2504,none,Mov-SARS-CoV-BEG.csv,SARS
2021-08-23,466832274521.197,none,Mov-SARS-CoV-BEG.csv,SARS
2021-08-30,443289472544.1064,none,Mov-SARS-CoV-BEG.csv,SARS
2021-09-06,266413403374.37167,start,Mov-SARS-CoV-BEG.csv,SARS
2021-09-13,664641859402.6476,start,Mov-SARS-CoV-BEG.csv,SARS
2021-09-20,651877693203.4047,start,Mov-SARS-CoV-BEG.csv,SARS
2021-09-27,909727053019.2656,start,Mov-SARS-CoV-BEG.csv,SARS
2021-10-04,673133652922.059,start,Mov-SARS-CoV-BEG.csv,SARS
2021-10-11,792241489532.8827,start,Mov-SARS-CoV-BEG.csv,SARS
2021-10-18,940043152085.016,start,Mov-SARS-CoV-BEG.csv,SARS
2021-10-25,1180930913261.5493,start,Mov-SARS-CoV-BEG.csv,SARS
2021-11-01,1230389898216.7566,start,Mov-SARS-CoV-BEG.csv,SARS
2021-11-08,1051061735752.735,start,Mov-SARS-CoV-BEG.csv,SARS
2021-11-15,1519184790677.0415,start,Mov-SARS-CoV-BEG.csv,SARS
2021-11-22,2080595325353.005,start,Mov-SARS-CoV-BEG.csv,SARS
2021-11-29,3190559179641.61,on going,Mov-SARS-CoV-BEG.csv,SARS
2021-12-06,3349565730346.0405,on going,Mov-SARS-CoV-BEG.csv,SARS
2021-12-13,3864720511445.816,on going,Mov-SARS-CoV-BEG.csv,SARS
2021-12-20,4423399195777.293,on going,Mov-SARS-CoV-BEG.csv,SARS
2021-12-27,4976057469766.145,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-01-03,6841753197261.195,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-01-10,6675548878214.73,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-01-17,7692466653661.054,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-01-24,8362955779248.81,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-01-31,7397959079539.423,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-02-07,5114243850930.877,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-02-14,2498638911673.28,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-02-21,1967566856391.1235,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-02-28,1434338021083.18,end,Mov-SARS-CoV-BEG.csv,SARS
2022-03-07,1221584169188.1365,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-03-14,1959467131456.7,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-03-21,2360498907006.41,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-03-28,4230009644377.647,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-04-04,4234898377642.084,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-04-11,4451218540809.874,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-04-18,2385865026416.828,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-04-25,1676649592427.6245,end,Mov-SARS-CoV-BEG.csv,SARS
2022-05-02,1151594719674.531,end,Mov-SARS-CoV-BEG.csv,SARS
2022-05-09,1202697136966.8496,end,Mov-SARS-CoV-BEG.csv,SARS
2022-05-16,1044196689396.6914,end,Mov-SARS-CoV-BEG.csv,SARS
2022-05-23,711876535099.176,start,Mov-SARS-CoV-BEG.csv,SARS
2022-05-30,1471202976308.0295,start,Mov-SARS-CoV-BEG.csv,SARS
2022-06-06,1709247841970.3943,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-06-13,2872757053124.153,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-06-20,3572291563726.9297,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-06-27,4499204692126.29,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-07-04,5042971686180.257,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-07-11,5020626505925.573,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-07-18,5012149980513.22,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-07-25,3548391900703.793,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-08-01,2251964860139.28,end,Mov-SARS-CoV-BEG.csv,SARS
2022-08-08,907611935915.5258,end,Mov-SARS-CoV-BEG.csv,SARS
2022-08-15,982778067795.2556,end,Mov-SARS-CoV-BEG.csv,SARS
2022-08-22,614292027023.336,end,Mov-SARS-CoV-BEG.csv,SARS
2022-08-29,633400712629.488,end,Mov-SARS-CoV-BEG.csv,SARS
2022-09-05,223218041041.37265,start,Mov-SARS-CoV-BEG.csv,SARS
2022-09-12,485898314391.5983,start,Mov-SARS-CoV-BEG.csv,SARS
2022-09-19,612190369103.224,start,Mov-SARS-CoV-BEG.csv,SARS
2022-09-26,888460299946.6793,start,Mov-SARS-CoV-BEG.csv,SARS
2022-10-03,926133062832.36,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-10-10,2567392640585.9067,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-10-17,3257603979588.517,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-10-24,3916913831087.8,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-10-31,2397169456394.296,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-11-07,1915871817401.8328,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-11-14,1407658852267.9792,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-11-21,1828281095891.2031,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-11-28,2056668040140.7368,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-12-05,2290923074971.933,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-12-12,2788181680185.5703,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-12-19,2727633510962.0864,on going,Mov-SARS-CoV-BEG.csv,SARS
2022-12-26,2993665077320.785,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-01-02,1617080868155.94,end,Mov-SARS-CoV-BEG.csv,SARS
2023-01-09,826874324246.52,start,Mov-SARS-CoV-BEG.csv,SARS
2023-01-16,1066496732605.19,start,Mov-SARS-CoV-BEG.csv,SARS
2023-01-23,1115415073158.25,start,Mov-SARS-CoV-BEG.csv,SARS
2023-01-30,1219138469289.5625,start,Mov-SARS-CoV-BEG.csv,SARS
2023-02-06,1300156182706.7156,start,Mov-SARS-CoV-BEG.csv,SARS
2023-02-13,1358834643186.4055,start,Mov-SARS-CoV-BEG.csv,SARS
2023-02-20,1359639509146.2554,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-02-27,1851782675387.162,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-03-06,2240589832009.452,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-03-13,2549382219869.0366,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-03-20,2220378774811.833,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-03-27,2672313149712.047,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-04-03,2570108320186.813,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-04-10,2782663036173.1333,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-04-17,1734573563620.5413,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-04-24,1420228404220.749,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-05-01,571196449489.959,end,Mov-SARS-CoV-BEG.csv,SARS
2023-05-08,380009739254.9787,end,Mov-SARS-CoV-BEG.csv,SARS
2023-05-15,187313959686.80264,end,Mov-SARS-CoV-BEG.csv,SARS
2023-05-22,169171862812.44498,none,Mov-SARS-CoV-BEG.csv,SARS
2023-05-29,155180642549.2006,none,Mov-SARS-CoV-BEG.csv,SARS
2023-06-05,171418675974.72232,none,Mov-SARS-CoV-BEG.csv,SARS
2023-06-12,103027034855.4093,none,Mov-SARS-CoV-BEG.csv,SARS
2023-06-19,76559767418.21266,none,Mov-SARS-CoV-BEG.csv,SARS
2023-06-26,68519014856.33726,none,Mov-SARS-CoV-BEG.csv,SARS
2023-07-03,45153986079.36474,none,Mov-SARS-CoV-BEG.csv,SARS
2023-07-10,133154238868.72008,none,Mov-SARS-CoV-BEG.csv,SARS
2023-07-17,151621420092.6388,none,Mov-SARS-CoV-BEG.csv,SARS
2023-07-24,295413969058.293,none,Mov-SARS-CoV-BEG.csv,SARS
2023-07-31,283407596629.83136,none,Mov-SARS-CoV-BEG.csv,SARS
2023-08-07,388523499135.6437,none,Mov-SARS-CoV-BEG.csv,SARS
2023-08-14,269688654386.93732,none,Mov-SARS-CoV-BEG.csv,SARS
2023-08-21,239610371436.18063,none,Mov-SARS-CoV-BEG.csv,SARS
2023-08-28,83901913820.33833,start,Mov-SARS-CoV-BEG.csv,SARS
2023-09-04,230152509169.5857,start,Mov-SARS-CoV-BEG.csv,SARS
2023-09-11,316645460494.1804,start,Mov-SARS-CoV-BEG.csv,SARS
2023-09-18,1246298819165.2537,start,Mov-SARS-CoV-BEG.csv,SARS
2023-09-25,1551064766350.6184,start,Mov-SARS-CoV-BEG.csv,SARS
2023-10-02,2168004846408.9768,start,Mov-SARS-CoV-BEG.csv,SARS
2023-10-09,2000835810076.1,start,Mov-SARS-CoV-BEG.csv,SARS
2023-10-16,1915326169286.376,start,Mov-SARS-CoV-BEG.csv,SARS
2023-10-23,1879364241213.2,start,Mov-SARS-CoV-BEG.csv,SARS
2023-10-30,1757658280924.75,start,Mov-SARS-CoV-BEG.csv,SARS
2023-11-06,2060189577061.53,start,Mov-SARS-CoV-BEG.csv,SARS
2023-11-13,2399033747556.9634,start,Mov-SARS-CoV-BEG.csv,SARS
2023-11-20,2415875133837.473,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-11-27,4962698064522.977,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-12-04,7014213153036.456,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-12-11,12322855186170.0,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-12-18,11612833809745.48,on going,Mov-SARS-CoV-BEG.csv,SARS
2023-12-25,12763631775024.98,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-01-01,4192987544887.6206,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-01-08,1411837398817.491,end,Mov-SARS-CoV-BEG.csv,SARS
2024-01-15,1533239617423.507,end,Mov-SARS-CoV-BEG.csv,SARS
2024-01-22,1534636856368.6172,end,Mov-SARS-CoV-BEG.csv,SARS
2024-01-29,1234747095330.3306,end,Mov-SARS-CoV-BEG.csv,SARS
2024-02-05,1179970048162.3906,end,Mov-SARS-CoV-BEG.csv,SARS
2024-02-12,1022558889735.0426,end,Mov-SARS-CoV-BEG.csv,SARS
2024-02-19,791934104064.9679,end,Mov-SARS-CoV-BEG.csv,SARS
2024-02-26,323292568749.5787,end,Mov-SARS-CoV-BEG.csv,SARS
2024-03-04,279464836604.05835,end,Mov-SARS-CoV-BEG.csv,SARS
2024-03-11,164787518674.74133,end,Mov-SARS-CoV-BEG.csv,SARS
2024-03-18,119130196229.85896,none,Mov-SARS-CoV-BEG.csv,SARS
2024-03-25,134020155518.22565,none,Mov-SARS-CoV-BEG.csv,SARS
2024-04-01,90486048983.1373,none,Mov-SARS-CoV-BEG.csv,SARS
2024-04-08,110372667216.412,none,Mov-SARS-CoV-BEG.csv,SARS
2024-04-15,105828664248.14868,none,Mov-SARS-CoV-BEG.csv,SARS
2024-04-22,150388762114.67368,none,Mov-SARS-CoV-BEG.csv,SARS
2024-04-29,146905698218.593,none,Mov-SARS-CoV-BEG.csv,SARS
2024-05-06,159827601542.783,none,Mov-SARS-CoV-BEG.csv,SARS
2024-05-13,208748053551.13367,none,Mov-SARS-CoV-BEG.csv,SARS
2024-05-20,188706782617.64468,none,Mov-SARS-CoV-BEG.csv,SARS
2024-05-27,258828008409.93137,none,Mov-SARS-CoV-BEG.csv,SARS
2024-06-03,290446560355.882,none,Mov-SARS-CoV-BEG.csv,SARS
2024-06-10,563344081037.1117,none,Mov-SARS-CoV-BEG.csv,SARS
2024-06-17,628925727492.811,none,Mov-SARS-CoV-BEG.csv,SARS
2024-06-24,980734164326.2512,none,Mov-SARS-CoV-BEG.csv,SARS
2024-07-01,1038010081142.8848,none,Mov-SARS-CoV-BEG.csv,SARS
2024-07-08,1566508750578.2366,none,Mov-SARS-CoV-BEG.csv,SARS
2024-07-15,1492649307382.6667,none,Mov-SARS-CoV-BEG.csv,SARS
2024-07-22,1310106170206.597,none,Mov-SARS-CoV-BEG.csv,SARS
2024-07-29,1043741606787.957,none,Mov-SARS-CoV-BEG.csv,SARS
2024-08-05,999524566037.7535,none,Mov-SARS-CoV-BEG.csv,SARS
2024-08-12,1189757440062.4631,none,Mov-SARS-CoV-BEG.csv,SARS
2024-08-19,890703917663.7881,start,Mov-SARS-CoV-BEG.csv,SARS
2024-08-26,887135800696.4347,start,Mov-SARS-CoV-BEG.csv,SARS
2024-09-02,1144675709018.381,start,Mov-SARS-CoV-BEG.csv,SARS
2024-09-09,1351938617376.8967,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-09-16,2999141490292.983,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-09-23,3684749654677.791,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-09-30,4421181104257.073,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-10-07,3476541773649.5864,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-10-14,3085566976871.0703,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-10-21,3518324263134.147,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-10-28,3698446542064.85,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-11-04,3598213612489.5435,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-11-11,2348844504613.4155,end,Mov-SARS-CoV-BEG.csv,SARS
2024-11-18,1243208626734.0654,end,Mov-SARS-CoV-BEG.csv,SARS
2024-11-25,690818953439.1244,start,Mov-SARS-CoV-BEG.csv,SARS
2024-12-02,1340449557412.239,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-12-09,2436609095214.349,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-12-16,3344305191129.904,on going,Mov-SARS-CoV-BEG.csv,SARS
2024-12-23,3589325138365.885,on going,Mov-SARS-CoV-BEG.csv,SARS
2025-01-06,3493233020022.16,on going,Mov-SARS-CoV-BEG.csv,SARS
2025-01-13,3128960640120.35,on going,Mov-SARS-CoV-BEG.csv,SARS
2025-01-20,3787756927528.4,on going,Mov-SARS-CoV-BEG.csv,SARS
2025-01-27,2941230056691.35,on going,Mov-SARS-CoV-BEG.csv,SARS
2025-02-03,2163062985535.22,end,Mov-SARS-CoV-BEG.csv,SARS
2025-02-10,796598176074.9517,end,Mov-SARS-CoV-BEG.csv,SARS
2025-02-17,637479592006.7983,end,Mov-SARS-CoV-BEG.csv,SARS
2025-02-24,512146297788.0854,none,Mov-SARS-CoV-BEG.csv,SARS
2025-03-03,637460660457.4384,none,Mov-SARS-CoV-BEG.csv,SARS
2025-03-10,538267200789.914,none,Mov-SARS-CoV-BEG.csv,SARS
2025-03-17,799423033207.527,none,Mov-SARS-CoV-BEG.csv,SARS
2025-03-24,705112406703.135,none,Mov-SARS-CoV-BEG.csv,SARS
2025-03-31,714310494851.2814,none,Mov-SARS-CoV-BEG.csv,SARS
2025-04-07,419136242144.75903,none,Mov-SARS-CoV-BEG.csv,SARS
2025-04-14,481112805844.3674,none,Mov-SARS-CoV-BEG.csv,SARS
2025-04-21,669120128598.1886,none,Mov-SARS-CoV-BEG.csv,SARS
2025-04-28,759460396281.944,none,Mov-SARS-CoV-BEG.csv,SARS
2025-05-05,829960170847.6781,none,Mov-SARS-CoV-BEG.csv,SARS
2025-05-12,741520743507.4291,none,Mov-SARS-CoV-BEG.csv,SARS
2025-05-19,798287722865.959,none,Mov-SARS-CoV-BEG.csv,SARS
