time,rna_copies,label
2024-09-30,0.0,FluA
2024-10-07,0.0,FluA
2024-10-14,0.0,FluA
2024-10-21,0.0,FluA
2024-10-28,0.0,FluA
2024-11-04,83263063226.6702,FluA
2024-11-11,0.0,FluA
2024-11-18,0.0,FluA
2024-11-25,133102281711.342,FluA
2024-12-02,0.0,FluA
2024-12-09,364923048674.353,FluA
2024-12-16,637030751191.071,FluA
2025-01-13,248977911124.183,FluA
2025-01-20,1339850466263.14,FluA
2025-01-27,4741648410177.02,FluA
2025-02-03,654458134365.382,FluA
2025-02-10,1122787963995.89,FluA
2025-02-17,1887047871571.73,FluA
2025-02-24,627328943738.875,FluA
2025-03-03,1282486042313.17,FluA
2025-03-10,360650796066.174,FluA
2025-03-17,263039501614.055,FluA
2025-03-24,161337734639.033,FluA
2025-03-31,0.0,FluA
2025-04-07,101703364098.131,FluA
2025-04-14,0.0,FluA
2025-04-21,121887575898.079,FluA
2025-04-28,0.0,FluA
2025-05-05,0.0,FluA
2025-05-12,0.0,FluA
2025-05-19,0.0,FluA
2025-05-26,0.0,FluA
2025-06-02,0.0,FluA
2025-06-09,0.0,FluA
2025-06-16,0.0,FluA
2025-06-23,96259043569.2938,FluA
