time,rna_copies,label
2021-10-04,,FluB
2021-10-11,,FluB
2021-10-18,,FluB
2021-10-25,,FluB
2021-11-01,,FluB
2021-11-08,,FluB
2021-11-15,4.9124901574993986e-18,FluB
2021-11-22,4.9124901574993986e-18,FluB
2021-11-29,4.9124901574993986e-18,FluB
2021-12-06,4.9124901574993986e-18,FluB
2021-12-13,4.9124901574993986e-18,FluB
2021-12-20,4.9124901574993986e-18,FluB
2021-12-27,4.9124901574993986e-18,FluB
2022-01-03,4.9124901574993986e-18,FluB
2022-01-10,4.9124901574993986e-18,FluB
2022-01-17,4.9124901574993986e-18,FluB
2022-01-24,4.9124901574993986e-18,FluB
2022-01-31,0.048394379435092526,FluB
2022-02-07,0.03226291962339501,FluB
2022-02-14,0.01613145981169751,FluB
2022-02-21,3.54894176036679e-18,FluB
2022-02-28,-0.0161314598116975,FluB
2022-03-07,-0.03226291962339501,FluB
2022-03-14,-0.04839437943509251,FluB
2022-03-21,4.9124901574993986e-18,FluB
2022-03-28,4.9124901574993986e-18,FluB
2022-04-04,4.9124901574993986e-18,FluB
2022-04-11,4.9124901574993986e-18,FluB
2022-04-18,4.9124901574993986e-18,FluB
2022-04-25,4.9124901574993986e-18,FluB
2022-05-02,4.9124901574993986e-18,FluB
2022-05-09,0.04846889346307488,FluB
2022-05-16,0.03231259564204993,FluB
2022-05-23,0.01615629782102497,FluB
2022-05-30,6.2760385546320066e-18,FluB
2022-06-06,-0.016156297821024956,FluB
2022-06-13,-0.03231259564204992,FluB
2022-06-20,-0.048468893463074876,FluB
2022-06-27,4.9124901574993986e-18,FluB
2022-07-04,4.9124901574993986e-18,FluB
2022-07-11,4.9124901574993986e-18,FluB
2022-07-18,4.9124901574993986e-18,FluB
2022-07-25,4.9124901574993986e-18,FluB
2022-08-01,4.9124901574993986e-18,FluB
2022-08-08,4.9124901574993986e-18,FluB
2022-08-15,4.9124901574993986e-18,FluB
2022-08-22,4.9124901574993986e-18,FluB
2022-08-29,4.9124901574993986e-18,FluB
2022-09-05,4.9124901574993986e-18,FluB
2022-09-12,4.9124901574993986e-18,FluB
2022-09-19,4.9124901574993986e-18,FluB
2022-09-26,4.9124901574993986e-18,FluB
2022-10-03,4.9124901574993986e-18,FluB
2022-10-10,4.9124901574993986e-18,FluB
2022-10-17,4.9124901574993986e-18,FluB
2022-10-24,4.9124901574993986e-18,FluB
2022-10-31,4.9124901574993986e-18,FluB
2022-11-07,4.9124901574993986e-18,FluB
2022-11-14,4.9124901574993986e-18,FluB
2022-11-21,4.9124901574993986e-18,FluB
2022-11-28,4.9124901574993986e-18,FluB
2022-12-05,4.9124901574993986e-18,FluB
2022-12-12,4.9124901574993986e-18,FluB
2022-12-19,4.9124901574993986e-18,FluB
2022-12-26,4.9124901574993986e-18,FluB
2023-01-02,4.9124901574993986e-18,FluB
2023-01-09,4.9124901574993986e-18,FluB
2023-01-16,4.9124901574993986e-18,FluB
2023-01-23,4.9124901574993986e-18,FluB
2023-01-30,4.9124901574993986e-18,FluB
2023-02-06,4.9124901574993986e-18,FluB
2023-02-13,4.9124901574993986e-18,FluB
2023-02-20,4.9124901574993986e-18,FluB
2023-02-27,0.1461033696217197,FluB
2023-03-06,0.14666362284184123,FluB
2023-03-13,0.08154204082548086,FluB
2023-03-20,0.1730631121561245,FluB
2023-03-27,0.05572731235742949,FluB
2023-04-03,0.004277380992836999,FluB
2023-04-10,-0.13502037495055894,FluB
2023-04-17,-0.07951363806499527,FluB
2023-04-24,-0.10442843556466937,FluB
2023-05-01,-0.17860460949170495,FluB
2023-05-08,-0.04392391228940171,FluB
2023-05-15,-0.06588586843410257,FluB
2023-05-22,4.9124901574993986e-18,FluB
2023-05-29,4.9124901574993986e-18,FluB
2023-06-05,4.9124901574993986e-18,FluB
2023-06-12,4.9124901574993986e-18,FluB
2023-06-19,4.9124901574993986e-18,FluB
2023-06-26,4.9124901574993986e-18,FluB
2023-07-03,4.9124901574993986e-18,FluB
2023-07-10,4.9124901574993986e-18,FluB
2023-07-17,4.9124901574993986e-18,FluB
2023-07-24,4.9124901574993986e-18,FluB
2023-07-31,4.9124901574993986e-18,FluB
2023-08-07,4.9124901574993986e-18,FluB
2023-08-14,4.9124901574993986e-18,FluB
2023-08-21,4.9124901574993986e-18,FluB
2023-08-28,4.9124901574993986e-18,FluB
2023-09-04,4.9124901574993986e-18,FluB
2023-09-11,4.9124901574993986e-18,FluB
2023-09-18,4.9124901574993986e-18,FluB
2023-09-25,4.9124901574993986e-18,FluB
2023-10-02,4.9124901574993986e-18,FluB
2023-10-09,4.9124901574993986e-18,FluB
2023-10-16,4.9124901574993986e-18,FluB
2023-10-23,4.9124901574993986e-18,FluB
2023-10-30,4.9124901574993986e-18,FluB
2023-11-06,4.9124901574993986e-18,FluB
2023-11-13,4.9124901574993986e-18,FluB
2023-11-20,4.9124901574993986e-18,FluB
2023-11-27,4.9124901574993986e-18,FluB
2023-12-04,4.9124901574993986e-18,FluB
2023-12-11,4.9124901574993986e-18,FluB
2023-12-18,4.9124901574993986e-18,FluB
2023-12-25,4.9124901574993986e-18,FluB
2024-01-01,4.9124901574993986e-18,FluB
2024-01-08,4.9124901574993986e-18,FluB
2024-01-15,4.9124901574993986e-18,FluB
2024-01-22,4.9124901574993986e-18,FluB
2024-01-29,4.9124901574993986e-18,FluB
2024-02-05,4.9124901574993986e-18,FluB
2024-02-12,4.9124901574993986e-18,FluB
2024-02-19,4.9124901574993986e-18,FluB
2024-02-26,4.9124901574993986e-18,FluB
2024-03-04,4.9124901574993986e-18,FluB
2024-03-11,4.9124901574993986e-18,FluB
2024-03-18,4.9124901574993986e-18,FluB
2024-03-25,4.9124901574993986e-18,FluB
2024-04-01,4.9124901574993986e-18,FluB
2024-04-08,0.02368987235577565,FluB
2024-04-15,0.01579324823718377,FluB
2024-04-22,0.00789662411859189,FluB
2024-04-29,0.0723363031079523,FluB
2024-05-06,0.040327577953376326,FluB
2024-05-13,0.008318852798800336,FluB
2024-05-20,-0.023689872355775646,FluB
2024-05-27,-0.024112101035984098,FluB
2024-06-03,-0.038950969257181105,FluB
2024-06-10,-0.0661541478980942,FluB
2024-06-17,0.003091077604929036,FluB
2024-06-24,4.9124901574993986e-18,FluB
2024-07-01,-0.003091077604929026,FluB
2024-07-08,-0.006182155209858057,FluB
2024-07-15,-0.009273232814787083,FluB
2024-07-22,4.9124901574993986e-18,FluB
2024-07-29,4.9124901574993986e-18,FluB
2024-08-05,4.9124901574993986e-18,FluB
2024-08-12,4.9124901574993986e-18,FluB
2024-08-19,4.9124901574993986e-18,FluB
2024-08-26,4.9124901574993986e-18,FluB
2024-09-02,4.9124901574993986e-18,FluB
2024-09-09,4.9124901574993986e-18,FluB
2024-09-16,4.9124901574993986e-18,FluB
2024-09-23,4.9124901574993986e-18,FluB
2024-09-30,0.010437306711876744,FluB
2024-10-07,0.006958204474584496,FluB
2024-10-14,0.05380425129172358,FluB
2024-10-21,0.03355009936962089,FluB
2024-10-28,0.029626879501138844,FluB
2024-11-04,0.023879069720527394,FluB
2024-11-11,-0.00846872160590377,FluB
2024-11-18,-0.02690010398316595,FluB
2024-11-25,-0.01881818523061283,FluB
2024-12-02,0.0070964551389260016,FluB
2024-12-09,0.014685078244250653,FluB
2024-12-16,0.07479222788446138,FluB
2024-12-23,0.12069860717786625,FluB
2025-01-06,0.12218518047290143,FluB
2025-01-13,0.0952426786360837,FluB
2025-01-20,0.30205203289952454,FluB
2025-01-27,0.5177426226954481,FluB
2025-02-03,0.44754324200286316,FluB
2025-02-10,0.745744226393158,FluB
2025-02-17,0.9356387574870949,FluB
2025-02-24,0.7057193728814524,FluB
2025-03-03,0.2233438016178057,FluB
2025-03-10,-0.22099110734549635,FluB
2025-03-17,-0.506387992816109,FluB
2025-03-24,-1.0,FluB
2025-03-31,-0.9664261668534415,FluB
2025-04-07,-0.6700201574395037,FluB
2025-04-14,-0.4486701013078895,FluB
2025-04-21,-0.24211026563628799,FluB
2025-04-28,-0.13773721003871334,FluB
2025-05-05,-0.07381300077909911,FluB
2025-05-12,-0.0429046911974544,FluB
2025-05-19,-0.031269080269947715,FluB
2025-05-26,-0.03259200489899002,FluB
2025-06-02,-0.028210505226147438,FluB
2025-06-09,-0.015420799972546055,FluB
2025-06-16,4.9124901574993986e-18,FluB
2025-06-23,4.9124901574993986e-18,FluB
