time,rna_copies,label
2021-10-04,0.0,FluB
2021-10-11,0.0,FluB
2021-10-18,0.0,FluB
2021-10-25,0.0,FluB
2021-11-01,0.0,FluB
2021-11-08,0.0,FluB
2021-11-15,0.0,FluB
2021-11-22,0.0,FluB
2021-11-29,0.0,FluB
2021-12-06,0.0,FluB
2021-12-13,0.0,FluB
2021-12-20,0.0,FluB
2021-12-27,,FluB
2022-01-03,0.0,FluB
2022-01-10,0.0,FluB
2022-01-17,0.0,FluB
2022-01-24,0.0,FluB
2022-01-31,0.0,FluB
2022-02-07,0.0,FluB
2022-02-14,0.0,FluB
2022-02-21,0.0,FluB
2022-02-28,0.0,FluB
2022-03-07,0.0,FluB
2022-03-14,0.0,FluB
2022-03-21,0.0,FluB
2022-03-28,0.0,FluB
2022-04-04,0.0,FluB
2022-04-11,0.0,FluB
2022-04-18,0.0,FluB
2022-04-25,0.0,FluB
2022-05-02,331594909947.178,FluB
2022-05-09,0.0,FluB
2022-05-16,0.0,FluB
2022-05-23,0.0,FluB
2022-05-30,0.0,FluB
2022-06-06,0.0,FluB
2022-06-13,0.0,FluB
2022-06-20,0.0,FluB
2022-06-27,0.0,FluB
2022-07-04,0.0,FluB
2022-07-11,0.0,FluB
2022-07-18,0.0,FluB
2022-07-25,0.0,FluB
2022-08-01,0.0,FluB
2022-08-08,0.0,FluB
2022-08-15,0.0,FluB
2022-08-22,0.0,FluB
2022-08-29,0.0,FluB
2022-09-05,0.0,FluB
2022-09-12,0.0,FluB
2022-09-19,0.0,FluB
2022-09-26,0.0,FluB
2022-10-03,0.0,FluB
2022-10-10,0.0,FluB
2022-10-17,0.0,FluB
2022-10-24,0.0,FluB
2022-10-31,0.0,FluB
2022-11-07,0.0,FluB
2022-11-14,0.0,FluB
2022-11-21,0.0,FluB
2022-11-28,0.0,FluB
2022-12-05,0.0,FluB
2022-12-12,0.0,FluB
2022-12-19,0.0,FluB
2022-12-26,,FluB
2023-01-02,0.0,FluB
2023-01-09,0.0,FluB
2023-01-16,0.0,FluB
2023-01-23,0.0,FluB
2023-01-30,0.0,FluB
2023-02-06,0.0,FluB
2023-02-13,0.0,FluB
2023-02-20,0.0,FluB
2023-02-27,215787850854.645,FluB
2023-03-06,937735274480.457,FluB
2023-03-13,0.0,FluB
2023-03-20,0.0,FluB
2023-03-27,0.0,FluB
2023-04-03,0.0,FluB
2023-04-10,0.0,FluB
2023-04-17,0.0,FluB
2023-04-24,0.0,FluB
2023-05-01,0.0,FluB
2023-05-08,0.0,FluB
2023-05-15,0.0,FluB
2023-05-22,0.0,FluB
2023-05-29,0.0,FluB
2023-06-05,0.0,FluB
2023-06-12,0.0,FluB
2023-06-19,0.0,FluB
2023-06-26,105660973647.001,FluB
2023-07-03,0.0,FluB
2023-07-10,0.0,FluB
2023-07-17,0.0,FluB
2023-07-24,0.0,FluB
2023-07-31,0.0,FluB
2023-08-07,0.0,FluB
2023-08-14,0.0,FluB
2023-08-21,0.0,FluB
2023-08-28,0.0,FluB
2023-09-04,0.0,FluB
2023-09-11,0.0,FluB
2023-09-18,0.0,FluB
2023-09-25,0.0,FluB
2023-10-02,0.0,FluB
2023-10-09,0.0,FluB
2023-10-16,0.0,FluB
2023-10-23,0.0,FluB
2023-10-30,0.0,FluB
2023-11-06,0.0,FluB
2023-11-13,0.0,FluB
2023-11-20,0.0,FluB
2023-11-27,0.0,FluB
2023-12-04,0.0,FluB
2023-12-11,0.0,FluB
2023-12-18,0.0,FluB
2023-12-25,,FluB
2024-01-01,0.0,FluB
2024-01-08,0.0,FluB
2024-01-15,0.0,FluB
2024-01-22,0.0,FluB
2024-01-29,0.0,FluB
2024-02-05,0.0,FluB
2024-02-12,0.0,FluB
2024-02-19,0.0,FluB
2024-02-26,0.0,FluB
2024-03-04,0.0,FluB
2024-03-11,0.0,FluB
2024-03-18,0.0,FluB
2024-03-25,0.0,FluB
2024-04-01,0.0,FluB
2024-04-08,55282609926.8186,FluB
2024-04-15,37151451516.7222,FluB
2024-04-22,0.0,FluB
2024-04-29,28662050496.6086,FluB
2024-05-06,0.0,FluB
2024-05-13,0.0,FluB
2024-05-20,0.0,FluB
2024-05-27,0.0,FluB
2024-06-03,44546947514.022,FluB
2024-06-10,0.0,FluB
2024-06-17,0.0,FluB
2024-06-24,0.0,FluB
2024-07-01,59094816982.4986,FluB
2024-07-08,0.0,FluB
2024-07-15,0.0,FluB
2024-07-22,0.0,FluB
2024-07-29,0.0,FluB
2024-08-05,0.0,FluB
2024-08-12,0.0,FluB
2024-08-19,0.0,FluB
2024-08-26,0.0,FluB
2024-09-02,0.0,FluB
2024-09-09,0.0,FluB
2024-09-16,0.0,FluB
2024-09-23,0.0,FluB
2024-09-30,0.0,FluB
2024-10-07,36738568954.3108,FluB
2024-10-14,0.0,FluB
2024-10-21,59271711956.3271,FluB
2024-10-28,0.0,FluB
2024-11-04,124137576232.294,FluB
2024-11-11,27062011946.0664,FluB
2024-11-18,0.0,FluB
2024-11-25,0.0,FluB
2024-12-02,55522674372.0736,FluB
2024-12-09,38468903991.2725,FluB
2024-12-16,31759040082.9162,FluB
2024-12-23,,FluB
2025-01-06,,FluB
2025-01-13,221280899897.43,FluB
2025-01-20,632245675727.072,FluB
2025-01-27,2280178597281.21,FluB
2025-02-03,966440631260.408,FluB
2025-02-10,3562151911984.24,FluB
2025-02-17,1444196527769.74,FluB
2025-02-24,2113451106523.5,FluB
2025-03-03,1382099519519.71,FluB
2025-03-10,378507285224.955,FluB
2025-03-17,128570045026.816,FluB
2025-03-24,258971447167.418,FluB
2025-03-31,164928423620.646,FluB
2025-04-07,108811107165.428,FluB
2025-04-14,51793593371.9762,FluB
2025-04-21,49799029582.2547,FluB
2025-04-28,0.0,FluB
2025-05-05,0.0,FluB
2025-05-12,40528842081.8214,FluB
2025-05-19,18888006739.974,FluB
2025-05-26,0.0,FluB
2025-06-02,0.0,FluB
2025-06-09,0.0,FluB
2025-06-16,0.0,FluB
2025-06-23,0.0,FluB
