time,rna_copies,label
2021-10-25,-7.55318344545276e-19,FluB
2021-11-01,-7.55318344545276e-19,FluB
2021-11-08,-7.55318344545276e-19,FluB
2021-11-15,-7.55318344545276e-19,FluB
2021-11-22,-7.55318344545276e-19,FluB
2021-11-29,-7.55318344545276e-19,FluB
2021-12-06,-7.55318344545276e-19,FluB
2021-12-13,-7.55318344545276e-19,FluB
2021-12-20,-7.55318344545276e-19,FluB
2021-12-27,-7.55318344545276e-19,FluB
2022-01-03,-7.55318344545276e-19,FluB
2022-01-10,-7.55318344545276e-19,FluB
2022-01-17,-7.55318344545276e-19,FluB
2022-01-24,-7.55318344545276e-19,FluB
2022-01-31,-7.55318344545276e-19,FluB
2022-02-07,-7.55318344545276e-19,FluB
2022-02-14,-7.55318344545276e-19,FluB
2022-02-21,-7.55318344545276e-19,FluB
2022-02-28,-7.55318344545276e-19,FluB
2022-03-07,-7.55318344545276e-19,FluB
2022-03-14,-7.55318344545276e-19,FluB
2022-03-21,-7.55318344545276e-19,FluB
2022-03-28,-7.55318344545276e-19,FluB
2022-04-04,-7.55318344545276e-19,FluB
2022-04-11,-7.55318344545276e-19,FluB
2022-04-18,-7.55318344545276e-19,FluB
2022-04-25,-7.55318344545276e-19,FluB
2022-05-02,-7.55318344545276e-19,FluB
2022-05-09,-7.55318344545276e-19,FluB
2022-05-16,-7.55318344545276e-19,FluB
2022-05-23,-7.55318344545276e-19,FluB
2022-05-30,-7.55318344545276e-19,FluB
2022-06-06,-7.55318344545276e-19,FluB
2022-06-13,-7.55318344545276e-19,FluB
2022-06-20,-7.55318344545276e-19,FluB
2022-06-27,-7.55318344545276e-19,FluB
2022-07-04,-7.55318344545276e-19,FluB
2022-07-11,-7.55318344545276e-19,FluB
2022-07-18,-7.55318344545276e-19,FluB
2022-07-25,-7.55318344545276e-19,FluB
2022-08-01,-7.55318344545276e-19,FluB
2022-08-08,-7.55318344545276e-19,FluB
2022-08-15,-7.55318344545276e-19,FluB
2022-08-22,-7.55318344545276e-19,FluB
2022-08-29,-7.55318344545276e-19,FluB
2022-09-05,-7.55318344545276e-19,FluB
2022-09-12,-7.55318344545276e-19,FluB
2022-09-19,-7.55318344545276e-19,FluB
2022-09-26,-7.55318344545276e-19,FluB
2022-10-03,-7.55318344545276e-19,FluB
2022-10-10,-7.55318344545276e-19,FluB
2022-10-17,-7.55318344545276e-19,FluB
2022-10-24,-7.55318344545276e-19,FluB
2022-10-31,-7.55318344545276e-19,FluB
2022-11-07,-7.55318344545276e-19,FluB
2022-11-14,-7.55318344545276e-19,FluB
2022-11-21,-7.55318344545276e-19,FluB
2022-11-28,-7.55318344545276e-19,FluB
2022-12-05,-7.55318344545276e-19,FluB
2022-12-12,-7.55318344545276e-19,FluB
2022-12-19,-7.55318344545276e-19,FluB
2022-12-26,-7.55318344545276e-19,FluB
2023-01-02,-7.55318344545276e-19,FluB
2023-01-09,-7.55318344545276e-19,FluB
2023-01-16,-7.55318344545276e-19,FluB
2023-01-23,-7.55318344545276e-19,FluB
2023-01-30,-7.55318344545276e-19,FluB
2023-02-06,-7.55318344545276e-19,FluB
2023-02-13,-7.55318344545276e-19,FluB
2023-02-20,-7.55318344545276e-19,FluB
2023-02-27,-7.55318344545276e-19,FluB
2023-03-06,-7.55318344545276e-19,FluB
2023-03-13,-7.55318344545276e-19,FluB
2023-03-20,-7.55318344545276e-19,FluB
2023-03-27,-7.55318344545276e-19,FluB
2023-04-03,-7.55318344545276e-19,FluB
2023-04-10,-7.55318344545276e-19,FluB
2023-04-17,-7.55318344545276e-19,FluB
2023-04-24,-7.55318344545276e-19,FluB
2023-05-01,-7.55318344545276e-19,FluB
2023-05-08,-7.55318344545276e-19,FluB
2023-05-15,-7.55318344545276e-19,FluB
2023-05-22,-7.55318344545276e-19,FluB
2023-05-29,-7.55318344545276e-19,FluB
2023-06-05,-7.55318344545276e-19,FluB
2023-06-12,-7.55318344545276e-19,FluB
2023-06-19,-7.55318344545276e-19,FluB
2023-06-26,-7.55318344545276e-19,FluB
2023-07-03,-7.55318344545276e-19,FluB
2023-07-10,-7.55318344545276e-19,FluB
2023-07-17,-7.55318344545276e-19,FluB
2023-07-24,-7.55318344545276e-19,FluB
2023-07-31,-7.55318344545276e-19,FluB
2023-08-07,-7.55318344545276e-19,FluB
2023-08-14,-7.55318344545276e-19,FluB
2023-08-21,-7.55318344545276e-19,FluB
2023-08-28,-7.55318344545276e-19,FluB
2023-09-04,-7.55318344545276e-19,FluB
2023-09-11,-7.55318344545276e-19,FluB
2023-09-18,-7.55318344545276e-19,FluB
2023-09-25,-7.55318344545276e-19,FluB
2023-10-02,-7.55318344545276e-19,FluB
2023-10-09,-7.55318344545276e-19,FluB
2023-10-16,-7.55318344545276e-19,FluB
2023-10-23,-7.55318344545276e-19,FluB
2023-10-30,-7.55318344545276e-19,FluB
2023-11-06,-7.55318344545276e-19,FluB
2023-11-13,-7.55318344545276e-19,FluB
2023-11-20,-7.55318344545276e-19,FluB
2023-11-27,-7.55318344545276e-19,FluB
2023-12-04,-7.55318344545276e-19,FluB
2023-12-11,-7.55318344545276e-19,FluB
2023-12-18,-7.55318344545276e-19,FluB
2023-12-25,-7.55318344545276e-19,FluB
2024-01-01,-7.55318344545276e-19,FluB
2024-01-08,-7.55318344545276e-19,FluB
2024-01-15,-7.55318344545276e-19,FluB
2024-01-22,-7.55318344545276e-19,FluB
2024-01-29,-7.55318344545276e-19,FluB
2024-02-05,-7.55318344545276e-19,FluB
2024-02-12,-7.55318344545276e-19,FluB
2024-02-19,-7.55318344545276e-19,FluB
2024-02-26,-7.55318344545276e-19,FluB
2024-03-04,-7.55318344545276e-19,FluB
2024-03-11,-7.55318344545276e-19,FluB
2024-03-18,-7.55318344545276e-19,FluB
2024-03-25,-7.55318344545276e-19,FluB
2024-04-01,-7.55318344545276e-19,FluB
2024-04-08,-7.55318344545276e-19,FluB
2024-04-15,-7.55318344545276e-19,FluB
2024-04-22,-7.55318344545276e-19,FluB
2024-04-29,-7.55318344545276e-19,FluB
2024-05-06,-7.55318344545276e-19,FluB
2024-05-13,-7.55318344545276e-19,FluB
2024-05-20,-7.55318344545276e-19,FluB
2024-05-27,-7.55318344545276e-19,FluB
2024-06-03,-7.55318344545276e-19,FluB
2024-06-10,-7.55318344545276e-19,FluB
2024-06-17,-7.55318344545276e-19,FluB
2024-06-24,-7.55318344545276e-19,FluB
2024-07-01,-7.55318344545276e-19,FluB
2024-07-08,-7.55318344545276e-19,FluB
2024-07-15,-7.55318344545276e-19,FluB
2024-07-22,-7.55318344545276e-19,FluB
2024-07-29,-7.55318344545276e-19,FluB
2024-08-05,-7.55318344545276e-19,FluB
2024-08-12,-7.55318344545276e-19,FluB
2024-08-19,-7.55318344545276e-19,FluB
2024-08-26,-7.55318344545276e-19,FluB
2024-09-02,-7.55318344545276e-19,FluB
2024-09-09,-7.55318344545276e-19,FluB
2024-09-16,-7.55318344545276e-19,FluB
2024-09-23,-7.55318344545276e-19,FluB
2024-09-30,-7.55318344545276e-19,FluB
2024-10-07,-7.55318344545276e-19,FluB
2024-10-14,-7.55318344545276e-19,FluB
2024-10-21,-7.55318344545276e-19,FluB
2024-10-28,-7.55318344545276e-19,FluB
2024-11-04,-7.55318344545276e-19,FluB
2024-11-11,-7.55318344545276e-19,FluB
