time,rna_copies,label
2021-10-04,,FluA
2021-10-11,,FluA
2021-10-18,,FluA
2021-10-25,,FluA
2021-11-01,,FluA
2021-11-08,,FluA
2021-11-15,,FluA
2021-11-22,,FluA
2021-11-29,,FluA
2021-12-06,,FluA
2021-12-13,,FluA
2021-12-20,,FluA
2021-12-27,,FluA
2022-01-03,,FluA
2022-01-10,,FluA
2022-01-17,,FluA
2022-01-24,,FluA
2022-01-31,,FluA
2022-02-07,,FluA
2022-02-14,,FluA
2022-02-21,,FluA
2022-02-28,,FluA
2022-03-07,,FluA
2022-03-14,,FluA
2022-03-21,,FluA
2022-03-28,,FluA
2022-04-04,,FluA
2022-04-11,,FluA
2022-04-18,,FluA
2022-04-25,,FluA
2022-05-02,,FluA
2022-05-09,,FluA
2022-05-16,,FluA
2022-05-23,,FluA
2022-05-30,,FluA
2022-06-06,,FluA
2022-06-13,,FluA
2022-06-20,,FluA
2022-06-27,,FluA
2022-07-04,,FluA
2022-07-11,,FluA
2022-07-18,,FluA
2022-07-25,,FluA
2022-08-01,,FluA
2022-08-08,,FluA
2022-08-15,,FluA
2022-08-22,,FluA
2022-08-29,,FluA
2022-09-05,,FluA
2022-09-12,,FluA
2022-09-19,,FluA
2022-09-26,,FluA
2022-10-03,,FluA
2022-10-10,,FluA
2022-10-17,,FluA
2022-10-24,,FluA
2022-10-31,,FluA
2022-11-07,,FluA
2022-11-14,,FluA
2022-11-21,,FluA
2022-11-28,,FluA
2022-12-05,,FluA
2022-12-12,,FluA
2022-12-19,,FluA
2022-12-26,,FluA
2023-01-02,,FluA
2023-01-09,,FluA
2023-01-16,,FluA
2023-01-23,,FluA
2023-01-30,,FluA
2023-02-06,,FluA
2023-02-13,,FluA
2023-02-20,,FluA
2023-02-27,,FluA
2023-03-06,,FluA
2023-03-13,,FluA
2023-03-20,,FluA
2023-03-27,,FluA
2023-04-03,,FluA
2023-04-10,,FluA
2023-04-17,,FluA
2023-04-24,,FluA
2023-05-01,,FluA
2023-05-08,,FluA
2023-05-15,,FluA
2023-05-22,,FluA
2023-05-29,,FluA
2023-06-05,,FluA
2023-06-12,,FluA
2023-06-19,,FluA
2023-06-26,,FluA
2023-07-03,,FluA
2023-07-10,,FluA
2023-07-17,,FluA
2023-07-24,,FluA
2023-07-31,,FluA
2023-08-07,,FluA
2023-08-14,,FluA
2023-08-21,,FluA
2023-08-28,,FluA
2023-09-04,,FluA
2023-09-11,,FluA
2023-09-18,,FluA
2023-09-25,,FluA
2023-10-02,,FluA
2023-10-09,,FluA
2023-10-16,,FluA
2023-10-23,,FluA
2023-10-30,,FluA
2023-11-06,,FluA
2023-11-13,,FluA
2023-11-20,,FluA
2023-11-27,,FluA
2023-12-04,,FluA
2023-12-11,,FluA
2023-12-18,,FluA
2023-12-25,,FluA
2024-01-01,,FluA
2024-01-08,,FluA
2024-01-15,,FluA
2024-01-22,,FluA
2024-01-29,,FluA
2024-02-05,,FluA
2024-02-12,,FluA
2024-02-19,,FluA
2024-02-26,,FluA
2024-03-04,,FluA
2024-03-11,,FluA
2024-03-18,,FluA
2024-03-25,,FluA
2024-04-01,,FluA
2024-04-08,,FluA
2024-04-15,,FluA
2024-04-22,,FluA
2024-04-29,,FluA
2024-05-06,,FluA
2024-05-13,,FluA
2024-05-20,,FluA
2024-05-27,,FluA
2024-06-03,,FluA
2024-06-10,,FluA
2024-06-17,,FluA
2024-06-24,,FluA
2024-07-01,,FluA
2024-07-08,,FluA
2024-07-15,,FluA
2024-07-22,,FluA
2024-07-29,,FluA
2024-08-05,,FluA
2024-08-12,,FluA
2024-08-19,,FluA
2024-08-26,,FluA
2024-09-02,,FluA
2024-09-09,,FluA
2024-09-16,,FluA
2024-09-23,,FluA
2024-09-30,,FluA
2024-10-07,,FluA
2024-10-14,0.0,FluA
2024-10-21,0.0,FluA
2024-10-28,0.0,FluA
2024-11-04,27754354408.890064,FluA
2024-11-11,27754354408.890064,FluA
2024-11-18,27754354408.890064,FluA
2024-11-25,44367427237.114,FluA
2024-12-02,44367427237.114,FluA
2024-12-09,166008443461.89835,FluA
2024-12-16,333984599955.14136,FluA
2024-12-23,500976899932.71204,FluA
2025-01-06,637030751191.071,FluA
2025-01-13,248977911124.183,FluA
2025-01-20,794414188693.6615,FluA
2025-01-27,2110158929188.1143,FluA
2025-02-03,2245319003601.847,FluA
2025-02-10,2172964836179.4304,FluA
2025-02-17,1221431323311.0007,FluA
2025-02-24,1212388259768.8318,FluA
2025-03-03,1265620952541.2583,FluA
2025-03-10,756821927372.7396,FluA
2025-03-17,635392113331.1329,FluA
2025-03-24,261676010773.0873,FluA
2025-03-31,141459078751.02933,FluA
2025-04-07,87680366245.72133,FluA
2025-04-14,33901121366.043667,FluA
2025-04-21,74530313332.06999,FluA
2025-04-28,40629191966.02633,FluA
2025-05-05,40629191966.02633,FluA
2025-05-12,0.0,FluA
2025-05-19,0.0,FluA
2025-05-26,0.0,FluA
2025-06-02,0.0,FluA
2025-06-09,0.0,FluA
2025-06-16,0.0,FluA
2025-06-23,32086347856.431263,FluA
