time,rna_copies,label
2024-10-14,0.0,FluA
2024-10-21,0.0,FluA
2024-10-28,19711735819.223568,FluA
2024-11-04,19711735819.223568,FluA
2024-11-11,19711735819.223568,FluA
2024-11-18,0.0,FluA
2024-11-25,0.0,FluA
2024-12-02,17061084407.901968,FluA
2024-12-09,72709679976.90831,FluA
2024-12-16,882332948060.2017,FluA
2024-12-23,1297907795478.4495,FluA
2025-01-06,2428869804249.88,FluA
2025-01-13,662759144084.063,FluA
2025-01-20,851110215540.7915,FluA
2025-01-27,1048911973463.541,FluA
2025-02-03,1181814843509.0066,FluA
2025-02-10,1326551134504.1467,FluA
2025-02-17,1212877517605.0066,FluA
2025-02-24,1271433442666.4133,FluA
2025-03-03,1127864152067.4333,FluA
2025-03-10,852793956864.3649,FluA
2025-03-17,570412041849.938,FluA
2025-03-24,322669804636.98566,FluA
2025-03-31,344862680454.271,FluA
2025-04-07,206984183451.323,FluA
2025-04-14,121916919022.469,FluA
2025-04-21,81277946014.97932,FluA
2025-04-28,43200349229.81167,FluA
2025-05-05,0.0,FluA
2025-05-12,0.0,FluA
2025-05-19,0.0,FluA
2025-05-26,0.0,FluA
2025-06-02,0.0,FluA
2025-06-09,0.0,FluA
2025-06-16,0.0,FluA
2025-06-23,0.0,FluA
