time,rna_copies,label
2021-10-04,,FluB
2021-10-11,,FluB
2021-10-18,,FluB
2021-10-25,,FluB
2021-11-01,,FluB
2021-11-08,,FluB
2021-11-15,,FluB
2021-11-22,,FluB
2021-11-29,,FluB
2021-12-06,,FluB
2021-12-13,,FluB
2021-12-20,,FluB
2021-12-27,,FluB
2022-01-03,,FluB
2022-01-10,,FluB
2022-01-17,,FluB
2022-01-24,,FluB
2022-01-31,,FluB
2022-02-07,,FluB
2022-02-14,,FluB
2022-02-21,,FluB
2022-02-28,,FluB
2022-03-07,,FluB
2022-03-14,,FluB
2022-03-21,,FluB
2022-03-28,,FluB
2022-04-04,,FluB
2022-04-11,,FluB
2022-04-18,,FluB
2022-04-25,,FluB
2022-05-02,,FluB
2022-05-09,,FluB
2022-05-16,,FluB
2022-05-23,,FluB
2022-05-30,,FluB
2022-06-06,,FluB
2022-06-13,,FluB
2022-06-20,,FluB
2022-06-27,,FluB
2022-07-04,,FluB
2022-07-11,,FluB
2022-07-18,,FluB
2022-07-25,,FluB
2022-08-01,,FluB
2022-08-08,,FluB
2022-08-15,,FluB
2022-08-22,,FluB
2022-08-29,,FluB
2022-09-05,,FluB
2022-09-12,,FluB
2022-09-19,,FluB
2022-09-26,,FluB
2022-10-03,,FluB
2022-10-10,,FluB
2022-10-17,,FluB
2022-10-24,,FluB
2022-10-31,,FluB
2022-11-07,,FluB
2022-11-14,,FluB
2022-11-21,,FluB
2022-11-28,,FluB
2022-12-05,,FluB
2022-12-12,,FluB
2022-12-19,,FluB
2022-12-26,,FluB
2023-01-02,,FluB
2023-01-09,,FluB
2023-01-16,,FluB
2023-01-23,,FluB
2023-01-30,,FluB
2023-02-06,,FluB
2023-02-13,,FluB
2023-02-20,,FluB
2023-02-27,,FluB
2023-03-06,,FluB
2023-03-13,,FluB
2023-03-20,,FluB
2023-03-27,,FluB
2023-04-03,,FluB
2023-04-10,,FluB
2023-04-17,,FluB
2023-04-24,,FluB
2023-05-01,,FluB
2023-05-08,,FluB
2023-05-15,,FluB
2023-05-22,,FluB
2023-05-29,,FluB
2023-06-05,,FluB
2023-06-12,,FluB
2023-06-19,,FluB
2023-06-26,,FluB
2023-07-03,,FluB
2023-07-10,,FluB
2023-07-17,,FluB
2023-07-24,,FluB
2023-07-31,,FluB
2023-08-07,,FluB
2023-08-14,,FluB
2023-08-21,,FluB
2023-08-28,,FluB
2023-09-04,,FluB
2023-09-11,,FluB
2023-09-18,,FluB
2023-09-25,,FluB
2023-10-02,,FluB
2023-10-09,,FluB
2023-10-16,,FluB
2023-10-23,,FluB
2023-10-30,,FluB
2023-11-06,,FluB
2023-11-13,,FluB
2023-11-20,,FluB
2023-11-27,,FluB
2023-12-04,,FluB
2023-12-11,,FluB
2023-12-18,,FluB
2023-12-25,,FluB
2024-01-01,,FluB
2024-01-08,,FluB
2024-01-15,,FluB
2024-01-22,,FluB
2024-01-29,,FluB
2024-02-05,,FluB
2024-02-12,,FluB
2024-02-19,,FluB
2024-02-26,,FluB
2024-03-04,,FluB
2024-03-11,,FluB
2024-03-18,,FluB
2024-03-25,,FluB
2024-04-01,,FluB
2024-04-08,,FluB
2024-04-15,,FluB
2024-04-22,,FluB
2024-04-29,,FluB
2024-05-06,,FluB
2024-05-13,,FluB
2024-05-20,,FluB
2024-05-27,,FluB
2024-06-03,,FluB
2024-06-10,,FluB
2024-06-17,,FluB
2024-06-24,,FluB
2024-07-01,,FluB
2024-07-08,,FluB
2024-07-15,,FluB
2024-07-22,,FluB
2024-07-29,,FluB
2024-08-05,,FluB
2024-08-12,,FluB
2024-08-19,,FluB
2024-08-26,,FluB
2024-09-02,,FluB
2024-09-09,,FluB
2024-09-16,,FluB
2024-09-23,,FluB
2024-09-30,,FluB
2024-10-07,,FluB
2024-10-14,0.0,FluB
2024-10-21,0.0,FluB
2024-10-28,0.0,FluB
2024-11-04,0.0,FluB
2024-11-11,0.0,FluB
2024-11-18,0.0,FluB
2024-11-25,0.0,FluB
2024-12-02,0.0,FluB
2024-12-09,97309831051.72932,FluB
2024-12-16,155663226219.57065,FluB
2024-12-23,233494839329.356,FluB
2025-01-06,175060185503.524,FluB
2025-01-13,364893906640.122,FluB
2025-01-20,1708966294362.201,FluB
2025-01-27,1690996731984.5674,FluB
2025-02-03,1891445326631.788,FluB
2025-02-10,2321938527218.5312,FluB
2025-02-17,4127902055976.2407,FluB
2025-02-24,6094501987175.293,FluB
2025-03-03,5134075475043.233,FluB
2025-03-10,3201126730146.897,FluB
2025-03-17,1353658763329.1565,FluB
2025-03-24,1061516465715.5635,FluB
2025-03-31,973757257350.0604,FluB
2025-04-07,532545396108.1536,FluB
2025-04-14,336941444572.30334,FluB
2025-04-21,0.0,FluB
2025-04-28,47907025191.85967,FluB
2025-05-05,80431098803.81996,FluB
2025-05-12,80431098803.81996,FluB
2025-05-19,32524073611.9603,FluB
2025-05-26,0.0,FluB
2025-06-02,0.0,FluB
2025-06-09,0.0,FluB
2025-06-16,0.0,FluB
2025-06-23,0.0,FluB
