time,rna_copies,label
2023-06-05,,RSV
2023-06-12,,RSV
2023-06-19,0.0,RSV
2023-06-26,0.0,RSV
2023-07-03,0.0,RSV
2023-07-10,0.0,RSV
2023-07-17,0.0,RSV
2023-07-24,0.0,RSV
2023-07-31,54299535727.23938,RSV
2023-08-07,92085276170.82861,RSV
2023-08-14,92085276170.82861,RSV
2023-08-21,61797590819.42093,RSV
2023-08-28,36017775563.74756,RSV
2023-09-04,36017775563.74756,RSV
2023-09-11,20322836625.37395,RSV
2023-09-18,70685002859.50096,RSV
2023-09-25,70685002859.50096,RSV
2023-10-02,125284613949.48267,RSV
2023-10-09,107000258121.028,RSV
2023-10-16,161747338117.05133,RSV
2023-10-23,130955453965.296,RSV
2023-10-30,158256879323.07468,RSV
2023-11-06,251155528742.974,RSV
2023-11-13,436828908010.5503,RSV
2023-11-20,444239926091.5254,RSV
2023-11-27,722151567352.666,RSV
2023-12-04,1290757433703.534,RSV
2023-12-11,1775481839150.45,RSV
2023-12-18,2108540031729.7766,RSV
2023-12-25,1975356752134.285,RSV
2024-01-01,1459728481554.725,RSV
2024-01-08,694646952337.5701,RSV
2024-01-15,670574575343.5267,RSV
2024-01-22,722584213752.2183,RSV
2024-01-29,648227023177.118,RSV
2024-02-05,541444067895.14935,RSV
2024-02-12,274897671706.3643,RSV
2024-02-19,186182594735.552,RSV
2024-02-26,181727165353.68234,RSV
2024-03-04,226092463357.56665,RSV
2024-03-11,180367091653.28433,RSV
2024-03-18,118432117597.33899,RSV
2024-03-25,131465501448.39966,RSV
2024-04-01,137552895380.462,RSV
2024-04-08,86098022782.4175,RSV
2024-04-15,38592248778.5903,RSV
2024-04-22,71802302850.17354,RSV
2024-04-29,71802302850.17354,RSV
2024-05-06,46074136997.78,RSV
2024-05-13,0.0,RSV
2024-05-20,0.0,RSV
2024-05-27,0.0,RSV
2024-06-03,0.0,RSV
2024-06-10,0.0,RSV
2024-06-17,0.0,RSV
2024-06-24,0.0,RSV
2024-07-01,0.0,RSV
2024-07-08,0.0,RSV
2024-07-15,0.0,RSV
2024-07-22,0.0,RSV
2024-07-29,0.0,RSV
2024-08-05,0.0,RSV
2024-08-12,0.0,RSV
2024-08-19,0.0,RSV
2024-08-26,14159340430.906034,RSV
2024-09-02,14159340430.906034,RSV
2024-09-09,14159340430.906034,RSV
2024-09-16,0.0,RSV
2024-09-23,0.0,RSV
2024-09-30,0.0,RSV
2024-10-07,0.0,RSV
2024-10-14,32202703394.00513,RSV
2024-10-21,32202703394.00513,RSV
2024-10-28,87528452929.98114,RSV
2024-11-04,125977231854.88867,RSV
2024-11-11,186317434697.44766,RSV
2024-11-18,196487527742.20752,RSV
2024-11-25,314614596290.069,RSV
2024-12-02,690755516685.483,RSV
2024-12-09,940154863928.1387,RSV
2024-12-16,1423128119118.9983,RSV
2024-12-23,1668040954019.245,RSV
2025-01-06,1897128349625.04,RSV
2025-01-13,1531311884002.69,RSV
2025-01-20,1253774840231.729,RSV
2025-01-27,1063829391399.2076,RSV
2025-02-03,701384733963.9874,RSV
2025-02-10,511753927268.90375,RSV
2025-02-17,615320392648.236,RSV
2025-02-24,717703618330.62,RSV
2025-03-03,624222310017.5887,RSV
2025-03-10,435270580459.0153,RSV
2025-03-17,283529756995.4057,RSV
2025-03-24,344837024431.165,RSV
2025-03-31,285535976434.0367,RSV
2025-04-07,274731440273.54868,RSV
2025-04-14,216032160572.11865,RSV
2025-04-21,182268878129.24402,RSV
2025-04-28,125008689752.43724,RSV
2025-05-05,114823412488.57056,RSV
2025-05-12,88589432511.86436,RSV
2025-05-19,73541655600.90811,RSV
2025-05-26,38818461318.304436,RSV
2025-06-02,55341862124.3283,RSV
2025-06-09,39819324121.462,RSV
2025-06-16,39819324121.462,RSV
2025-06-23,0.0,RSV
