time,rna_copies,label
2023-06-05,,RSV
2023-06-12,,RSV
2023-06-19,,RSV
2023-06-26,,RSV
2023-07-03,,RSV
2023-07-10,,RSV
2023-07-17,,RSV
2023-07-24,,RSV
2023-07-31,,RSV
2023-08-07,,RSV
2023-08-14,,RSV
2023-08-21,,RSV
2023-08-28,,RSV
2023-09-04,,RSV
2023-09-11,,RSV
2023-09-18,,RSV
2023-09-25,,RSV
2023-10-02,,RSV
2023-10-09,,RSV
2023-10-16,,RSV
2023-10-23,,RSV
2023-10-30,,RSV
2023-11-06,,RSV
2023-11-13,,RSV
2023-11-20,,RSV
2023-11-27,,RSV
2023-12-04,,RSV
2023-12-11,,RSV
2023-12-18,,RSV
2023-12-25,,RSV
2024-01-01,,RSV
2024-01-08,,RSV
2024-01-15,,RSV
2024-01-22,,RSV
2024-01-29,,RSV
2024-02-05,,RSV
2024-02-12,,RSV
2024-02-19,,RSV
2024-02-26,,RSV
2024-03-04,,RSV
2024-03-11,,RSV
2024-03-18,,RSV
2024-03-25,,RSV
2024-04-01,,RSV
2024-04-08,,RSV
2024-04-15,,RSV
2024-04-22,,RSV
2024-04-29,,RSV
2024-05-06,,RSV
2024-05-13,,RSV
2024-05-20,,RSV
2024-05-27,,RSV
2024-06-03,,RSV
2024-06-10,,RSV
2024-06-17,,RSV
2024-06-24,,RSV
2024-07-01,,RSV
2024-07-08,,RSV
2024-07-15,,RSV
2024-07-22,,RSV
2024-07-29,,RSV
2024-08-05,,RSV
2024-08-12,,RSV
2024-08-19,,RSV
2024-08-26,,RSV
2024-09-02,,RSV
2024-09-09,,RSV
2024-09-16,,RSV
2024-09-23,,RSV
2024-09-30,,RSV
2024-10-07,,RSV
2024-10-14,0.0,RSV
2024-10-21,0.0,RSV
2024-10-28,98703143411.39233,RSV
2024-11-04,179254786371.34967,RSV
2024-11-11,294561544889.67365,RSV
2024-11-18,293787602217.422,RSV
2024-11-25,470711419047.02454,RSV
2024-12-02,654149439427.755,RSV
2024-12-09,1062276648178.8134,RSV
2024-12-16,1317431246940.1443,RSV
2024-12-23,1619748712252.0,RSV
2025-01-06,1360966358823.07,RSV
2025-01-13,456960470763.526,RSV
2025-01-20,480380318333.596,RSV
2025-01-27,781604989849.6539,RSV
2025-02-03,629284832928.4786,RSV
2025-02-10,518714847680.3217,RSV
2025-02-17,222814457953.8047,RSV
2025-02-24,454607032878.87836,RSV
2025-03-03,397243629492.48,RSV
2025-03-10,524537327753.81805,RSV
2025-03-17,440644313797.17236,RSV
2025-03-24,534584637885.20636,RSV
2025-03-31,416091100907.5027,RSV
2025-04-07,543616342458.993,RSV
2025-04-14,539097772920.1646,RSV
2025-04-21,460865569913.11237,RSV
2025-04-28,282831357103.904,RSV
2025-05-05,282481176162.5137,RSV
2025-05-12,255717672073.246,RSV
2025-05-19,158327082362.536,RSV
2025-05-26,163829129526.41165,RSV
2025-06-02,94573620771.691,RSV
2025-06-09,94573620771.691,RSV
2025-06-16,0.0,RSV
2025-06-23,0.0,RSV
