time,rna_copies,label
2023-06-05,,RSV
2023-06-12,,RSV
2023-06-19,,RSV
2023-06-26,,RSV
2023-07-03,,RSV
2023-07-10,,RSV
2023-07-17,,RSV
2023-07-24,,RSV
2023-07-31,,RSV
2023-08-07,,RSV
2023-08-14,,RSV
2023-08-21,,RSV
2023-08-28,,RSV
2023-09-04,,RSV
2023-09-11,,RSV
2023-09-18,,RSV
2023-09-25,,RSV
2023-10-02,,RSV
2023-10-09,,RSV
2023-10-16,,RSV
2023-10-23,,RSV
2023-10-30,,RSV
2023-11-06,,RSV
2023-11-13,,RSV
2023-11-20,,RSV
2023-11-27,,RSV
2023-12-04,,RSV
2023-12-11,,RSV
2023-12-18,,RSV
2023-12-25,,RSV
2024-01-01,,RSV
2024-01-08,,RSV
2024-01-15,,RSV
2024-01-22,,RSV
2024-01-29,,RSV
2024-02-05,,RSV
2024-02-12,,RSV
2024-02-19,,RSV
2024-02-26,,RSV
2024-03-04,,RSV
2024-03-11,,RSV
2024-03-18,,RSV
2024-03-25,,RSV
2024-04-01,,RSV
2024-04-08,,RSV
2024-04-15,,RSV
2024-04-22,,RSV
2024-04-29,,RSV
2024-05-06,,RSV
2024-05-13,,RSV
2024-05-20,,RSV
2024-05-27,,RSV
2024-06-03,,RSV
2024-06-10,,RSV
2024-06-17,,RSV
2024-06-24,,RSV
2024-07-01,,RSV
2024-07-08,,RSV
2024-07-15,,RSV
2024-07-22,,RSV
2024-07-29,,RSV
2024-08-05,,RSV
2024-08-12,,RSV
2024-08-19,,RSV
2024-08-26,,RSV
2024-09-02,,RSV
2024-09-09,,RSV
2024-09-16,,RSV
2024-09-23,,RSV
2024-09-30,,RSV
2024-10-07,,RSV
2024-10-14,0.0,RSV
2024-10-21,0.0,RSV
2024-10-28,0.0,RSV
2024-11-04,34449862952.698,RSV
2024-11-11,34449862952.698,RSV
2024-11-18,51674794429.047,RSV
2024-11-25,0.0,RSV
2024-12-02,0.0,RSV
2024-12-09,99811038939.36566,RSV
2024-12-16,202864783087.979,RSV
2024-12-23,304297174631.9685,RSV
2025-01-06,309161232445.84,RSV
2025-01-13,396913647985.504,RSV
2025-01-20,931602516294.207,RSV
2025-01-27,1111847973452.9814,RSV
2025-02-03,1154708217927.7427,RSV
2025-02-10,1049192731773.1993,RSV
2025-02-17,913560923633.1227,RSV
2025-02-24,2039890893702.7334,RSV
2025-03-03,1814188524443.529,RSV
2025-03-10,1680251808569.5947,RSV
2025-03-17,510325380585.8223,RSV
2025-03-24,1004813780912.9366,RSV
2025-03-31,1091001245976.2369,RSV
2025-04-07,959432910087.1361,RSV
2025-04-14,418099008429.438,RSV
2025-04-21,347959669712.222,RSV
2025-04-28,347959669712.222,RSV
2025-05-05,289688083199.7477,RSV
2025-05-12,135879832971.953,RSV
2025-05-19,135879832971.953,RSV
2025-05-26,83450981361.122,RSV
2025-06-02,0.0,RSV
2025-06-09,0.0,RSV
2025-06-16,0.0,RSV
2025-06-23,0.0,RSV
