time,rna_copies,label
2024-10-14,44216315431.446335,RSV
2024-10-21,44216315431.446335,RSV
2024-10-28,44216315431.446335,RSV
2024-11-04,29498209879.398067,RSV
2024-11-11,55072072640.21997,RSV
2024-11-18,82608108960.32996,RSV
2024-11-25,117611697808.97935,RSV
2024-12-02,401600022661.679,RSV
2024-12-09,619634054955.926,RSV
2024-12-16,780440965873.0591,RSV
2024-12-23,848312329815.656,RSV
2025-01-06,640922540086.892,RSV
2025-01-13,934411003355.458,RSV
2025-01-20,897096090099.44,RSV
2025-01-27,666707690408.6176,RSV
2025-02-03,435985065025.87134,RSV
2025-02-10,392885966921.79565,RSV
2025-02-17,507926190510.0267,RSV
2025-02-24,651702174306.4106,RSV
2025-03-03,462997067268.90643,RSV
2025-03-10,633883754155.141,RSV
2025-03-17,537156048642.19,RSV
2025-03-24,673832694491.2246,RSV
2025-03-31,453209758689.883,RSV
2025-04-07,455866096732.5444,RSV
2025-04-14,348203626295.8256,RSV
2025-04-21,312244923468.49805,RSV
2025-04-28,181792598073.33066,RSV
2025-05-05,169703695243.06866,RSV
2025-05-12,71714793054.948,RSV
2025-05-19,183246092213.756,RSV
2025-05-26,111531299158.808,RSV
2025-06-02,111531299158.808,RSV
2025-06-09,0.0,RSV
2025-06-16,0.0,RSV
2025-06-23,0.0,RSV
