time,rna_copies,label
2023-06-05,,RSV
2023-06-12,,RSV
2023-06-19,12404317104.598024,RSV
2023-06-26,9547356789.161514,RSV
2023-07-03,12649274873.907679,RSV
2023-07-10,6679120229.283713,RSV
2023-07-17,3101918084.746166,RSV
2023-07-24,0.0,RSV
2023-07-31,31129360436.96458,RSV
2023-08-07,61859418549.28715,RSV
2023-08-14,61859418549.28715,RSV
2023-08-21,44225546068.03904,RSV
2023-08-28,13495487955.716475,RSV
2023-09-04,13495487955.716475,RSV
2023-09-11,14389331875.47672,RSV
2023-09-18,39263795164.040855,RSV
2023-09-25,41891560354.7011,RSV
2023-10-02,57170667262.174034,RSV
2023-10-09,58205480123.71457,RSV
2023-10-16,85889404688.27669,RSV
2023-10-23,72484097612.31137,RSV
2023-10-30,88510860599.10948,RSV
2023-11-06,159188680212.94714,RSV
2023-11-13,278760541243.7773,RSV
2023-11-20,365686324564.1817,RSV
2023-11-27,621749275212.2479,RSV
2023-12-04,992586866070.0614,RSV
2023-12-11,1257913058163.7312,RSV
2023-12-18,1571058672009.7097,RSV
2023-12-25,1596579132621.1226,RSV
2024-01-01,1188457375298.4434,RSV
2024-01-08,540971119336.8876,RSV
2024-01-15,537393123322.1683,RSV
2024-01-22,600930002430.7179,RSV
2024-01-29,494325696116.05,RSV
2024-02-05,381859351134.5613,RSV
2024-02-12,216116108708.76987,RSV
2024-02-19,140911853873.67404,RSV
2024-02-26,141041159427.3765,RSV
2024-03-04,153671537077.88248,RSV
2024-03-11,139831232355.40884,RSV
2024-03-18,90356547730.68709,RSV
2024-03-25,82814318964.3302,RSV
2024-04-01,39922614947.833435,RSV
2024-04-08,24988628569.431595,RSV
2024-04-15,11200807396.290514,RSV
2024-04-22,31259273181.344772,RSV
2024-04-29,31259273181.344772,RSV
2024-05-06,20058465785.05426,RSV
2024-05-13,0.0,RSV
2024-05-20,0.0,RSV
2024-05-27,0.0,RSV
2024-06-03,5367001665.93366,RSV
2024-06-10,5367001665.93366,RSV
2024-06-17,5367001665.93366,RSV
2024-06-24,0.0,RSV
2024-07-01,0.0,RSV
2024-07-08,3175966367.562414,RSV
2024-07-15,3175966367.562414,RSV
2024-07-22,3175966367.562414,RSV
2024-07-29,0.0,RSV
2024-08-05,3294480429.036549,RSV
2024-08-12,3294480429.036549,RSV
2024-08-19,3294480429.036549,RSV
2024-08-26,6164296589.775497,RSV
2024-09-02,6164296589.775497,RSV
2024-09-09,6164296589.775497,RSV
2024-09-16,0.0,RSV
2024-09-23,16454165711.865374,RSV
2024-09-30,27792538241.05923,RSV
2024-10-07,27792538241.05923,RSV
2024-10-14,65780384152.71125,RSV
2024-10-21,69735466153.64336,RSV
2024-10-28,109024553040.72942,RSV
2024-11-04,116901553756.86711,RSV
2024-11-11,149219983515.34714,RSV
2024-11-18,164896344942.3916,RSV
2024-11-25,238880330120.33533,RSV
2024-12-02,471279198447.9995,RSV
2024-12-09,632787247201.9252,RSV
2024-12-16,904378445428.8535,RSV
2024-12-23,1052750973382.707,RSV
2025-01-06,1149698602055.6377,RSV
2025-01-13,863626806484.9077,RSV
2025-01-20,889177126059.6334,RSV
2025-01-27,862356765565.5044,RSV
2025-02-03,695740431471.0093,RSV
2025-02-10,587851509533.6727,RSV
2025-02-17,545006131634.021,RSV
2025-02-24,674544661801.6431,RSV
2025-03-03,537760741979.54486,RSV
2025-03-10,498328283839.7085,RSV
2025-03-17,362361341241.5113,RSV
2025-03-24,413231470610.5117,RSV
2025-03-31,339240575092.99335,RSV
2025-04-07,323412624359.97797,RSV
2025-04-14,273959244666.81665,RSV
2025-04-21,253934246356.58536,RSV
2025-04-28,189688819351.71667,RSV
2025-05-05,160083771579.95114,RSV
2025-05-12,99272142666.7757,RSV
2025-05-19,79257919717.54547,RSV
2025-05-26,54371299184.3754,RSV
2025-06-02,35526425198.12614,RSV
2025-06-09,20783170248.6747,RSV
2025-06-16,16645611729.425783,RSV
2025-06-23,3023829637.00615,RSV
