time,rna_copies,label
2023-06-19,23423545139.944504,RSV
2023-06-26,40272559382.242546,RSV
2023-07-03,40272559382.242546,RSV
2023-07-10,16849014242.298044,RSV
2023-07-17,0.0,RSV
2023-07-24,0.0,RSV
2023-07-31,35278491239.095726,RSV
2023-08-07,35278491239.095726,RSV
2023-08-14,35278491239.095726,RSV
2023-08-21,0.0,RSV
2023-08-28,0.0,RSV
2023-09-04,0.0,RSV
2023-09-11,20978230872.723534,RSV
2023-09-18,20978230872.723534,RSV
2023-09-25,20978230872.723534,RSV
2023-10-02,0.0,RSV
2023-10-09,0.0,RSV
2023-10-16,12563452646.222666,RSV
2023-10-23,12563452646.222666,RSV
2023-10-30,34630456353.19437,RSV
2023-11-06,53349605781.711235,RSV
2023-11-13,73693030744.83743,RSV
2023-11-20,147569693041.36673,RSV
2023-11-27,316904631669.9299,RSV
2023-12-04,589056584347.4253,RSV
2023-12-11,651820514919.2433,RSV
2023-12-18,692711793098.088,RSV
2023-12-25,600324623186.1995,RSV
2024-01-01,466751580866.5165,RSV
2024-01-08,322221682176.405,RSV
2024-01-15,291782760131.3354,RSV
2024-01-22,382331647552.5054,RSV
2024-01-29,327154432784.16364,RSV
2024-02-05,304484390680.99603,RSV
2024-02-12,177671304764.85532,RSV
2024-02-19,135233774767.10066,RSV
2024-02-26,148506291080.60568,RSV
2024-03-04,115111587880.046,RSV
2024-03-11,103223803989.68535,RSV
2024-03-18,35653024432.28267,RSV
2024-03-25,35653024432.28267,RSV
2024-04-01,0.0,RSV
2024-04-08,0.0,RSV
2024-04-15,0.0,RSV
2024-04-22,0.0,RSV
2024-04-29,0.0,RSV
2024-05-06,0.0,RSV
2024-05-13,0.0,RSV
2024-05-20,0.0,RSV
2024-05-27,0.0,RSV
2024-06-03,0.0,RSV
2024-06-10,0.0,RSV
2024-06-17,0.0,RSV
2024-06-24,0.0,RSV
2024-07-01,0.0,RSV
2024-07-08,0.0,RSV
2024-07-15,0.0,RSV
2024-07-22,0.0,RSV
2024-07-29,0.0,RSV
2024-08-05,0.0,RSV
2024-08-12,0.0,RSV
2024-08-19,0.0,RSV
2024-08-26,0.0,RSV
2024-09-02,0.0,RSV
2024-09-09,0.0,RSV
2024-09-16,0.0,RSV
2024-09-23,10161638783.541134,RSV
2024-09-30,10161638783.541134,RSV
2024-10-07,10161638783.541134,RSV
2024-10-14,200907513882.91733,RSV
2024-10-21,267604296526.3663,RSV
2024-10-28,317856136835.34595,RSV
2024-11-04,211123229008.69833,RSV
2024-11-11,165784231268.7107,RSV
2024-11-18,173298586439.5965,RSV
2024-11-25,72358006135.3729,RSV
2024-12-02,377039789077.6234,RSV
2024-12-09,282913673247.6225,RSV
2024-12-16,298512066120.8118,RSV
2024-12-23,111049638883.7753,RSV
2025-01-06,127437836179.93,RSV
2025-01-13,316545264851.738,RSV
2025-01-20,610310816302.8925,RSV
2025-01-27,634673305658.667,RSV
2025-02-03,611781703703.7096,RSV
2025-02-10,659675207225.424,RSV
2025-02-17,537572052892.4156,RSV
2025-02-24,608863638826.1549,RSV
2025-03-03,423146373635.222,RSV
2025-03-10,470659928209.98065,RSV
2025-03-17,357927274170.6756,RSV
2025-03-24,228776093457.06766,RSV
2025-03-31,149729869681.272,RSV
2025-04-07,138256946442.30536,RSV
2025-04-14,142862184096.78305,RSV
2025-04-21,118642934628.29271,RSV
2025-04-28,125908250596.55634,RSV
2025-05-05,86919166073.55634,RSV
2025-05-12,100798423755.80266,RSV
2025-05-19,63823612803.116,RSV
2025-05-26,63823612803.116,RSV
2025-06-02,0.0,RSV
2025-06-09,0.0,RSV
2025-06-16,0.0,RSV
2025-06-23,0.0,RSV
