time,rna_copies,label
2020-04-20,557924478334.4097,SARS-CoV-2
2020-04-27,295902043504.57294,SARS-CoV-2
2020-05-04,125960680894.59383,SARS-CoV-2
2020-05-11,97092347128.24516,SARS-CoV-2
2020-05-18,121006294343.19283,SARS-CoV-2
2020-05-25,125712305734.60118,SARS-CoV-2
2020-06-01,100095255474.62984,SARS-CoV-2
2020-06-08,29709380593.57217,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,94520610246.13434,SARS-CoV-2
2020-07-06,133634088105.684,SARS-CoV-2
2020-07-13,224427238768.35165,SARS-CoV-2
2020-07-20,231999028211.70364,SARS-CoV-2
2020-07-27,265098169754.99496,SARS-CoV-2
2020-08-03,275025143671.0913,SARS-CoV-2
2020-08-10,317988560891.3443,SARS-CoV-2
2020-08-17,494983335139.1546,SARS-CoV-2
2020-08-24,419576158260.3309,SARS-CoV-2
2020-08-31,324807923971.85895,SARS-CoV-2
2020-09-07,117532142915.21794,SARS-CoV-2
2020-09-14,216917705640.8087,SARS-CoV-2
2020-09-21,228560795381.85965,SARS-CoV-2
2020-09-28,310035560205.42633,SARS-CoV-2
2020-10-05,322979531732.2414,SARS-CoV-2
2020-10-12,406046266568.97534,SARS-CoV-2
2020-10-19,663873861710.305,SARS-CoV-2
2020-10-26,2388064086031.1123,SARS-CoV-2
2020-11-02,4346536302238.154,SARS-CoV-2
2020-11-09,5953834669845.526,SARS-CoV-2
2020-11-16,5913643555743.051,SARS-CoV-2
2020-11-23,5551963886998.15,SARS-CoV-2
2020-11-30,4772853467522.437,SARS-CoV-2
2020-12-07,4002123384932.834,SARS-CoV-2
2020-12-14,2664666533216.06,SARS-CoV-2
2020-12-21,2161644988521.9102,SARS-CoV-2
2020-12-28,1330352300798.6562,SARS-CoV-2
2021-01-04,1206280061134.202,SARS-CoV-2
2021-01-04,783984482915.641,SARS-CoV-2
2021-01-11,911202123280.9879,SARS-CoV-2
2021-01-18,805508035190.7269,SARS-CoV-2
2021-01-25,726431999311.8827,SARS-CoV-2
2021-02-01,560947741646.0079,SARS-CoV-2
2021-02-08,518213000246.78076,SARS-CoV-2
2021-02-15,553429596504.5406,SARS-CoV-2
2021-02-22,757735198671.0922,SARS-CoV-2
2021-03-01,783284282442.317,SARS-CoV-2
2021-03-08,769479735386.2367,SARS-CoV-2
2021-03-15,746084034315.36,SARS-CoV-2
2021-03-22,835461018964.7506,SARS-CoV-2
2021-03-29,790433904754.5267,SARS-CoV-2
2021-04-05,539494358865.73505,SARS-CoV-2
2021-04-12,413602405023.2557,SARS-CoV-2
2021-04-19,346217607404.86597,SARS-CoV-2
2021-04-26,351010431218.32135,SARS-CoV-2
2021-05-03,317017057568.439,SARS-CoV-2
2021-05-10,251096170878.5823,SARS-CoV-2
2021-05-17,219242002178.94968,SARS-CoV-2
2021-05-24,167624145989.13467,SARS-CoV-2
2021-05-31,160874828717.1,SARS-CoV-2
