time,rna_copies,label
2020-04-06,,SARS-CoV-2
2020-04-13,,SARS-CoV-2
2020-04-20,,SARS-CoV-2
2020-04-27,,SARS-CoV-2
2020-05-04,,SARS-CoV-2
2020-05-11,,SARS-CoV-2
2020-05-18,,SARS-CoV-2
2020-05-25,,SARS-CoV-2
2020-06-01,0.0,SARS-CoV-2
2020-06-08,0.0,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,61223052864.139336,SARS-CoV-2
2020-07-06,96539462593.75465,SARS-CoV-2
2020-07-13,148500798389.296,SARS-CoV-2
2020-07-20,296691703862.42535,SARS-CoV-2
2020-07-27,388322990928.51904,SARS-CoV-2
2020-08-03,469065677017.3387,SARS-CoV-2
2020-08-10,456832843414.4456,SARS-CoV-2
2020-08-17,448484011687.93604,SARS-CoV-2
2020-08-24,364837839077.07666,SARS-CoV-2
2020-08-31,195191245319.48157,SARS-CoV-2
2020-09-07,96692850481.28163,SARS-CoV-2
2020-09-14,131292431031.80763,SARS-CoV-2
2020-09-21,180149312551.48105,SARS-CoV-2
2020-09-28,224239712648.7333,SARS-CoV-2
2020-10-05,233636890721.25168,SARS-CoV-2
2020-10-12,261066166434.12698,SARS-CoV-2
2020-10-19,295312944158.813,SARS-CoV-2
2020-10-26,1022996312731.879,SARS-CoV-2
2020-11-02,2527675868111.125,SARS-CoV-2
2020-11-09,3931721503984.6997,SARS-CoV-2
2020-11-16,4900708705666.17,SARS-CoV-2
2020-11-23,4838007399918.946,SARS-CoV-2
2020-11-30,3428724393082.553,SARS-CoV-2
2020-12-07,2393565506810.654,SARS-CoV-2
2020-12-14,1776437175669.38,SARS-CoV-2
2020-12-21,1444692053388.0667,SARS-CoV-2
2020-12-28,1116215504913.9573,SARS-CoV-2
2021-01-04,800082338328.9088,SARS-CoV-2
2021-01-04,459904802545.56934,SARS-CoV-2
2021-01-11,487518494812.68896,SARS-CoV-2
2021-01-18,472222323794.83936,SARS-CoV-2
2021-01-25,426182819290.0234,SARS-CoV-2
2021-02-01,215040506475.51968,SARS-CoV-2
2021-02-08,266946175677.3287,SARS-CoV-2
2021-02-15,239881090140.24365,SARS-CoV-2
2021-02-22,534013557764.4617,SARS-CoV-2
2021-03-01,689157445940.1498,SARS-CoV-2
2021-03-08,806483365934.9644,SARS-CoV-2
2021-03-15,785387564177.5477,SARS-CoV-2
2021-03-22,636797554927.4307,SARS-CoV-2
2021-03-29,926373435592.5934,SARS-CoV-2
2021-04-05,944768341825.6593,SARS-CoV-2
2021-04-12,858202317130.1854,SARS-CoV-2
2021-04-19,682485299078.402,SARS-CoV-2
2021-04-26,561427301655.524,SARS-CoV-2
2021-05-03,734444985209.9535,SARS-CoV-2
2021-05-10,588562558673.399,SARS-CoV-2
2021-05-17,482830509409.18634,SARS-CoV-2
2021-05-24,343343685389.6463,SARS-CoV-2
2021-05-31,240385815404.20932,SARS-CoV-2
2021-06-07,254534090868.98203,SARS-CoV-2
2021-06-14,175149370136.71408,SARS-CoV-2
2021-06-21,100510880416.1754,SARS-CoV-2
2021-06-28,166142557010.5234,SARS-CoV-2
2021-07-05,385734923142.40936,SARS-CoV-2
2021-07-12,488452564863.59894,SARS-CoV-2
2021-07-19,615394348105.745,SARS-CoV-2
2021-07-26,455255539818.57764,SARS-CoV-2
2021-08-02,484037639208.3457,SARS-CoV-2
2021-08-09,440411925102.7386,SARS-CoV-2
2021-08-16,457003947136.1873,SARS-CoV-2
2021-08-23,471452334441.1093,SARS-CoV-2
2021-08-30,501173980030.1633,SARS-CoV-2
2021-09-06,867395707321.0599,SARS-CoV-2
2021-09-13,1400587393977.097,SARS-CoV-2
2021-09-20,1319747005657.3628,SARS-CoV-2
2021-09-27,1058080689605.257,SARS-CoV-2
2021-10-04,418051197404.99835,SARS-CoV-2
2021-10-11,711666742497.4257,SARS-CoV-2
2021-10-18,1168924087701.588,SARS-CoV-2
2021-10-25,1810515169953.64,SARS-CoV-2
2021-11-01,1784071719572.9668,SARS-CoV-2
2021-11-08,1925718147601.4766,SARS-CoV-2
2021-11-15,1842917312752.54,SARS-CoV-2
2021-11-22,2827755749129.217,SARS-CoV-2
2021-11-29,2874342548192.9,SARS-CoV-2
2021-12-06,3021023597145.8696,SARS-CoV-2
2021-12-13,2411701112473.0435,SARS-CoV-2
2021-12-20,3107400839878.127,SARS-CoV-2
2021-12-27,3544228830975.575,SARS-CoV-2
2022-01-03,6361639496949.016,SARS-CoV-2
2022-01-10,6131166917069.405,SARS-CoV-2
2022-01-17,6955736281611.19,SARS-CoV-2
2022-01-24,5936201202822.804,SARS-CoV-2
