time,rna_copies,label
2020-06-08,0.0,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,131852907591.10167,SARS-CoV-2
2020-07-06,192977022344.842,SARS-CoV-2
2020-07-13,231492243472.15735,SARS-CoV-2
2020-07-20,149459003821.5835,SARS-CoV-2
2020-07-27,145726059589.5775,SARS-CoV-2
2020-08-03,169640440230.601,SARS-CoV-2
2020-08-10,151912674880.4727,SARS-CoV-2
2020-08-17,128514274715.01265,SARS-CoV-2
2020-08-24,97094257701.55577,SARS-CoV-2
2020-08-31,113085624418.12744,SARS-CoV-2
2020-09-07,101742497665.65602,SARS-CoV-2
2020-09-14,136651530399.40727,SARS-CoV-2
2020-09-21,115781681156.88759,SARS-CoV-2
2020-09-28,148473718552.49432,SARS-CoV-2
2020-10-05,118196892557.96027,SARS-CoV-2
2020-10-12,164124790710.42795,SARS-CoV-2
2020-10-19,209491795423.48526,SARS-CoV-2
2020-10-26,1113814420808.6907,SARS-CoV-2
2020-11-02,2236545901950.739,SARS-CoV-2
2020-11-09,3033038374316.203,SARS-CoV-2
2020-11-16,3223510551028.453,SARS-CoV-2
2020-11-23,2707858539818.0864,SARS-CoV-2
2020-11-30,2279410505655.0366,SARS-CoV-2
2020-12-07,2032947790923.2766,SARS-CoV-2
2020-12-14,1802167315060.7068,SARS-CoV-2
2020-12-21,1984148705331.9065,SARS-CoV-2
2020-12-28,1252939620608.4067,SARS-CoV-2
2021-01-04,851060150367.8336,SARS-CoV-2
2021-01-04,436841329777.9167,SARS-CoV-2
2021-01-11,526528609088.21466,SARS-CoV-2
2021-01-18,757473721711.7367,SARS-CoV-2
2021-01-25,621964198130.8534,SARS-CoV-2
2021-02-01,450248027729.77637,SARS-CoV-2
2021-02-08,280710596634.5493,SARS-CoV-2
2021-02-15,313086890400.52936,SARS-CoV-2
2021-02-22,404491757546.50464,SARS-CoV-2
2021-03-01,462815621945.41205,SARS-CoV-2
2021-03-08,513951809442.74335,SARS-CoV-2
2021-03-15,466486644933.79865,SARS-CoV-2
2021-03-22,371410747534.6236,SARS-CoV-2
2021-03-29,453758749014.77997,SARS-CoV-2
2021-04-05,496855549442.07635,SARS-CoV-2
2021-04-12,464491741883.8226,SARS-CoV-2
2021-04-19,271179689057.0037,SARS-CoV-2
2021-04-26,268294518558.099,SARS-CoV-2
2021-05-03,397812562146.281,SARS-CoV-2
2021-05-10,357042370139.753,SARS-CoV-2
2021-05-17,293921826356.036,SARS-CoV-2
2021-05-24,181157555734.73965,SARS-CoV-2
2021-05-31,239098534373.65396,SARS-CoV-2
2021-06-07,178510883305.12103,SARS-CoV-2
2021-06-14,156334685455.6977,SARS-CoV-2
2021-06-21,64364984147.3797,SARS-CoV-2
2021-06-28,79429236159.453,SARS-CoV-2
2021-07-05,134645249837.151,SARS-CoV-2
2021-07-12,349508280130.96063,SARS-CoV-2
2021-07-19,482627850062.87897,SARS-CoV-2
2021-07-26,447907073334.24335,SARS-CoV-2
2021-08-02,416832570906.31934,SARS-CoV-2
2021-08-09,376060872470.06537,SARS-CoV-2
2021-08-16,593648272053.231,SARS-CoV-2
2021-08-23,596868178723.6206,SARS-CoV-2
2021-08-30,562175325805.3477,SARS-CoV-2
2021-09-06,544509846355.261,SARS-CoV-2
2021-09-13,836445494427.319,SARS-CoV-2
2021-09-20,843514214247.4357,SARS-CoV-2
2021-09-27,740135415116.1426,SARS-CoV-2
2021-10-04,794587256717.1859,SARS-CoV-2
2021-10-11,1385474187991.9148,SARS-CoV-2
2021-10-18,1407282977101.0605,SARS-CoV-2
2021-10-25,1066780005370.6093,SARS-CoV-2
2021-11-01,501816892710.42365,SARS-CoV-2
2021-11-08,594609677022.4596,SARS-CoV-2
2021-11-15,882777824552.2109,SARS-CoV-2
2021-11-22,1440172197708.0898,SARS-CoV-2
2021-11-29,1774423444490.7566,SARS-CoV-2
2021-12-06,2128381111565.58,SARS-CoV-2
2021-12-13,3094786079810.6763,SARS-CoV-2
