time,rna_copies,label
2020-04-06,,SARS-CoV-2
2020-04-13,,SARS-CoV-2
2020-04-20,,SARS-CoV-2
2020-04-27,,SARS-CoV-2
2020-05-04,,SARS-CoV-2
2020-05-11,,SARS-CoV-2
2020-05-18,,SARS-CoV-2
2020-05-25,,SARS-CoV-2
2020-06-01,,SARS-CoV-2
2020-06-08,,SARS-CoV-2
2020-06-15,,SARS-CoV-2
2020-06-22,,SARS-CoV-2
2020-06-29,,SARS-CoV-2
2020-07-06,,SARS-CoV-2
2020-07-13,,SARS-CoV-2
2020-07-20,,SARS-CoV-2
2020-07-27,,SARS-CoV-2
2020-08-03,,SARS-CoV-2
2020-08-10,,SARS-CoV-2
2020-08-17,,SARS-CoV-2
2020-08-24,,SARS-CoV-2
2020-08-31,,SARS-CoV-2
2020-09-07,21298478532.734432,SARS-CoV-2
2020-09-14,0.0,SARS-CoV-2
2020-09-21,0.0,SARS-CoV-2
2020-09-28,30110430815.72537,SARS-CoV-2
2020-10-05,30110430815.72537,SARS-CoV-2
2020-10-12,50574722230.03663,SARS-CoV-2
2020-10-19,140533122892.6979,SARS-CoV-2
2020-10-26,557488643317.0546,SARS-CoV-2
2020-11-02,706065995980.505,SARS-CoV-2
2020-11-09,1123414498128.515,SARS-CoV-2
2020-11-16,951811742720.516,SARS-CoV-2
2020-11-23,1220571936721.6208,SARS-CoV-2
2020-11-30,988772598183.6654,SARS-CoV-2
2020-12-07,1341506674889.1677,SARS-CoV-2
2020-12-14,1087764694497.8794,SARS-CoV-2
2020-12-21,955319185932.0391,SARS-CoV-2
2020-12-28,466077011488.31104,SARS-CoV-2
2021-01-04,367737283123.8413,SARS-CoV-2
2021-01-04,245883460993.59863,SARS-CoV-2
2021-01-11,137038793715.46667,SARS-CoV-2
2021-01-18,249459746024.90634,SARS-CoV-2
2021-01-25,198141081632.54834,SARS-CoV-2
2021-02-01,198141081632.54834,SARS-CoV-2
2021-02-08,35024029205.67333,SARS-CoV-2
2021-02-15,109224370667.02068,SARS-CoV-2
2021-02-22,138548640617.1561,SARS-CoV-2
2021-03-01,158705616893.5171,SARS-CoV-2
2021-03-08,136465569128.97542,SARS-CoV-2
2021-03-15,146137652907.20068,SARS-CoV-2
2021-03-22,427253705710.3663,SARS-CoV-2
2021-03-29,571317879688.2706,SARS-CoV-2
2021-04-05,661267100178.7001,SARS-CoV-2
2021-04-12,378960892944.1174,SARS-CoV-2
2021-04-19,338190824745.40265,SARS-CoV-2
2021-04-26,325148220909.13434,SARS-CoV-2
2021-05-03,356942377873.8803,SARS-CoV-2
2021-05-10,307818126285.33936,SARS-CoV-2
2021-05-17,237472466393.41568,SARS-CoV-2
2021-05-24,301528280102.773,SARS-CoV-2
2021-05-31,345385005187.2057,SARS-CoV-2
2021-06-07,318699714851.2548,SARS-CoV-2
2021-06-14,168858893126.53418,SARS-CoV-2
2021-06-21,28308030231.97075,SARS-CoV-2
2021-06-28,261912042617.175,SARS-CoV-2
2021-07-05,726582783210.2744,SARS-CoV-2
2021-07-12,543887506981.76324,SARS-CoV-2
2021-07-19,442273009337.7476,SARS-CoV-2
2021-07-26,193575668836.304,SARS-CoV-2
2021-08-02,175524864179.03833,SARS-CoV-2
2021-08-09,162903328751.381,SARS-CoV-2
2021-08-16,139119367564.37567,SARS-CoV-2
2021-08-23,168371370272.08133,SARS-CoV-2
2021-08-30,159516413450.72733,SARS-CoV-2
2021-09-06,311055571244.86896,SARS-CoV-2
2021-09-13,451687382583.0153,SARS-CoV-2
2021-09-20,496782254236.0059,SARS-CoV-2
2021-09-27,391558457225.7933,SARS-CoV-2
2021-10-04,237495642489.99936,SARS-CoV-2
2021-10-11,187372555435.84167,SARS-CoV-2
2021-10-18,103758002611.62866,SARS-CoV-2
2021-10-25,154421821285.77365,SARS-CoV-2
2021-11-01,178449715598.71466,SARS-CoV-2
2021-11-08,453300013043.6673,SARS-CoV-2
2021-11-15,888336395798.3597,SARS-CoV-2
2021-11-22,1657049714288.2227,SARS-CoV-2
2021-11-29,1466291134494.868,SARS-CoV-2
2021-12-06,3223492214434.838,SARS-CoV-2
2021-12-13,3017728981357.381,SARS-CoV-2
2021-12-20,4400455895558.675,SARS-CoV-2
2021-12-27,1900400408527.81,SARS-CoV-2
2022-01-03,863301513395.567,SARS-CoV-2
2022-01-10,2757357703178.174,SARS-CoV-2
2022-01-17,3498107870537.5356,SARS-CoV-2
2022-01-24,4516882185689.75,SARS-CoV-2
2022-01-31,4526949972646.0,SARS-CoV-2
2022-02-07,3362628028555.3867,SARS-CoV-2
2022-02-14,2355594462419.562,SARS-CoV-2
2022-02-21,923448713423.4586,SARS-CoV-2
