time,rna_copies,label
2020-07-27,173461966781.356,SARS-CoV-2
2020-08-03,149803324632.073,SARS-CoV-2
2020-08-10,125605157262.95833,SARS-CoV-2
2020-08-17,89706034626.64732,SARS-CoV-2
2020-08-24,50877195268.531,SARS-CoV-2
2020-08-31,45676308509.135,SARS-CoV-2
2020-09-07,45676308509.135,SARS-CoV-2
2020-09-14,91803823653.73035,SARS-CoV-2
2020-09-21,46127515144.59534,SARS-CoV-2
2020-09-28,78066993299.55153,SARS-CoV-2
2020-10-05,31939478154.956203,SARS-CoV-2
2020-10-12,31939478154.956203,SARS-CoV-2
2020-10-19,81941842791.14732,SARS-CoV-2
2020-10-26,225843179183.25635,SARS-CoV-2
2020-11-02,432220002007.53876,SARS-CoV-2
2020-11-09,860507353245.1246,SARS-CoV-2
2020-11-16,1357671682826.6155,SARS-CoV-2
2020-11-23,1961028076156.3098,SARS-CoV-2
2020-11-30,2739347339173.4165,SARS-CoV-2
2020-12-07,2496716618979.0864,SARS-CoV-2
2020-12-14,1906011905487.9958,SARS-CoV-2
2020-12-21,1078289122939.269,SARS-CoV-2
2020-12-28,830744891455.0503,SARS-CoV-2
2021-01-04,917574583188.2471,SARS-CoV-2
2021-01-04,346005071221.4455,SARS-CoV-2
2021-01-11,273850848960.5455,SARS-CoV-2
2021-01-18,333562527892.325,SARS-CoV-2
2021-01-25,309262850237.4667,SARS-CoV-2
2021-02-01,337912540345.2036,SARS-CoV-2
2021-02-08,468594072348.4567,SARS-CoV-2
2021-02-15,775144268923.2726,SARS-CoV-2
2021-02-22,881188507084.3066,SARS-CoV-2
2021-03-01,703221580879.1589,SARS-CoV-2
2021-03-08,710369499909.549,SARS-CoV-2
2021-03-15,553297265653.4349,SARS-CoV-2
2021-03-22,548473419885.94,SARS-CoV-2
2021-03-29,766864072463.0299,SARS-CoV-2
2021-04-05,753285987165.7897,SARS-CoV-2
2021-04-12,686215256337.7096,SARS-CoV-2
2021-04-19,405471036690.1579,SARS-CoV-2
2021-04-26,698004942199.7499,SARS-CoV-2
2021-05-03,1043382364036.775,SARS-CoV-2
2021-05-10,987967851998.6469,SARS-CoV-2
2021-05-17,769280198766.034,SARS-CoV-2
2021-05-24,600848270919.898,SARS-CoV-2
2021-05-31,450219333155.875,SARS-CoV-2
2021-06-07,392768991284.5607,SARS-CoV-2
2021-06-14,332737722221.559,SARS-CoV-2
2021-06-21,267560699900.5867,SARS-CoV-2
2021-06-28,943540630390.547,SARS-CoV-2
2021-07-05,915672955976.297,SARS-CoV-2
2021-07-12,1320103836050.4336,SARS-CoV-2
2021-07-19,181292812452.1935,SARS-CoV-2
2021-07-26,0.0,SARS-CoV-2
2021-08-02,0.0,SARS-CoV-2
2021-08-09,100845410728.56267,SARS-CoV-2
2021-08-16,596258949662.6593,SARS-CoV-2
2021-08-23,822860717438.098,SARS-CoV-2
2021-08-30,1007460259895.6874,SARS-CoV-2
2021-09-06,935522999474.0039,SARS-CoV-2
2021-09-13,921200288697.4332,SARS-CoV-2
2021-09-20,780735608211.0732,SARS-CoV-2
2021-09-27,449866285332.9563,SARS-CoV-2
2021-10-04,567807315514.6276,SARS-CoV-2
2021-10-11,640482288899.0977,SARS-CoV-2
2021-10-18,719611990332.6857,SARS-CoV-2
2021-10-25,836911039986.2764,SARS-CoV-2
2021-11-01,828195628770.6094,SARS-CoV-2
2021-11-08,1349367832296.365,SARS-CoV-2
2021-11-15,1556027070832.5417,SARS-CoV-2
2021-11-22,1995067453882.03,SARS-CoV-2
2021-11-29,1575118107476.124,SARS-CoV-2
2021-12-06,1808646106998.491,SARS-CoV-2
2021-12-13,1530375536568.384,SARS-CoV-2
2021-12-20,2312908993542.22,SARS-CoV-2
2021-12-27,2137803927974.3198,SARS-CoV-2
2022-01-03,2225829364417.9,SARS-CoV-2
2022-01-10,1740953011712.84,SARS-CoV-2
2022-01-17,2700354134398.9634,SARS-CoV-2
2022-01-24,4280685805457.223,SARS-CoV-2
2022-01-31,5005264975070.354,SARS-CoV-2
2022-02-07,3767360308498.0923,SARS-CoV-2
2022-02-14,3855897275659.5356,SARS-CoV-2
2022-02-21,2920531788161.4424,SARS-CoV-2
2022-02-28,3837770311953.187,SARS-CoV-2
2022-03-07,2714568777882.7637,SARS-CoV-2
2022-03-14,3443330894113.59,SARS-CoV-2
2022-03-21,3205600414873.6836,SARS-CoV-2
2022-03-28,4183379218050.0063,SARS-CoV-2
2022-04-04,4464856100592.43,SARS-CoV-2
2022-04-11,4667556594499.751,SARS-CoV-2
2022-04-18,3633448605137.7437,SARS-CoV-2
2022-04-25,3231966569684.813,SARS-CoV-2
2022-05-02,3981740462140.263,SARS-CoV-2
2022-05-09,3780149835219.0366,SARS-CoV-2
2022-05-16,3428295435805.017,SARS-CoV-2
2022-05-23,1778633386744.6572,SARS-CoV-2
2022-05-30,1699175377851.6672,SARS-CoV-2
2022-06-06,1658453421958.3105,SARS-CoV-2
2022-06-13,3086190924070.6196,SARS-CoV-2
2022-06-20,4605646400168.847,SARS-CoV-2
2022-06-27,6058055580850.22,SARS-CoV-2
2022-07-04,5681309877613.483,SARS-CoV-2
2022-07-11,6856194695980.56,SARS-CoV-2
2022-07-18,5083294973735.007,SARS-CoV-2
2022-07-25,4628474993472.7705,SARS-CoV-2
2022-08-01,1596588319856.9268,SARS-CoV-2
2022-08-08,2332381047547.74,SARS-CoV-2
2022-08-15,1556359463102.2449,SARS-CoV-2
2022-08-22,1781961534688.2112,SARS-CoV-2
2022-08-29,924425282810.4064,SARS-CoV-2
2022-09-05,1168801496249.7683,SARS-CoV-2
2022-09-12,995381324080.6283,SARS-CoV-2
2022-09-19,1315169080964.5867,SARS-CoV-2
2022-09-26,1642917798847.0332,SARS-CoV-2
2022-10-03,1585951757307.824,SARS-CoV-2
2022-10-10,3038897641653.1606,SARS-CoV-2
2022-10-17,4408705185465.181,SARS-CoV-2
2022-10-24,6386281732029.63,SARS-CoV-2
