time,rna_copies,label
2020-04-06,,SARS-CoV-2
2020-04-13,,SARS-CoV-2
2020-04-20,,SARS-CoV-2
2020-04-27,,SARS-CoV-2
2020-05-04,,SARS-CoV-2
2020-05-11,,SARS-CoV-2
2020-05-18,54225284237.9488,SARS-CoV-2
2020-05-25,44859827410.23227,SARS-CoV-2
2020-06-01,23816914791.27553,SARS-CoV-2
2020-06-08,0.0,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,0.0,SARS-CoV-2
2020-07-06,20821755641.093567,SARS-CoV-2
2020-07-13,29948243901.53117,SARS-CoV-2
2020-07-20,39358083671.13337,SARS-CoV-2
2020-07-27,41569477874.049995,SARS-CoV-2
2020-08-03,74302280476.71674,SARS-CoV-2
2020-08-10,64892440707.11453,SARS-CoV-2
2020-08-17,56141983238.28754,SARS-CoV-2
2020-08-24,14282692375.183199,SARS-CoV-2
2020-08-31,25795104322.128338,SARS-CoV-2
2020-09-07,36705658993.89907,SARS-CoV-2
2020-09-14,50015028644.23657,SARS-CoV-2
2020-09-21,52764554335.39393,SARS-CoV-2
2020-09-28,105652953011.85735,SARS-CoV-2
2020-10-05,153986043234.3315,SARS-CoV-2
2020-10-12,253656254873.86865,SARS-CoV-2
2020-10-19,1096788412964.0947,SARS-CoV-2
2020-10-26,2625502049463.5,SARS-CoV-2
2020-11-02,4725363699978.943,SARS-CoV-2
2020-11-09,5918186557892.784,SARS-CoV-2
2020-11-16,4756040225737.486,SARS-CoV-2
2020-11-23,3826851433127.66,SARS-CoV-2
2020-11-30,2547936983555.5933,SARS-CoV-2
2020-12-07,3913073478043.263,SARS-CoV-2
2020-12-14,3137628665927.6562,SARS-CoV-2
2020-12-21,3453759680658.36,SARS-CoV-2
2020-12-28,830202064001.4094,SARS-CoV-2
2021-01-04,132923542799.869,SARS-CoV-2
2021-01-04,458664455751.3545,SARS-CoV-2
2021-01-11,629362087433.97,SARS-CoV-2
2021-01-18,483822310367.5083,SARS-CoV-2
2021-01-25,429331572099.46857,SARS-CoV-2
2021-02-01,346367799084.78796,SARS-CoV-2
2021-02-08,471540168497.6616,SARS-CoV-2
2021-02-15,296979062642.87555,SARS-CoV-2
2021-02-22,270188524164.4125,SARS-CoV-2
2021-03-01,212274163035.95248,SARS-CoV-2
2021-03-08,217157508770.06265,SARS-CoV-2
2021-03-15,357236489009.52637,SARS-CoV-2
2021-03-22,297923298555.51733,SARS-CoV-2
2021-03-29,747251491142.933,SARS-CoV-2
2021-04-05,685568142939.478,SARS-CoV-2
2021-04-12,645017862402.9314,SARS-CoV-2
2021-04-19,388914801507.18304,SARS-CoV-2
2021-04-26,337361712359.7774,SARS-CoV-2
2021-05-03,412438295211.263,SARS-CoV-2
2021-05-10,217189969550.70532,SARS-CoV-2
2021-05-17,182391600061.06836,SARS-CoV-2
2021-05-24,138611254286.33533,SARS-CoV-2
2021-05-31,125212558178.71617,SARS-CoV-2
2021-06-07,248198885815.98648,SARS-CoV-2
2021-06-14,185260526033.8475,SARS-CoV-2
2021-06-21,245073687397.189,SARS-CoV-2
2021-06-28,268794405921.825,SARS-CoV-2
2021-07-05,511999886933.932,SARS-CoV-2
2021-07-12,412343915657.0537,SARS-CoV-2
2021-07-19,329684521889.85004,SARS-CoV-2
2021-07-26,297552339264.12866,SARS-CoV-2
2021-08-02,253234624562.10535,SARS-CoV-2
2021-08-09,279853979555.195,SARS-CoV-2
2021-08-16,205715158224.78903,SARS-CoV-2
2021-08-23,252320945017.34,SARS-CoV-2
2021-08-30,224604354585.365,SARS-CoV-2
2021-09-06,562047579274.631,SARS-CoV-2
2021-09-13,733123274224.5065,SARS-CoV-2
2021-09-20,868404619495.8125,SARS-CoV-2
2021-09-27,451321919305.734,SARS-CoV-2
2021-10-04,417060782389.2507,SARS-CoV-2
2021-10-11,282507479117.00433,SARS-CoV-2
2021-10-18,415492177267.294,SARS-CoV-2
2021-10-25,423480705477.9243,SARS-CoV-2
2021-11-01,595333725259.2057,SARS-CoV-2
2021-11-08,568503503117.2076,SARS-CoV-2
2021-11-15,1950614114290.0928,SARS-CoV-2
2021-11-22,2757626981630.7227,SARS-CoV-2
2021-11-29,3187073713412.35,SARS-CoV-2
2021-12-06,2650694216543.1567,SARS-CoV-2
2021-12-13,1914621468373.0383,SARS-CoV-2
2021-12-20,1895649278952.9424,SARS-CoV-2
2021-12-27,881601121806.635,SARS-CoV-2
2022-01-03,5395411174958.26,SARS-CoV-2
2022-01-10,7862742095620.13,SARS-CoV-2
2022-01-17,9149292447982.654,SARS-CoV-2
2022-01-24,8943324650238.432,SARS-CoV-2
