time,rna_copies,label
2020-05-18,72474710239.13226,SARS-CoV-2
2020-05-25,80368160089.36426,SARS-CoV-2
2020-06-01,54110266599.73499,SARS-CoV-2
2020-06-08,54110266599.73499,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,69571012880.30667,SARS-CoV-2
2020-07-06,144400627637.463,SARS-CoV-2
2020-07-13,176452739022.96228,SARS-CoV-2
2020-07-20,133238959249.1166,SARS-CoV-2
2020-07-27,96033820881.55028,SARS-CoV-2
2020-08-03,173730858004.44302,SARS-CoV-2
2020-08-10,187860215118.199,SARS-CoV-2
2020-08-17,217382666486.41968,SARS-CoV-2
2020-08-24,128574300929.6512,SARS-CoV-2
2020-08-31,113227817611.06401,SARS-CoV-2
2020-09-07,76081858725.70624,SARS-CoV-2
2020-09-14,55141075774.0827,SARS-CoV-2
2020-09-21,109328852375.70024,SARS-CoV-2
2020-09-28,79327883503.24733,SARS-CoV-2
2020-10-05,79327883503.24733,SARS-CoV-2
2020-10-12,42775377893.837,SARS-CoV-2
2020-10-19,282870948845.832,SARS-CoV-2
2020-10-26,865516701459.9886,SARS-CoV-2
2020-11-02,2670151853042.185,SARS-CoV-2
2020-11-09,3354691376195.07,SARS-CoV-2
2020-11-16,4365935440773.4434,SARS-CoV-2
2020-11-23,3407862252318.1772,SARS-CoV-2
2020-11-30,3428786080656.0396,SARS-CoV-2
2020-12-07,2773609311055.803,SARS-CoV-2
2020-12-14,2317605078836.033,SARS-CoV-2
2020-12-21,1885605816882.1035,SARS-CoV-2
2020-12-28,1575637035220.4766,SARS-CoV-2
2021-01-04,1214948958523.5417,SARS-CoV-2
2021-01-04,759672794369.9049,SARS-CoV-2
2021-01-11,256595058463.88632,SARS-CoV-2
2021-01-18,229394131243.16397,SARS-CoV-2
2021-01-25,216675690119.97998,SARS-CoV-2
2021-02-01,167824457584.09366,SARS-CoV-2
2021-02-08,219651016749.36197,SARS-CoV-2
2021-02-15,264295112753.4557,SARS-CoV-2
2021-02-22,381239653127.07935,SARS-CoV-2
2021-03-01,636374425018.6117,SARS-CoV-2
2021-03-08,697597500112.2767,SARS-CoV-2
2021-03-15,644322894504.534,SARS-CoV-2
2021-03-22,484902458163.2117,SARS-CoV-2
2021-03-29,806279796550.9669,SARS-CoV-2
2021-04-05,860284604614.6797,SARS-CoV-2
2021-04-12,707289646212.243,SARS-CoV-2
2021-04-19,288915384784.8723,SARS-CoV-2
2021-04-26,114266548488.11226,SARS-CoV-2
2021-05-03,102803215830.45912,SARS-CoV-2
2021-05-10,82499463443.25279,SARS-CoV-2
2021-05-17,119768481508.22285,SARS-CoV-2
2021-05-24,111828756770.4521,SARS-CoV-2
2021-05-31,99286320437.72786,SARS-CoV-2
2021-06-07,64084018194.47671,SARS-CoV-2
2021-06-14,58965794814.06333,SARS-CoV-2
2021-06-21,71005190508.57524,SARS-CoV-2
2021-06-28,154416337285.76907,SARS-CoV-2
2021-07-05,187738821424.62332,SARS-CoV-2
2021-07-12,227594047740.54404,SARS-CoV-2
2021-07-19,165969320142.71933,SARS-CoV-2
2021-07-26,169545852921.296,SARS-CoV-2
2021-08-02,142219974799.629,SARS-CoV-2
2021-08-09,151425891095.50568,SARS-CoV-2
2021-08-16,154510068923.58234,SARS-CoV-2
2021-08-23,174152478733.787,SARS-CoV-2
2021-08-30,337038495786.57904,SARS-CoV-2
2021-09-06,486855169885.5257,SARS-CoV-2
