time,rna_copies,label
2020-04-20,419703228947.1546,SARS-CoV-2
2020-04-27,234001496452.416,SARS-CoV-2
2020-05-04,118623992779.1081,SARS-CoV-2
2020-05-11,112254257116.04042,SARS-CoV-2
2020-05-18,96978350167.00008,SARS-CoV-2
2020-05-25,86274459545.9964,SARS-CoV-2
2020-06-01,53181150145.637505,SARS-CoV-2
2020-06-08,33140877831.4876,SARS-CoV-2
2020-06-15,15548449521.465866,SARS-CoV-2
2020-06-22,15732258690.375666,SARS-CoV-2
2020-06-29,81617320707.83623,SARS-CoV-2
2020-07-06,131112382417.40923,SARS-CoV-2
2020-07-13,195957874224.56836,SARS-CoV-2
2020-07-20,229905367574.22733,SARS-CoV-2
2020-07-27,328341371881.49133,SARS-CoV-2
2020-08-03,345352008833.898,SARS-CoV-2
2020-08-10,355108943051.786,SARS-CoV-2
2020-08-17,338064740783.45905,SARS-CoV-2
2020-08-24,293613170892.15265,SARS-CoV-2
2020-08-31,210047152399.87134,SARS-CoV-2
2020-09-07,124577292368.46533,SARS-CoV-2
2020-09-14,149294788584.8033,SARS-CoV-2
2020-09-21,184825517793.6727,SARS-CoV-2
2020-09-28,215804129048.82468,SARS-CoV-2
2020-10-05,259428021027.796,SARS-CoV-2
2020-10-12,305406784523.9507,SARS-CoV-2
2020-10-19,655551530579.1647,SARS-CoV-2
2020-10-26,1705996282742.4324,SARS-CoV-2
2020-11-02,3284895238000.147,SARS-CoV-2
2020-11-09,4309764101391.5703,SARS-CoV-2
2020-11-16,4762892426150.483,SARS-CoV-2
2020-11-23,4353871516139.3833,SARS-CoV-2
2020-11-30,3847177054287.93,SARS-CoV-2
2020-12-07,3073366947401.017,SARS-CoV-2
2020-12-14,2219524996617.737,SARS-CoV-2
2020-12-21,1854382386277.1868,SARS-CoV-2
2020-12-28,1233409895537.0137,SARS-CoV-2
2021-01-04,954791111043.397,SARS-CoV-2
2021-01-04,575022970227.6056,SARS-CoV-2
2021-01-11,632468600550.2974,SARS-CoV-2
2021-01-18,617433367899.3066,SARS-CoV-2
2021-01-25,550961620453.038,SARS-CoV-2
2021-02-01,390497074437.096,SARS-CoV-2
