time,rna_copies,label
2020-04-06,,SARS-CoV-2
2020-04-13,,SARS-CoV-2
2020-04-20,136272892769.8429,SARS-CoV-2
2020-04-27,107070992363.29456,SARS-CoV-2
2020-05-04,83787344102.92686,SARS-CoV-2
2020-05-11,83027650134.28206,SARS-CoV-2
2020-05-18,46885796358.00473,SARS-CoV-2
2020-05-25,47444196441.72815,SARS-CoV-2
2020-06-01,48202143304.86355,SARS-CoV-2
2020-06-08,88498200160.35895,SARS-CoV-2
2020-06-15,58998800106.90597,SARS-CoV-2
2020-06-22,26864037903.6636,SARS-CoV-2
2020-06-29,19241234523.974167,SARS-CoV-2
2020-07-06,72144514906.08083,SARS-CoV-2
2020-07-13,165819720036.06052,SARS-CoV-2
2020-07-20,212745830132.6377,SARS-CoV-2
2020-07-27,302085418771.841,SARS-CoV-2
2020-08-03,272934500590.7753,SARS-CoV-2
2020-08-10,341875767264.835,SARS-CoV-2
2020-08-17,267007608487.962,SARS-CoV-2
2020-08-24,267247426216.006,SARS-CoV-2
2020-08-31,145086325222.54922,SARS-CoV-2
2020-09-07,99518629935.5956,SARS-CoV-2
2020-09-14,83059007754.46794,SARS-CoV-2
2020-09-21,119428642163.6507,SARS-CoV-2
2020-09-28,131429749690.89064,SARS-CoV-2
2020-10-05,324680154888.2527,SARS-CoV-2
2020-10-12,517295194410.635,SARS-CoV-2
2020-10-19,910684531968.2549,SARS-CoV-2
2020-10-26,1558697773253.1028,SARS-CoV-2
2020-11-02,3667933746351.22,SARS-CoV-2
2020-11-09,4557593215589.96,SARS-CoV-2
2020-11-16,4933600879050.953,SARS-CoV-2
2020-11-23,3647516777478.8164,SARS-CoV-2
2020-11-30,3203125279862.1333,SARS-CoV-2
2020-12-07,2616090413901.8804,SARS-CoV-2
2020-12-14,1867744979213.0078,SARS-CoV-2
2020-12-21,1448379476638.111,SARS-CoV-2
2020-12-28,1099176054742.7823,SARS-CoV-2
2021-01-04,842635985259.1558,SARS-CoV-2
2021-01-04,472632111056.48773,SARS-CoV-2
2021-01-11,347144894516.60535,SARS-CoV-2
2021-01-18,414958654975.71466,SARS-CoV-2
2021-01-25,513946324639.50934,SARS-CoV-2
2021-02-01,542880293503.6367,SARS-CoV-2
2021-02-08,704112740906.8954,SARS-CoV-2
2021-02-15,1122836563069.0354,SARS-CoV-2
2021-02-22,1270643820913.5022,SARS-CoV-2
2021-03-01,1259219214614.4473,SARS-CoV-2
2021-03-08,827064620451.483,SARS-CoV-2
2021-03-15,587216994581.47,SARS-CoV-2
2021-03-22,580020707835.994,SARS-CoV-2
2021-03-29,586362590162.797,SARS-CoV-2
2021-04-05,548312798045.2397,SARS-CoV-2
2021-04-12,331785344644.65265,SARS-CoV-2
2021-04-19,279752368116.74335,SARS-CoV-2
2021-04-26,268525076822.553,SARS-CoV-2
2021-05-03,255235430286.05566,SARS-CoV-2
2021-05-10,153989478544.04575,SARS-CoV-2
2021-05-17,114986384398.61842,SARS-CoV-2
2021-05-24,132479245743.53743,SARS-CoV-2
2021-05-31,138792723679.4017,SARS-CoV-2
2021-06-07,86329012354.42638,SARS-CoV-2
2021-06-14,28029384542.5537,SARS-CoV-2
2021-06-21,0.0,SARS-CoV-2
2021-06-28,22726029413.967,SARS-CoV-2
2021-07-05,60640709832.91034,SARS-CoV-2
2021-07-12,147982604581.35535,SARS-CoV-2
2021-07-19,209610835581.61768,SARS-CoV-2
2021-07-26,171696155162.67432,SARS-CoV-2
2021-08-02,108882717413.69682,SARS-CoV-2
2021-08-09,85008532439.4245,SARS-CoV-2
2021-08-16,147980486627.6498,SARS-CoV-2
2021-08-23,156192059846.05258,SARS-CoV-2
2021-08-30,231343823317.4309,SARS-CoV-2
2021-09-06,234946091567.27658,SARS-CoV-2
2021-09-13,328419292077.27734,SARS-CoV-2
2021-09-20,234232156251.90634,SARS-CoV-2
2021-09-27,263598066974.408,SARS-CoV-2
2021-10-04,268706956320.95068,SARS-CoV-2
2021-10-11,295347794528.859,SARS-CoV-2
2021-10-18,282841497409.6533,SARS-CoV-2
2021-10-25,265777850638.70068,SARS-CoV-2
2021-11-01,358228932296.188,SARS-CoV-2
2021-11-08,603518577322.7257,SARS-CoV-2
2021-11-15,923061614174.7047,SARS-CoV-2
2021-11-22,1102329276793.018,SARS-CoV-2
2021-11-29,1282657323570.51,SARS-CoV-2
2021-12-06,1674838197258.3767,SARS-CoV-2
2021-12-13,2311131894332.5767,SARS-CoV-2
2021-12-20,2746348865767.28,SARS-CoV-2
2021-12-27,2880549722885.96,SARS-CoV-2
2022-01-03,2258123256302.45,SARS-CoV-2
2022-01-10,3008663061988.645,SARS-CoV-2
