time,rna_copies,label
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,86734349099.1235,SARS-CoV-2
2020-07-06,173468698198.247,SARS-CoV-2
2020-07-13,131696371250.92706,SARS-CoV-2
2020-07-20,66572426287.0444,SARS-CoV-2
2020-07-27,63960841139.041405,SARS-CoV-2
2020-08-03,33986159704.505695,SARS-CoV-2
2020-08-10,42885911407.87843,SARS-CoV-2
2020-08-17,154853348321.44897,SARS-CoV-2
2020-08-24,154853348321.44897,SARS-CoV-2
2020-08-31,131546660527.91566,SARS-CoV-2
2020-09-07,41253027309.768,SARS-CoV-2
2020-09-14,63742837270.40693,SARS-CoV-2
2020-09-21,85449858129.90843,SARS-CoV-2
2020-09-28,85221646232.8661,SARS-CoV-2
2020-10-05,109913206882.28918,SARS-CoV-2
2020-10-12,161079070512.499,SARS-CoV-2
2020-10-19,241427317864.724,SARS-CoV-2
2020-10-26,634272444503.0519,SARS-CoV-2
2020-11-02,1605283662601.5242,SARS-CoV-2
2020-11-09,2382823621093.717,SARS-CoV-2
2020-11-16,3545143577374.1367,SARS-CoV-2
2020-11-23,2989368761241.7563,SARS-CoV-2
2020-11-30,2617329523678.69,SARS-CoV-2
2020-12-07,1383011710394.9932,SARS-CoV-2
2020-12-14,1421211095109.1736,SARS-CoV-2
2020-12-21,1155692068216.5107,SARS-CoV-2
2020-12-28,945128520814.5487,SARS-CoV-2
2021-01-04,628229774466.8479,SARS-CoV-2
2021-01-04,452279817149.779,SARS-CoV-2
2021-01-11,330847581064.14453,SARS-CoV-2
2021-01-18,300458766762.8594,SARS-CoV-2
2021-01-25,213485608278.155,SARS-CoV-2
2021-02-01,214282293283.42236,SARS-CoV-2
2021-02-08,305342832079.42096,SARS-CoV-2
2021-02-15,392398860318.5417,SARS-CoV-2
2021-02-22,434445651238.6653,SARS-CoV-2
2021-03-01,587427318009.1664,SARS-CoV-2
2021-03-08,636887698081.5817,SARS-CoV-2
2021-03-15,706564832273.7543,SARS-CoV-2
2021-03-22,599470694699.1119,SARS-CoV-2
2021-03-29,540384161123.3369,SARS-CoV-2
2021-04-05,458704632061.37305,SARS-CoV-2
2021-04-12,310607036213.7587,SARS-CoV-2
2021-04-19,454257644997.98663,SARS-CoV-2
2021-04-26,421816616385.9797,SARS-CoV-2
2021-05-03,402363309763.5633,SARS-CoV-2
2021-05-10,186575002044.81503,SARS-CoV-2
2021-05-17,236168220525.4564,SARS-CoV-2
2021-05-24,245683553423.45837,SARS-CoV-2
2021-05-31,232425992474.72168,SARS-CoV-2
2021-06-07,107922452764.42598,SARS-CoV-2
2021-06-14,61519346651.36597,SARS-CoV-2
2021-06-21,102322265593.98663,SARS-CoV-2
2021-06-28,156444329596.67764,SARS-CoV-2
2021-07-05,177058705160.7793,SARS-CoV-2
2021-07-12,130709316890.48645,SARS-CoV-2
2021-07-19,202142937509.40195,SARS-CoV-2
2021-07-26,152616716622.952,SARS-CoV-2
2021-08-02,324154576193.2993,SARS-CoV-2
2021-08-09,278615179402.01166,SARS-CoV-2
2021-08-16,417922769103.0175,SARS-CoV-2
2021-08-23,145966937070.48547,SARS-CoV-2
2021-08-30,94155880021.9686,SARS-CoV-2
2021-09-06,140771815180.9524,SARS-CoV-2
2021-09-13,227097964750.0621,SARS-CoV-2
2021-09-20,319645100730.318,SARS-CoV-2
2021-09-27,461643288530.8047,SARS-CoV-2
2021-10-04,459263132451.743,SARS-CoV-2
2021-10-11,684657193606.4447,SARS-CoV-2
2021-10-18,1061522911369.5747,SARS-CoV-2
2021-10-25,1222629749270.9539,SARS-CoV-2
2021-11-01,1292697403425.9172,SARS-CoV-2
2021-11-08,1464810928031.6672,SARS-CoV-2
2021-11-15,1924681448244.1667,SARS-CoV-2
2021-11-22,2253999814458.48,SARS-CoV-2
2021-11-29,3119697422796.4165,SARS-CoV-2
2021-12-06,3723477368565.2905,SARS-CoV-2
2021-12-13,5127886936958.823,SARS-CoV-2
2021-12-20,4970736682386.273,SARS-CoV-2
2021-12-27,5431390761885.744,SARS-CoV-2
2022-01-03,3488472478584.665,SARS-CoV-2
2022-01-10,2852197818833.3203,SARS-CoV-2
2022-01-17,3277960010926.2563,SARS-CoV-2
2022-01-24,3675782077885.467,SARS-CoV-2
2022-01-31,3753032092262.3438,SARS-CoV-2
2022-02-07,3431466800952.3003,SARS-CoV-2
2022-02-14,2649462883383.6636,SARS-CoV-2
2022-02-21,2454413962054.8335,SARS-CoV-2
2022-02-28,2467311116696.01,SARS-CoV-2
