time,rna_copies,label
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,0.0,SARS-CoV-2
2020-07-06,0.0,SARS-CoV-2
2020-07-13,0.0,SARS-CoV-2
2020-07-20,0.0,SARS-CoV-2
2020-07-27,1724507329979.415,SARS-CoV-2
2020-08-03,1849571326651.397,SARS-CoV-2
2020-08-10,1323756837484.0164,SARS-CoV-2
2020-08-17,261127926246.6095,SARS-CoV-2
2020-08-24,136063929574.6275,SARS-CoV-2
2020-08-31,0.0,SARS-CoV-2
2020-09-07,0.0,SARS-CoV-2
2020-09-14,0.0,SARS-CoV-2
2020-09-21,0.0,SARS-CoV-2
2020-09-28,0.0,SARS-CoV-2
2020-10-05,0.0,SARS-CoV-2
2020-10-12,0.0,SARS-CoV-2
2020-10-19,55773098614.585,SARS-CoV-2
2020-10-26,777439213633.0917,SARS-CoV-2
2020-11-02,1025893074755.0067,SARS-CoV-2
2020-11-09,1483205984557.3916,SARS-CoV-2
2020-11-16,1406398479866.255,SARS-CoV-2
2020-11-23,1524595729358.923,SARS-CoV-2
2020-11-30,1809328795667.4636,SARS-CoV-2
2020-12-07,1347096573462.9368,SARS-CoV-2
2020-12-14,1615046919767.3738,SARS-CoV-2
2020-12-21,2033661351763.0168,SARS-CoV-2
2020-12-28,2095146874766.6985,SARS-CoV-2
2021-01-04,1678265189575.0332,SARS-CoV-2
2021-01-04,655864820277.5757,SARS-CoV-2
2021-01-11,611578321687.7227,SARS-CoV-2
2021-01-18,435254810938.44305,SARS-CoV-2
2021-01-25,298083276177.47766,SARS-CoV-2
2021-02-01,144985114675.077,SARS-CoV-2
2021-02-08,373601419258.2834,SARS-CoV-2
2021-02-15,349854343536.90894,SARS-CoV-2
2021-02-22,315406730270.89386,SARS-CoV-2
2021-03-01,87541238473.03587,SARS-CoV-2
2021-03-08,204242448723.4169,SARS-CoV-2
2021-03-15,271739683396.7073,SARS-CoV-2
2021-03-22,832233624737.7109,SARS-CoV-2
2021-03-29,1185348508522.3535,SARS-CoV-2
2021-04-05,1438408451594.4055,SARS-CoV-2
2021-04-12,990528355940.3031,SARS-CoV-2
2021-04-19,1203480042077.3362,SARS-CoV-2
2021-04-26,1118045291186.8264,SARS-CoV-2
2021-05-03,1479745003839.8123,SARS-CoV-2
2021-05-10,1420877191250.2922,SARS-CoV-2
2021-05-17,1287277867859.778,SARS-CoV-2
2021-05-24,850433342430.2826,SARS-CoV-2
2021-05-31,233300649000.94266,SARS-CoV-2
2021-06-07,151563928180.184,SARS-CoV-2
2021-06-14,104670357543.96443,SARS-CoV-2
2021-06-21,114966967492.15474,SARS-CoV-2
2021-06-28,142022067828.4901,SARS-CoV-2
2021-07-05,109299531790.895,SARS-CoV-2
2021-07-12,194597865581.40833,SARS-CoV-2
2021-07-19,259649086978.6107,SARS-CoV-2
2021-07-26,291472323540.8113,SARS-CoV-2
2021-08-02,260478163490.60458,SARS-CoV-2
2021-08-09,1481943894021.7842,SARS-CoV-2
2021-08-16,1520838331395.673,SARS-CoV-2
2021-08-23,1579259985058.627,SARS-CoV-2
2021-08-30,1756179403179.6707,SARS-CoV-2
2021-09-06,2041882562186.584,SARS-CoV-2
2021-09-13,1940167112520.2742,SARS-CoV-2
2021-09-20,451431384674.54535,SARS-CoV-2
2021-09-27,159793736283.568,SARS-CoV-2
2021-10-04,201748193626.05435,SARS-CoV-2
2021-10-11,583504519280.523,SARS-CoV-2
2021-10-18,1014880867522.0204,SARS-CoV-2
2021-10-25,1203479078988.781,SARS-CoV-2
2021-11-01,1264483612172.7544,SARS-CoV-2
2021-11-08,2214827847197.8047,SARS-CoV-2
2021-11-15,2571202237294.64,SARS-CoV-2
2021-11-22,2660921198006.0835,SARS-CoV-2
2021-11-29,1542893839715.2705,SARS-CoV-2
2021-12-06,1166948485180.539,SARS-CoV-2
2021-12-13,2141451088227.7556,SARS-CoV-2
2021-12-20,2263960762467.8584,SARS-CoV-2
2021-12-27,2987685403975.2197,SARS-CoV-2
2022-01-03,1390526521681.32,SARS-CoV-2
2022-01-10,2178950868238.2651,SARS-CoV-2
2022-01-17,4390742727540.8765,SARS-CoV-2
2022-01-24,10304232783385.627,SARS-CoV-2
2022-01-31,11460657181009.412,SARS-CoV-2
2022-02-07,9328580694197.854,SARS-CoV-2
2022-02-14,3229529701354.5312,SARS-CoV-2
2022-02-21,1129022557178.62,SARS-CoV-2
2022-02-28,807321939034.21,SARS-CoV-2
2022-03-07,5616306080232.065,SARS-CoV-2
