time,rna_copies,label
2020-04-06,,SARS-CoV-2
2020-04-13,,SARS-CoV-2
2020-04-20,,SARS-CoV-2
2020-04-27,,SARS-CoV-2
2020-05-04,,SARS-CoV-2
2020-05-11,,SARS-CoV-2
2020-05-18,,SARS-CoV-2
2020-05-25,,SARS-CoV-2
2020-06-01,,SARS-CoV-2
2020-06-08,,SARS-CoV-2
2020-06-15,,SARS-CoV-2
2020-06-22,,SARS-CoV-2
2020-06-29,,SARS-CoV-2
2020-07-06,,SARS-CoV-2
2020-07-13,,SARS-CoV-2
2020-07-20,,SARS-CoV-2
2020-07-27,,SARS-CoV-2
2020-08-03,,SARS-CoV-2
2020-08-10,,SARS-CoV-2
2020-08-17,,SARS-CoV-2
2020-08-24,,SARS-CoV-2
2020-08-31,,SARS-CoV-2
2020-09-07,,SARS-CoV-2
2020-09-14,0.0,SARS-CoV-2
2020-09-21,40275029123.85975,SARS-CoV-2
2020-09-28,125912397795.30682,SARS-CoV-2
2020-10-05,593548743680.9435,SARS-CoV-2
2020-10-12,715785432055.8749,SARS-CoV-2
2020-10-19,815030300472.5596,SARS-CoV-2
2020-10-26,839334918047.3564,SARS-CoV-2
2020-11-02,1290336557439.3584,SARS-CoV-2
2020-11-09,2381722140272.7334,SARS-CoV-2
2020-11-16,3890744446770.5063,SARS-CoV-2
2020-11-23,5074841305302.717,SARS-CoV-2
2020-11-30,4829132118286.066,SARS-CoV-2
2020-12-07,3908604285868.1797,SARS-CoV-2
2020-12-14,2566320718409.307,SARS-CoV-2
2020-12-21,3442598559780.233,SARS-CoV-2
2020-12-28,2903190108134.317,SARS-CoV-2
2021-01-04,2843816509030.177,SARS-CoV-2
2021-01-04,1234901209601.2815,SARS-CoV-2
2021-01-11,1228889350160.7346,SARS-CoV-2
2021-01-18,978564224359.6261,SARS-CoV-2
2021-01-25,790853389915.4904,SARS-CoV-2
2021-02-01,370846499666.3623,SARS-CoV-2
2021-02-08,295471414955.0323,SARS-CoV-2
2021-02-15,573272660525.9401,SARS-CoV-2
2021-02-22,1347516959784.6946,SARS-CoV-2
2021-03-01,1603915673244.36,SARS-CoV-2
2021-03-08,1459136904582.5518,SARS-CoV-2
2021-03-15,653876281256.6434,SARS-CoV-2
2021-03-22,1000368341033.9933,SARS-CoV-2
2021-03-29,1193245710326.6682,SARS-CoV-2
2021-04-05,1294660652358.808,SARS-CoV-2
2021-04-12,695774255572.6173,SARS-CoV-2
2021-04-19,780634876329.8473,SARS-CoV-2
2021-04-26,1026145596419.3693,SARS-CoV-2
2021-05-03,1498959634801.1765,SARS-CoV-2
2021-05-10,1610062713883.6033,SARS-CoV-2
2021-05-17,1277284237875.5425,SARS-CoV-2
2021-05-24,967480109232.903,SARS-CoV-2
2021-05-31,601358061457.597,SARS-CoV-2
2021-06-07,553074348388.5687,SARS-CoV-2
2021-06-14,347727789177.78937,SARS-CoV-2
2021-06-21,68350940800.95873,SARS-CoV-2
2021-06-28,39475573201.17724,SARS-CoV-2
2021-07-05,44336431087.40273,SARS-CoV-2
2021-07-12,44336431087.40273,SARS-CoV-2
2021-07-19,97598551234.54622,SARS-CoV-2
2021-07-26,137264472574.84001,SARS-CoV-2
2021-08-02,713405901051.09,SARS-CoV-2
2021-08-09,2076902876354.2136,SARS-CoV-2
2021-08-16,3099699928028.647,SARS-CoV-2
2021-08-23,2821724435533.105,SARS-CoV-2
2021-08-30,1812206516384.9485,SARS-CoV-2
2021-09-06,1129589354135.002,SARS-CoV-2
2021-09-13,1541661563968.1067,SARS-CoV-2
2021-09-20,1199380829171.2356,SARS-CoV-2
2021-09-27,1031350035075.1915,SARS-CoV-2
2021-10-04,1593608553591.1716,SARS-CoV-2
2021-10-11,4499600860198.9795,SARS-CoV-2
2021-10-18,5148396392784.867,SARS-CoV-2
2021-10-25,5238693517212.823,SARS-CoV-2
2021-11-01,3401390095377.06,SARS-CoV-2
2021-11-08,4010364015259.8735,SARS-CoV-2
2021-11-15,3317954886712.8433,SARS-CoV-2
2021-11-22,2886952567218.067,SARS-CoV-2
2021-11-29,2795507694007.7134,SARS-CoV-2
2021-12-06,3067006062576.42,SARS-CoV-2
2021-12-13,4618587726802.353,SARS-CoV-2
2021-12-20,4975743703941.233,SARS-CoV-2
2021-12-27,6050791012742.71,SARS-CoV-2
2022-01-03,3927716085998.325,SARS-CoV-2
2022-01-10,3204217764098.8447,SARS-CoV-2
2022-01-17,5120746261075.717,SARS-CoV-2
2022-01-24,6548641488765.56,SARS-CoV-2
2022-01-31,6903564592948.56,SARS-CoV-2
2022-02-07,5621655647847.75,SARS-CoV-2
2022-02-14,4584130714593.94,SARS-CoV-2
