time,rna_copies,label
2023-06-05,0.0,RSV
2023-06-12,0.0,RSV
2023-06-19,0.0,RSV
2023-06-26,0.0,RSV
2023-07-03,0.0,RSV
2023-07-10,0.0,RSV
2023-07-17,0.0,RSV
2023-07-24,0.0,RSV
2023-07-31,162898607181.71814,RSV
2023-08-07,113357221330.76767,RSV
2023-08-14,0.0,RSV
2023-08-21,72035551127.49512,RSV
2023-08-28,,RSV
2023-09-04,0.0,RSV
2023-09-11,40645673250.7479,RSV
2023-09-18,171409335327.755,RSV
2023-09-25,0.0,RSV
2023-10-02,204444506520.693,RSV
2023-10-09,116556267842.391,RSV
2023-10-16,164241239988.07,RSV
2023-10-23,112068854065.427,RSV
2023-10-30,198460543915.727,RSV
2023-11-06,442937188247.768,RSV
2023-11-13,669088991868.156,RSV
2023-11-20,220693598158.652,RSV
2023-11-27,1276672112031.19,RSV
2023-12-04,2374906590920.76,RSV
2023-12-11,1674866814499.4,RSV
2023-12-18,2275846689769.17,RSV
2023-12-25,,RSV
2024-01-01,643610273340.28,RSV
2024-01-08,745683631334.86,RSV
2024-01-15,622429821355.44,RSV
2024-01-22,799639188566.355,RSV
2024-01-29,522612059609.559,RSV
2024-02-05,302080955509.534,RSV
2024-02-12,0.0,RSV
2024-02-19,256466828697.122,RSV
2024-02-26,288714667363.925,RSV
2024-03-04,133095894011.653,RSV
2024-03-11,119290713584.275,RSV
2024-03-18,102909745196.089,RSV
2024-03-25,172196045564.835,RSV
2024-04-01,,RSV
2024-04-08,0.0,RSV
2024-04-15,77184497557.1806,RSV
2024-04-22,138222410993.34,RSV
2024-04-29,0.0,RSV
2024-05-06,0.0,RSV
2024-05-13,0.0,RSV
2024-05-20,0.0,RSV
2024-05-27,0.0,RSV
2024-06-03,0.0,RSV
2024-06-10,0.0,RSV
2024-06-17,0.0,RSV
2024-06-24,0.0,RSV
2024-07-01,0.0,RSV
2024-07-08,0.0,RSV
2024-07-15,0.0,RSV
2024-07-22,0.0,RSV
2024-07-29,0.0,RSV
2024-08-05,0.0,RSV
2024-08-12,0.0,RSV
2024-08-19,0.0,RSV
2024-08-26,42478021292.7181,RSV
2024-09-02,0.0,RSV
2024-09-09,0.0,RSV
2024-09-16,0.0,RSV
2024-09-23,0.0,RSV
2024-09-30,0.0,RSV
2024-10-07,0.0,RSV
2024-10-14,96608110182.0154,RSV
2024-10-21,0.0,RSV
2024-10-28,165977248607.928,RSV
2024-11-04,211954446956.738,RSV
2024-11-11,181020608527.677,RSV
2024-11-18,,RSV
2024-11-25,448208584052.461,RSV
2024-12-02,933302449318.505,RSV
2024-12-09,1438953558413.45,RSV
2024-12-16,1897128349625.04,RSV
2024-12-23,,RSV
2025-01-06,,RSV
2025-01-13,1531311884002.69,RSV
2025-01-20,976237796460.768,RSV
2025-01-27,683938493734.165,RSV
2025-02-03,443977911697.029,RSV
2025-02-10,407345376375.517,RSV
2025-02-17,994637889872.162,RSV
2025-02-24,751127588744.181,RSV
2025-03-03,126901451436.423,RSV
2025-03-10,427782701196.442,RSV
2025-03-17,295905118353.352,RSV
2025-03-24,310823253743.701,RSV
2025-03-31,249879557205.057,RSV
2025-04-07,263491509871.888,RSV
2025-04-14,134725414639.411,RSV
2025-04-21,148589709876.433,RSV
2025-04-28,91710944741.4677,RSV
2025-05-05,104169582847.811,RSV
2025-05-12,69887769946.3144,RSV
2025-05-19,46567614008.5989,RSV
2025-05-26,0.0,RSV
2025-06-02,119457972364.386,RSV
2025-06-09,0.0,RSV
2025-06-16,0.0,RSV
2025-06-23,0.0,RSV
