time,rna_copies,label
2023-06-05,0.0,RSV
2023-06-12,0.0,RSV
2023-06-19,70270635419.83351,RSV
2023-06-26,50547042726.894135,RSV
2023-07-03,0.0,RSV
2023-07-10,0.0,RSV
2023-07-17,0.0,RSV
2023-07-24,0.0,RSV
2023-07-31,105835473717.28719,RSV
2023-08-07,0.0,RSV
2023-08-14,0.0,RSV
2023-08-21,0.0,RSV
2023-08-28,0.0,RSV
2023-09-04,0.0,RSV
2023-09-11,62934692618.1706,RSV
2023-09-18,0.0,RSV
2023-09-25,0.0,RSV
2023-10-02,0.0,RSV
2023-10-09,0.0,RSV
2023-10-16,37690357938.668,RSV
2023-10-23,0.0,RSV
2023-10-30,66201011120.9151,RSV
2023-11-06,93847806224.2186,RSV
2023-11-13,61030274889.3786,RSV
2023-11-20,287830998010.503,RSV
2023-11-27,601852622109.908,RSV
2023-12-04,877486132921.865,RSV
2023-12-11,476122789725.957,RSV
2023-12-18,724526456646.442,RSV
2023-12-25,,RSV
2024-01-01,208976705086.591,RSV
2024-01-08,435466659266.219,RSV
2024-01-15,230904916041.196,RSV
2024-01-22,480623367350.101,RSV
2024-01-29,269935014961.194,RSV
2024-02-05,162894789731.693,RSV
2024-02-12,100184109601.679,RSV
2024-02-19,142622424967.93,RSV
2024-02-26,202712338672.208,RSV
2024-03-04,0.0,RSV
2024-03-11,106959073296.848,RSV
2024-03-18,0.0,RSV
2024-03-25,0.0,RSV
2024-04-01,0.0,RSV
2024-04-08,0.0,RSV
2024-04-15,0.0,RSV
2024-04-22,0.0,RSV
2024-04-29,0.0,RSV
2024-05-06,0.0,RSV
2024-05-13,0.0,RSV
2024-05-20,0.0,RSV
2024-05-27,0.0,RSV
2024-06-03,0.0,RSV
2024-06-10,0.0,RSV
2024-06-17,0.0,RSV
2024-06-24,0.0,RSV
2024-07-01,0.0,RSV
2024-07-08,0.0,RSV
2024-07-15,0.0,RSV
2024-07-22,0.0,RSV
2024-07-29,0.0,RSV
2024-08-05,0.0,RSV
2024-08-12,0.0,RSV
2024-08-19,0.0,RSV
2024-08-26,0.0,RSV
2024-09-02,0.0,RSV
2024-09-09,0.0,RSV
2024-09-16,0.0,RSV
2024-09-23,30484916350.6234,RSV
2024-09-30,0.0,RSV
2024-10-07,0.0,RSV
2024-10-14,602722541648.752,RSV
2024-10-21,200090347930.347,RSV
2024-10-28,150755520926.939,RSV
2024-11-04,282523818168.809,RSV
2024-11-11,64073354710.384,RSV
2024-11-18,,RSV
2024-11-25,80642657560.3618,RSV
2024-12-02,673436920594.885,RSV
2024-12-09,94661441587.6206,RSV
2024-12-16,127437836179.93,RSV
2024-12-23,,RSV
2025-01-06,,RSV
2025-01-13,316545264851.738,RSV
2025-01-20,904076367754.047,RSV
2025-01-27,683398284370.216,RSV
2025-02-03,247870458986.866,RSV
2025-02-10,1047756878319.19,RSV
2025-02-17,317088821371.191,RSV
2025-02-24,461745216788.084,RSV
2025-03-03,490605082746.391,RSV
2025-03-10,459629485095.467,RSV
2025-03-17,123547254670.169,RSV
2025-03-24,103151540605.567,RSV
2025-03-31,222490813768.08,RSV
2025-04-07,89128484953.2691,RSV
2025-04-14,116967253569.0,RSV
2025-04-21,149833065362.609,RSV
2025-04-28,110924432858.06,RSV
2025-05-05,0.0,RSV
2025-05-12,191470838409.348,RSV
2025-05-19,0.0,RSV
2025-05-26,0.0,RSV
2025-06-02,0.0,RSV
2025-06-09,0.0,RSV
2025-06-16,0.0,RSV
2025-06-23,0.0,RSV
