time,rna_copies,label
2020-05-18,0.0,SARS-CoV-2
2020-05-25,0.0,SARS-CoV-2
2020-06-01,0.0,SARS-CoV-2
2020-06-08,0.0,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,183669158592.418,SARS-CoV-2
2020-07-06,105949229188.846,SARS-CoV-2
2020-07-13,155884007386.624,SARS-CoV-2
2020-07-20,628241875011.806,SARS-CoV-2
2020-07-27,380843090387.127,SARS-CoV-2
2020-08-03,398112065653.083,SARS-CoV-2
2020-08-10,591543374203.127,SARS-CoV-2
2020-08-17,355796595207.598,SARS-CoV-2
2020-08-24,147173547820.505,SARS-CoV-2
2020-08-31,82603592930.3417,SARS-CoV-2
2020-09-07,60301410692.9982,SARS-CoV-2
2020-09-14,250972289472.083,SARS-CoV-2
2020-09-21,229174237489.362,SARS-CoV-2
2020-09-28,192572610984.755,SARS-CoV-2
2020-10-05,279163823689.638,SARS-CoV-2
2020-10-12,311462064627.988,SARS-CoV-2
2020-10-26,1734530560835.77,SARS-CoV-2
2020-11-02,3320821175386.48,SARS-CoV-2
2020-11-09,6739812775731.85,SARS-CoV-2
2020-11-16,4641492165880.18,SARS-CoV-2
2020-11-23,3132717258144.81,SARS-CoV-2
2020-11-30,2511963755222.67,SARS-CoV-2
2020-12-07,1536015507064.48,SARS-CoV-2
2020-12-14,1281332264720.99,SARS-CoV-2
2020-12-21,1516728388378.73,SARS-CoV-2
2020-12-28,550585861642.152,SARS-CoV-2
2021-01-04,332932764965.845,SARS-CoV-2
2021-01-04,496195781028.711,SARS-CoV-2
2021-01-11,633426938443.511,SARS-CoV-2
2021-01-18,287044251912.296,SARS-CoV-2
2021-01-25,358077267514.263,SARS-CoV-2
2021-02-01,0.0,SARS-CoV-2
2021-02-08,442761259517.723,SARS-CoV-2
2021-02-15,276882010903.008,SARS-CoV-2
2021-02-22,882397402872.654,SARS-CoV-2
2021-03-01,908192924044.787,SARS-CoV-2
2021-03-08,628859770887.452,SARS-CoV-2
2021-03-15,819109997600.404,SARS-CoV-2
2021-03-22,462422896294.436,SARS-CoV-2
2021-03-29,1497587412882.94,SARS-CoV-2
2021-04-05,874294716299.602,SARS-CoV-2
2021-04-12,202724822208.014,SARS-CoV-2
2021-04-19,970436358727.59,SARS-CoV-2
2021-04-26,511120724030.968,SARS-CoV-2
2021-05-03,721777872871.302,SARS-CoV-2
2021-05-10,532789079117.927,SARS-CoV-2
2021-05-17,193924576238.33,SARS-CoV-2
2021-05-24,303317400812.682,SARS-CoV-2
2021-05-31,223915469161.616,SARS-CoV-2
2021-06-07,236369402632.648,SARS-CoV-2
2021-06-14,65163238615.8782,SARS-CoV-2
2021-06-21,0.0,SARS-CoV-2
2021-06-28,433264432415.692,SARS-CoV-2
2021-07-05,723940337011.536,SARS-CoV-2
2021-07-12,308152925163.569,SARS-CoV-2
2021-07-19,814089782142.13,SARS-CoV-2
2021-07-26,243523912150.034,SARS-CoV-2
2021-08-02,394499223332.873,SARS-CoV-2
2021-08-09,683212639825.309,SARS-CoV-2
2021-08-16,293299978250.38,SARS-CoV-2
2021-08-23,437844385247.639,SARS-CoV-2
2021-08-30,772377576592.471,SARS-CoV-2
2021-09-06,1391965160123.07,SARS-CoV-2
2021-09-13,2037419445215.75,SARS-CoV-2
2021-09-20,529856411633.268,SARS-CoV-2
2021-09-27,606966211966.753,SARS-CoV-2
2021-10-04,117330968614.974,SARS-CoV-2
2021-10-11,1410703046910.55,SARS-CoV-2
2021-10-18,1978738247579.24,SARS-CoV-2
2021-10-25,2042104215371.13,SARS-CoV-2
2021-11-01,1331372695768.53,SARS-CoV-2
2021-11-08,2403677531664.77,SARS-CoV-2
2021-11-15,1793701710824.32,SARS-CoV-2
2021-11-22,4285888004898.56,SARS-CoV-2
2021-11-29,2543437928855.82,SARS-CoV-2
2021-12-06,2233744857683.23,SARS-CoV-2
2021-12-13,2457920550880.08,SARS-CoV-2
2021-12-20,4630537111071.07,SARS-CoV-2
2022-01-03,8092741882826.96,SARS-CoV-2
2022-01-10,4169591951311.85,SARS-CoV-2
2022-01-17,8604875010694.76,SARS-CoV-2
2022-01-24,5034136646461.8,SARS-CoV-2
2022-01-31,5368036222665.08,SARS-CoV-2
2022-02-07,2153675723239.92,SARS-CoV-2
2022-02-14,2269507358728.81,SARS-CoV-2
2022-02-21,997980520978.113,SARS-CoV-2
2022-02-28,2160969125401.57,SARS-CoV-2
2022-03-07,1416725845390.22,SARS-CoV-2
2022-03-14,5611329061831.67,SARS-CoV-2
2022-03-21,3862991703541.9,SARS-CoV-2
2022-03-28,6764167901170.93,SARS-CoV-2
2022-04-04,3566197543164.41,SARS-CoV-2
2022-04-11,4736339729421.6,SARS-CoV-2
2022-04-18,2785960175955.79,SARS-CoV-2
2022-04-25,1948075224505.01,SARS-CoV-2
2022-05-02,2122763105848.74,SARS-CoV-2
2022-05-09,2555852005603.12,SARS-CoV-2
2022-05-16,2023161451562.08,SARS-CoV-2
2022-05-23,1039457700637.45,SARS-CoV-2
2022-05-30,2272028591726.91,SARS-CoV-2
2022-06-06,3997842234675.43,SARS-CoV-2
2022-06-13,5269610171027.71,SARS-CoV-2
2022-06-20,4736531662741.1,SARS-CoV-2
2022-06-27,4808690535301.76,SARS-CoV-2
2022-07-04,6174225219488.87,SARS-CoV-2
2022-07-11,5954648476930.17,SARS-CoV-2
