time,rna_copies,label
2020-05-25,0.0,SARS-CoV-2
2020-06-01,0.0,SARS-CoV-2
2020-06-08,0.0,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,395558722773.305,SARS-CoV-2
2020-07-06,183372344261.221,SARS-CoV-2
2020-07-13,115545663381.946,SARS-CoV-2
2020-07-27,175906455797.209,SARS-CoV-2
2020-08-03,163374424663.993,SARS-CoV-2
2020-08-10,116457144180.216,SARS-CoV-2
2020-08-17,105711255300.829,SARS-CoV-2
2020-08-24,69114373623.6223,SARS-CoV-2
2020-08-31,164431244329.931,SARS-CoV-2
2020-09-07,71681875043.4148,SARS-CoV-2
2020-09-14,173841471824.876,SARS-CoV-2
2020-09-21,101821696602.372,SARS-CoV-2
2020-09-28,169757987230.235,SARS-CoV-2
2020-10-05,83010993841.2738,SARS-CoV-2
2020-10-12,239605391059.775,SARS-CoV-2
2020-10-19,305859001369.407,SARS-CoV-2
2020-10-26,2795978869996.89,SARS-CoV-2
2020-11-02,3607799834485.92,SARS-CoV-2
2020-11-09,2695336418465.8,SARS-CoV-2
2020-11-16,3367395400133.64,SARS-CoV-2
2020-11-23,2060843800854.82,SARS-CoV-2
2020-11-30,1409992315976.65,SARS-CoV-2
2020-12-07,2628007255938.36,SARS-CoV-2
2020-12-14,1368502373267.11,SARS-CoV-2
2020-12-21,1955936486790.25,SARS-CoV-2
2020-12-28,434380001767.86,SARS-CoV-2
2021-01-04,162863962545.391,SARS-CoV-2
2021-01-04,713280025020.499,SARS-CoV-2
2021-01-11,703441839698.754,SARS-CoV-2
2021-01-18,855699300415.957,SARS-CoV-2
2021-01-25,306751454277.849,SARS-CoV-2
2021-02-01,188293328495.523,SARS-CoV-2
2021-02-08,347087007130.276,SARS-CoV-2
2021-02-15,403880335575.789,SARS-CoV-2
2021-02-22,462507929933.449,SARS-CoV-2
2021-03-01,522058600326.998,SARS-CoV-2
2021-03-08,557288898067.783,SARS-CoV-2
2021-03-15,320112436406.615,SARS-CoV-2
2021-03-22,236830908129.473,SARS-CoV-2
2021-03-29,804332902508.252,SARS-CoV-2
2021-04-05,449402837688.504,SARS-CoV-2
2021-04-12,139739485454.712,SARS-CoV-2
2021-04-19,224396744027.795,SARS-CoV-2
2021-04-26,440747326191.79,SARS-CoV-2
2021-05-03,528293616219.258,SARS-CoV-2
2021-05-10,102086168008.211,SARS-CoV-2
2021-05-17,251385694840.639,SARS-CoV-2
2021-05-24,190000804355.369,SARS-CoV-2
2021-05-31,275909103924.954,SARS-CoV-2
2021-06-07,69622741635.0401,SARS-CoV-2
2021-06-14,123472210807.099,SARS-CoV-2
2021-06-21,0.0,SARS-CoV-2
2021-06-28,114815497671.26,SARS-CoV-2
2021-07-05,289120251840.193,SARS-CoV-2
2021-07-12,644589090881.429,SARS-CoV-2
2021-07-19,514174207467.015,SARS-CoV-2
2021-07-26,184957921654.286,SARS-CoV-2
2021-08-02,551365583597.657,SARS-CoV-2
2021-08-09,391859112158.253,SARS-CoV-2
2021-08-16,837720120403.783,SARS-CoV-2
2021-08-23,561025303608.826,SARS-CoV-2
2021-08-30,287780553403.434,SARS-CoV-2
2021-09-06,784723682053.523,SARS-CoV-2
2021-09-13,1436832247825.0,SARS-CoV-2
2021-09-20,308986712863.784,SARS-CoV-2
2021-09-27,474587284659.644,SARS-CoV-2
2021-10-04,1600187772628.13,SARS-CoV-2
2021-10-11,2081647506687.97,SARS-CoV-2
2021-10-18,540013651987.082,SARS-CoV-2
2021-10-25,578678857436.776,SARS-CoV-2
2021-11-01,386758168707.413,SARS-CoV-2
2021-11-08,818392004923.19,SARS-CoV-2
2021-11-15,1443183300026.03,SARS-CoV-2
2021-11-22,2058941288175.05,SARS-CoV-2
2021-11-29,1821145745271.19,SARS-CoV-2
2021-12-06,2505056301250.5,SARS-CoV-2
2021-12-13,4958156192910.34,SARS-CoV-2
2021-12-20,2116844233085.35,SARS-CoV-2
2022-01-03,1741092696549.91,SARS-CoV-2
2022-01-10,2440559925036.9,SARS-CoV-2
2022-01-17,7444456288969.87,SARS-CoV-2
2022-01-24,9861333956559.17,SARS-CoV-2
2022-01-31,5437344792457.35,SARS-CoV-2
2022-02-07,688049392890.842,SARS-CoV-2
2022-02-14,2595612404103.31,SARS-CoV-2
2022-02-21,871635887567.436,SARS-CoV-2
2022-02-28,3895469304589.71,SARS-CoV-2
2022-03-07,3418522196316.99,SARS-CoV-2
2022-03-14,4504820151449.91,SARS-CoV-2
2022-03-21,7551793450921.38,SARS-CoV-2
2022-03-28,5987208167753.55,SARS-CoV-2
2022-04-04,5841290892126.51,SARS-CoV-2
2022-04-11,5355165558976.81,SARS-CoV-2
2022-04-18,4710085201037.67,SARS-CoV-2
2022-04-25,2877351675327.49,SARS-CoV-2
2022-05-02,3668443399967.46,SARS-CoV-2
2022-05-09,2676679695950.7,SARS-CoV-2
2022-05-16,1345254308367.62,SARS-CoV-2
2022-05-23,1403611144910.2,SARS-CoV-2
2022-05-30,3286882048930.83,SARS-CoV-2
2022-06-06,4021380265974.86,SARS-CoV-2
2022-06-13,4058263195663.88,SARS-CoV-2
2022-06-20,6744215859676.67,SARS-CoV-2
2022-06-27,3336091042366.76,SARS-CoV-2
2022-07-04,3369620721188.96,SARS-CoV-2
2022-07-11,9427000531999.74,SARS-CoV-2
2022-07-18,2037626920853.92,SARS-CoV-2
2022-07-25,2297632707594.2,SARS-CoV-2
2022-08-01,2203697040025.31,SARS-CoV-2
2022-08-08,1805807159167.09,SARS-CoV-2
2022-08-15,361267061392.74,SARS-CoV-2
2022-08-22,1038084697794.78,SARS-CoV-2
2022-08-29,892975590901.276,SARS-CoV-2
2022-09-05,1294146300453.37,SARS-CoV-2
2022-09-12,147277475393.465,SARS-CoV-2
2022-09-19,1075370864739.35,SARS-CoV-2
2022-09-26,656489258712.0,SARS-CoV-2
2022-10-03,190731991175.776,SARS-CoV-2
2022-10-10,3547956531925.8,SARS-CoV-2
2022-10-17,5401300867842.42,SARS-CoV-2
2022-10-24,5053816896515.33,SARS-CoV-2
2022-10-31,1439704922583.14,SARS-CoV-2
2022-11-07,2116456941145.62,SARS-CoV-2
2022-11-14,359086055039.43,SARS-CoV-2
2022-11-21,1049702563369.43,SARS-CoV-2
2022-11-28,945693320034.328,SARS-CoV-2
2022-12-05,958402558790.888,SARS-CoV-2
2022-12-12,2664410581345.77,SARS-CoV-2
2022-12-19,482656057148.286,SARS-CoV-2
2023-01-02,732465639271.911,SARS-CoV-2
2023-01-09,577063419043.693,SARS-CoV-2
2023-01-16,757904085079.941,SARS-CoV-2
2023-01-23,372803870495.546,SARS-CoV-2
2023-01-30,1356814377456.76,SARS-CoV-2
2023-02-06,4955017498717.38,SARS-CoV-2
2023-02-13,2518571991958.38,SARS-CoV-2
2023-02-20,4763932021097.6,SARS-CoV-2
2023-02-27,9794956383394.12,SARS-CoV-2
2023-03-06,7681040131317.81,SARS-CoV-2
2023-03-13,8099932636087.81,SARS-CoV-2
2023-03-20,7314987739288.54,SARS-CoV-2
2023-03-27,1447100052377.0,SARS-CoV-2
2023-04-03,1292330526269.68,SARS-CoV-2
2023-04-10,698697894423.119,SARS-CoV-2
2023-04-17,1553186009969.67,SARS-CoV-2
2023-04-24,825025015605.649,SARS-CoV-2
2023-05-01,1236014789887.09,SARS-CoV-2
2023-05-08,660109735736.709,SARS-CoV-2
2023-05-15,21279915463.312,SARS-CoV-2
2023-05-22,299534586944.62,SARS-CoV-2
2023-05-29,306679439271.238,SARS-CoV-2
2023-06-05,608845568256.998,SARS-CoV-2
2023-06-12,231444655066.508,SARS-CoV-2
2023-06-19,116837920777.969,SARS-CoV-2
2023-06-26,696053348955.44,SARS-CoV-2
2023-07-03,73936021933.0722,SARS-CoV-2
2023-07-10,280586126308.288,SARS-CoV-2
2023-07-17,381191696873.113,SARS-CoV-2
2023-07-24,162787373433.813,SARS-CoV-2
2023-07-31,197560419869.528,SARS-CoV-2
2023-08-07,612258303899.902,SARS-CoV-2
2023-08-14,227339478166.035,SARS-CoV-2
2023-08-28,754842181852.546,SARS-CoV-2
2023-09-04,1119866039564.91,SARS-CoV-2
2023-09-11,824183656825.377,SARS-CoV-2
2023-09-18,3835182048947.96,SARS-CoV-2
2023-09-25,1249795934202.45,SARS-CoV-2
2023-10-02,1570854899305.53,SARS-CoV-2
2023-10-09,4564906035061.62,SARS-CoV-2
2023-10-16,2486129389702.41,SARS-CoV-2
2023-10-23,2051216296417.03,SARS-CoV-2
2023-10-30,569827270309.941,SARS-CoV-2
2023-11-06,483296178251.74,SARS-CoV-2
2023-11-13,716466293184.3,SARS-CoV-2
2023-11-20,1680927035452.52,SARS-CoV-2
2023-11-27,5789839562915.96,SARS-CoV-2
2023-12-04,7008301053619.37,SARS-CoV-2
2023-12-11,15546220523396.9,SARS-CoV-2
2023-12-18,11680682723648.8,SARS-CoV-2
2024-01-01,665094904153.137,SARS-CoV-2
2024-01-08,1395410554537.24,SARS-CoV-2
2024-01-15,3045953996090.9,SARS-CoV-2
2024-01-22,521849158563.447,SARS-CoV-2
2024-01-29,897149077756.062,SARS-CoV-2
2024-02-05,1139753502648.3,SARS-CoV-2
2024-02-12,334280073202.725,SARS-CoV-2
2024-02-19,606393513454.148,SARS-CoV-2
2024-02-26,405436849384.084,SARS-CoV-2
2024-03-04,253882717284.254,SARS-CoV-2
2024-03-11,388599955805.635,SARS-CoV-2
2024-03-18,56687452449.3895,SARS-CoV-2
2024-03-25,447832995745.273,SARS-CoV-2
2024-04-01,203365673143.671,SARS-CoV-2
2024-04-08,530467943400.407,SARS-CoV-2
2024-04-15,308874871704.713,SARS-CoV-2
2024-04-22,133838159523.904,SARS-CoV-2
2024-04-29,191770902288.871,SARS-CoV-2
2024-05-06,693423714121.82,SARS-CoV-2
2024-05-13,301873856801.113,SARS-CoV-2
2024-05-20,394063097423.84,SARS-CoV-2
2024-05-27,1026227096981.52,SARS-CoV-2
2024-06-03,1382019041249.92,SARS-CoV-2
2024-06-10,1460229330165.94,SARS-CoV-2
2024-06-17,1350192708988.42,SARS-CoV-2
2024-06-24,1350095531458.4,SARS-CoV-2
2024-07-01,2116340471046.6,SARS-CoV-2
2024-07-08,5525146249987.05,SARS-CoV-2
2024-07-15,1435589540728.18,SARS-CoV-2
2024-07-22,1724330827512.98,SARS-CoV-2
2024-07-29,905116538740.17,SARS-CoV-2
2024-08-05,993493506183.968,SARS-CoV-2
2024-08-12,1575015749956.93,SARS-CoV-2
2024-08-19,1726952145614.84,SARS-CoV-2
2024-08-26,4058419769081.69,SARS-CoV-2
2024-09-02,5921457550381.66,SARS-CoV-2
2024-09-09,2576631116513.67,SARS-CoV-2
2024-09-16,5863316730111.11,SARS-CoV-2
2024-09-23,3460417184864.65,SARS-CoV-2
2024-09-30,6846519761553.19,SARS-CoV-2
2024-10-07,5462515042390.88,SARS-CoV-2
2024-10-14,3396404852937.22,SARS-CoV-2
2024-10-21,4706476850345.89,SARS-CoV-2
2024-10-28,3604120161539.86,SARS-CoV-2
2024-11-04,3383520893106.07,SARS-CoV-2
2024-11-11,1750677441888.22,SARS-CoV-2
2024-11-18,1145642440466.16,SARS-CoV-2
2024-11-25,1880772679977.92,SARS-CoV-2
2024-12-02,2799880308480.58,SARS-CoV-2
2024-12-09,5978689027467.75,SARS-CoV-2
2024-12-16,5105681432150.56,SARS-CoV-2
2025-01-13,493926687452.334,SARS-CoV-2
2025-01-20,658147112854.656,SARS-CoV-2
2025-01-27,1548137217806.38,SARS-CoV-2
2025-02-03,244044833830.562,SARS-CoV-2
2025-02-10,889723485281.676,SARS-CoV-2
2025-02-17,1459642553744.16,SARS-CoV-2
2025-02-24,564676010156.545,SARS-CoV-2
2025-03-03,1090131218963.72,SARS-CoV-2
2025-03-10,581010141081.015,SARS-CoV-2
2025-03-17,220353051793.15,SARS-CoV-2
2025-03-24,468027007928.681,SARS-CoV-2
2025-03-31,794818929259.492,SARS-CoV-2
2025-04-07,404059188253.725,SARS-CoV-2
2025-04-14,757490384038.991,SARS-CoV-2
2025-04-21,735853542173.951,SARS-CoV-2
