time,rna_copies,label
2020-04-06,,SARS-CoV-2
2020-04-13,,SARS-CoV-2
2020-04-20,,SARS-CoV-2
2020-04-27,,SARS-CoV-2
2020-05-04,,SARS-CoV-2
2020-05-11,,SARS-CoV-2
2020-05-18,,SARS-CoV-2
2020-05-25,,SARS-CoV-2
2020-06-01,,SARS-CoV-2
2020-06-08,,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,,SARS-CoV-2
2020-06-29,,SARS-CoV-2
2020-07-06,,SARS-CoV-2
2020-07-13,187462444522.198,SARS-CoV-2
2020-07-20,225226087912.937,SARS-CoV-2
2020-07-27,107697367908.933,SARS-CoV-2
2020-08-03,116486518074.349,SARS-CoV-2
2020-08-10,152631585805.593,SARS-CoV-2
2020-08-17,0.0,SARS-CoV-2
2020-08-24,0.0,SARS-CoV-2
2020-08-31,137028925527.405,SARS-CoV-2
2020-09-07,0.0,SARS-CoV-2
2020-09-14,138382545433.786,SARS-CoV-2
2020-09-21,0.0,SARS-CoV-2
2020-09-28,95818434464.8686,SARS-CoV-2
2020-10-05,0.0,SARS-CoV-2
2020-10-12,0.0,SARS-CoV-2
2020-10-19,245825528373.442,SARS-CoV-2
2020-10-26,431704009176.327,SARS-CoV-2
2020-11-02,619130468472.847,SARS-CoV-2
2020-11-09,1530687582086.2,SARS-CoV-2
2020-11-16,1923196997920.8,SARS-CoV-2
2020-11-23,2429199648461.93,SARS-CoV-2
2020-11-30,3865645371137.52,SARS-CoV-2
2020-12-07,1195304837337.81,SARS-CoV-2
2020-12-14,657085507988.657,SARS-CoV-2
2020-12-21,1382477023491.34,SARS-CoV-2
2020-12-28,452672142885.154,SARS-CoV-2
2021-01-04,,SARS-CoV-2
2021-01-04,239337999557.737,SARS-CoV-2
2021-01-11,308363698363.354,SARS-CoV-2
2021-01-18,452985885755.884,SARS-CoV-2
2021-01-25,166438966593.162,SARS-CoV-2
2021-02-01,394312768686.565,SARS-CoV-2
2021-02-08,845030481765.643,SARS-CoV-2
2021-02-15,1086089556317.61,SARS-CoV-2
2021-02-22,712445483169.667,SARS-CoV-2
2021-03-01,311129703150.2,SARS-CoV-2
2021-03-08,1107533313408.78,SARS-CoV-2
2021-03-15,241228780401.325,SARS-CoV-2
2021-03-22,296658165847.715,SARS-CoV-2
2021-03-29,1762705271140.05,SARS-CoV-2
2021-04-05,200494524509.604,SARS-CoV-2
2021-04-12,95445973363.4747,SARS-CoV-2
2021-04-19,920472612197.395,SARS-CoV-2
2021-04-26,1078096241038.38,SARS-CoV-2
2021-05-03,1131578238874.55,SARS-CoV-2
2021-05-10,754229076083.01,SARS-CoV-2
2021-05-17,422033281340.542,SARS-CoV-2
2021-05-24,626282455336.142,SARS-CoV-2
2021-05-31,302342262790.941,SARS-CoV-2
2021-06-07,249682255726.599,SARS-CoV-2
2021-06-14,446188648147.137,SARS-CoV-2
2021-06-21,106811195828.024,SARS-CoV-2
2021-06-28,2277622047196.48,SARS-CoV-2
2021-07-05,362585624904.387,SARS-CoV-2
2021-07-12,,SARS-CoV-2
2021-07-19,0.0,SARS-CoV-2
2021-07-26,0.0,SARS-CoV-2
2021-08-02,0.0,SARS-CoV-2
2021-08-09,302536232185.688,SARS-CoV-2
2021-08-16,1486240616802.29,SARS-CoV-2
2021-08-23,679805303326.316,SARS-CoV-2
2021-08-30,856334859558.456,SARS-CoV-2
2021-09-06,1270428835537.24,SARS-CoV-2
2021-09-13,636837170996.604,SARS-CoV-2
2021-09-20,434940818099.376,SARS-CoV-2
2021-09-27,277820866902.889,SARS-CoV-2
2021-10-04,990660261541.618,SARS-CoV-2
2021-10-11,652965738252.786,SARS-CoV-2
2021-10-18,515209971203.653,SARS-CoV-2
2021-10-25,1342557410502.39,SARS-CoV-2
2021-11-01,626819504605.785,SARS-CoV-2
2021-11-08,2078726581780.92,SARS-CoV-2
2021-11-15,1962535126110.92,SARS-CoV-2
2021-11-22,1943940653754.25,SARS-CoV-2
2021-11-29,818878542563.202,SARS-CoV-2
2021-12-06,2663119124678.02,SARS-CoV-2
2021-12-13,1109128942463.93,SARS-CoV-2
2021-12-20,3166478913484.71,SARS-CoV-2
2021-12-27,,SARS-CoV-2
2022-01-03,1285179815351.09,SARS-CoV-2
2022-01-10,2196726208074.59,SARS-CoV-2
2022-01-17,4619156379771.21,SARS-CoV-2
2022-01-24,6026174828525.87,SARS-CoV-2
2022-01-31,4370463716913.98,SARS-CoV-2
2022-02-07,905442380054.427,SARS-CoV-2
2022-02-14,6291785730010.2,SARS-CoV-2
2022-02-21,1564367254419.7,SARS-CoV-2
2022-02-28,3657157951429.66,SARS-CoV-2
