time,rna_copies,label
2020-04-06,,SARS-CoV-2
2020-04-13,,SARS-CoV-2
2020-04-20,,SARS-CoV-2
2020-04-27,,SARS-CoV-2
2020-05-04,138650450248.509,SARS-CoV-2
2020-05-11,78773680468.8878,SARS-CoV-2
2020-05-18,0.0,SARS-CoV-2
2020-05-25,162330799799.205,SARS-CoV-2
2020-06-01,0.0,SARS-CoV-2
2020-06-08,0.0,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,208713038640.92,SARS-CoV-2
2020-07-06,224488844271.469,SARS-CoV-2
2020-07-13,96156334156.4978,SARS-CoV-2
2020-07-20,79071699319.383,SARS-CoV-2
2020-07-27,112873429168.77,SARS-CoV-2
2020-08-03,329247445525.176,SARS-CoV-2
2020-08-10,121459770660.651,SARS-CoV-2
2020-08-17,201440783273.432,SARS-CoV-2
2020-08-24,62822348854.8706,SARS-CoV-2
2020-08-31,75420320704.8894,SARS-CoV-2
2020-09-07,90002906617.3587,SARS-CoV-2
2020-09-14,0.0,SARS-CoV-2
2020-09-21,237983650509.742,SARS-CoV-2
2020-09-28,0.0,SARS-CoV-2
2020-10-05,0.0,SARS-CoV-2
2020-10-12,128326133681.511,SARS-CoV-2
2020-10-19,720286712855.985,SARS-CoV-2
2020-10-26,1747937257842.47,SARS-CoV-2
2020-11-02,5542231588428.1,SARS-CoV-2
2020-11-09,2773905282314.64,SARS-CoV-2
2020-11-16,4781669451577.59,SARS-CoV-2
2020-11-23,2668012023062.3,SARS-CoV-2
2020-11-30,2836676767328.23,SARS-CoV-2
2020-12-07,2816139142776.88,SARS-CoV-2
2020-12-14,1299999326402.99,SARS-CoV-2
2020-12-21,1540678981466.44,SARS-CoV-2
2020-12-28,1886232797792.0,SARS-CoV-2
2021-01-04,217935096312.185,SARS-CoV-2
2021-01-04,174850489005.53,SARS-CoV-2
2021-01-11,376999590073.944,SARS-CoV-2
2021-01-18,136332314650.018,SARS-CoV-2
2021-01-25,136695165635.978,SARS-CoV-2
2021-02-01,230445892466.285,SARS-CoV-2
2021-02-08,291811992145.823,SARS-CoV-2
2021-02-15,270627453648.259,SARS-CoV-2
2021-02-22,581279513587.156,SARS-CoV-2
2021-03-01,1057216307820.42,SARS-CoV-2
2021-03-08,454296678929.254,SARS-CoV-2
2021-03-15,421455696763.928,SARS-CoV-2
2021-03-22,578954998796.453,SARS-CoV-2
2021-03-29,1418428694092.52,SARS-CoV-2
2021-04-05,583470120955.066,SARS-CoV-2
2021-04-12,119970123589.143,SARS-CoV-2
2021-04-19,163305909810.408,SARS-CoV-2
2021-04-26,59523612064.7858,SARS-CoV-2
2021-05-03,85580125616.1836,SARS-CoV-2
2021-05-10,102394652648.789,SARS-CoV-2
2021-05-17,171330666259.696,SARS-CoV-2
2021-05-24,61760951402.8713,SARS-CoV-2
2021-05-31,64767343650.6163,SARS-CoV-2
2021-06-07,65723759529.9425,SARS-CoV-2
2021-06-14,46406281261.6312,SARS-CoV-2
2021-06-21,100885530734.152,SARS-CoV-2
2021-06-28,315957199861.524,SARS-CoV-2
2021-07-05,146373733678.194,SARS-CoV-2
2021-07-12,220451209681.914,SARS-CoV-2
2021-07-19,131083017068.05,SARS-CoV-2
2021-07-26,157103332013.924,SARS-CoV-2
2021-08-02,138473575316.913,SARS-CoV-2
2021-08-09,158700765955.68,SARS-CoV-2
2021-08-16,166355865498.154,SARS-CoV-2
2021-08-23,197400804747.527,SARS-CoV-2
2021-08-30,647358817114.056,SARS-CoV-2
2021-09-06,615805887794.994,SARS-CoV-2
2021-09-13,276348087137.373,SARS-CoV-2
2021-09-20,198220106805.571,SARS-CoV-2
2021-09-27,446106231804.731,SARS-CoV-2
2021-10-04,735394525240.625,SARS-CoV-2
2021-10-11,444531478689.219,SARS-CoV-2
2021-10-18,848784707034.765,SARS-CoV-2
2021-10-25,964730434125.862,SARS-CoV-2
2021-11-01,937454164109.093,SARS-CoV-2
2021-11-08,1684842265178.11,SARS-CoV-2
2021-11-15,1409898804087.43,SARS-CoV-2
2021-11-22,2782289510893.3,SARS-CoV-2
2021-11-29,1976084870003.08,SARS-CoV-2
2021-12-06,2682445903859.98,SARS-CoV-2
2021-12-13,2345492364492.67,SARS-CoV-2
2021-12-20,2425779188002.11,SARS-CoV-2
2021-12-27,,SARS-CoV-2
2022-01-03,2927511683910.59,SARS-CoV-2
2022-01-10,2483615274757.36,SARS-CoV-2
2022-01-17,5517293717744.94,SARS-CoV-2
2022-01-24,3447149740535.21,SARS-CoV-2
2022-01-31,2520665407334.17,SARS-CoV-2
2022-02-07,2080171429352.76,SARS-CoV-2
