time,rna_copies,label
2020-04-06,686362102146.513,SARS-CoV-2
2020-04-13,431021467813.0,SARS-CoV-2
2020-04-20,141726116881.951,SARS-CoV-2
2020-04-27,129256904662.297,SARS-CoV-2
2020-05-04,84888956793.0763,SARS-CoV-2
2020-05-11,122616909892.748,SARS-CoV-2
2020-05-18,83429183815.176,SARS-CoV-2
2020-05-25,52777284930.0652,SARS-CoV-2
2020-06-01,23336981691.6713,SARS-CoV-2
2020-06-08,23308366872.7263,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,23888409198.4007,SARS-CoV-2
2020-06-29,220963552925.108,SARS-CoV-2
2020-07-06,148485185128.719,SARS-CoV-2
2020-07-13,218424884619.878,SARS-CoV-2
2020-07-20,322806032974.085,SARS-CoV-2
2020-07-27,443793198050.511,SARS-CoV-2
2020-08-03,269456795477.098,SARS-CoV-2
2020-08-10,352076835627.749,SARS-CoV-2
2020-08-17,392660591245.53,SARS-CoV-2
2020-08-24,136102085803.179,SARS-CoV-2
2020-08-31,101378780150.905,SARS-CoV-2
2020-09-07,136251011151.312,SARS-CoV-2
2020-09-14,210254574452.193,SARS-CoV-2
2020-09-21,207970967777.513,SARS-CoV-2
2020-09-28,229186844916.768,SARS-CoV-2
2020-10-05,341126250389.107,SARS-CoV-2
2020-10-12,345907258265.977,SARS-CoV-2
2020-10-19,1279621083082.41,SARS-CoV-2
2020-10-26,3492460506878.91,SARS-CoV-2
2020-11-02,5082604124039.12,SARS-CoV-2
2020-11-09,4354227673256.68,SARS-CoV-2
2020-11-16,4851845481155.65,SARS-CoV-2
2020-11-23,3855541394005.82,SARS-CoV-2
2020-11-30,2834144287702.32,SARS-CoV-2
2020-12-07,2530415160494.91,SARS-CoV-2
2020-12-14,1294015541655.98,SARS-CoV-2
2020-12-21,1738716456680.67,SARS-CoV-2
2020-12-28,667497688274.391,SARS-CoV-2
2021-01-04,458159188175.13,SARS-CoV-2
2021-01-04,599412034233.296,SARS-CoV-2
2021-01-11,839834579242.466,SARS-CoV-2
2021-01-18,413053490222.158,SARS-CoV-2
2021-01-25,399996791894.49,SARS-CoV-2
2021-02-01,358440941194.64,SARS-CoV-2
2021-02-08,515679523115.321,SARS-CoV-2
2021-02-15,717833673880.727,SARS-CoV-2
2021-02-22,1114774879555.55,SARS-CoV-2
2021-03-01,882144811902.52,SARS-CoV-2
2021-03-08,605394117633.837,SARS-CoV-2
2021-03-15,666831124681.427,SARS-CoV-2
2021-03-22,714954093057.089,SARS-CoV-2
2021-03-29,1028068553329.68,SARS-CoV-2
2021-04-05,435222478712.504,SARS-CoV-2
2021-04-12,227522114463.547,SARS-CoV-2
2021-04-19,558417681998.206,SARS-CoV-2
2021-04-26,402205910695.888,SARS-CoV-2
2021-05-03,351451047006.288,SARS-CoV-2
2021-05-10,303146693171.355,SARS-CoV-2
2021-05-17,240360402556.794,SARS-CoV-2
2021-05-24,168657813955.299,SARS-CoV-2
2021-05-31,185215898651.941,SARS-CoV-2
2021-06-07,143299009979.195,SARS-CoV-2
2021-06-14,105044972133.455,SARS-CoV-2
2021-06-21,90588180960.6018,SARS-CoV-2
2021-06-28,519856931834.074,SARS-CoV-2
2021-07-05,458430528176.19,SARS-CoV-2
2021-07-12,550229948740.552,SARS-CoV-2
2021-07-19,301086519510.238,SARS-CoV-2
2021-07-26,208881423978.569,SARS-CoV-2
2021-08-02,371080243869.896,SARS-CoV-2
2021-08-09,513203095309.992,SARS-CoV-2
2021-08-16,578869673870.771,SARS-CoV-2
2021-08-23,270243610600.364,SARS-CoV-2
2021-08-30,526153882627.349,SARS-CoV-2
2021-09-06,643232869277.79,SARS-CoV-2
2021-09-13,1170226081951.46,SARS-CoV-2
2021-09-20,286630716586.829,SARS-CoV-2
2021-09-27,668254299237.355,SARS-CoV-2
2021-10-04,637163185912.484,SARS-CoV-2
2021-10-11,943499535133.985,SARS-CoV-2
2021-10-18,1101573874301.57,SARS-CoV-2
2021-10-25,1180164349608.03,SARS-CoV-2
2021-11-01,769788835471.127,SARS-CoV-2
2021-11-08,1429351668332.92,SARS-CoV-2
2021-11-15,2121026746427.92,SARS-CoV-2
2021-11-22,2357496148248.22,SARS-CoV-2
2021-11-29,2634315995814.67,SARS-CoV-2
