time,rna_copies,label
2020-04-06,,SARS-CoV-2
2020-04-13,,SARS-CoV-2
2020-04-20,,SARS-CoV-2
2020-04-27,,SARS-CoV-2
2020-05-04,140149483758.864,SARS-CoV-2
2020-05-11,299837396541.196,SARS-CoV-2
2020-05-18,0.0,SARS-CoV-2
2020-05-25,0.0,SARS-CoV-2
2020-06-01,58142381998.7209,SARS-CoV-2
2020-06-08,64907903978.4281,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,161149270262.69,SARS-CoV-2
2020-06-29,302451462557.548,SARS-CoV-2
2020-07-06,213576793790.726,SARS-CoV-2
2020-07-13,326820578169.642,SARS-CoV-2
2020-07-20,583405970433.049,SARS-CoV-2
2020-07-27,1510435848082.13,SARS-CoV-2
2020-08-03,358976679460.198,SARS-CoV-2
2020-08-10,379614076552.9,SARS-CoV-2
2020-08-17,249922971911.797,SARS-CoV-2
2020-08-24,408106125013.645,SARS-CoV-2
2020-08-31,140732597910.189,SARS-CoV-2
2020-09-07,452799694061.627,SARS-CoV-2
2020-09-14,187214885682.329,SARS-CoV-2
2020-09-21,551946200840.57,SARS-CoV-2
2020-09-28,335592884402.166,SARS-CoV-2
2020-10-05,228103213644.273,SARS-CoV-2
2020-10-12,70849993748.6499,SARS-CoV-2
2020-10-19,2877873657699.4,SARS-CoV-2
2020-10-26,4203996327459.3,SARS-CoV-2
2020-11-02,4549819315398.02,SARS-CoV-2
2020-11-09,2090908658950.54,SARS-CoV-2
2020-11-16,8068638884669.21,SARS-CoV-2
2020-11-23,5292230585432.81,SARS-CoV-2
2020-11-30,3079613171450.89,SARS-CoV-2
2020-12-07,2554996037842.77,SARS-CoV-2
2020-12-14,1951984860984.64,SARS-CoV-2
2020-12-21,1669339069198.6,SARS-CoV-2
2020-12-28,176989336972.314,SARS-CoV-2
2021-01-04,201527247220.345,SARS-CoV-2
2021-01-04,727467820930.144,SARS-CoV-2
2021-01-11,1631424550322.4,SARS-CoV-2
2021-01-18,346453854312.177,SARS-CoV-2
2021-01-25,118972432285.366,SARS-CoV-2
2021-02-01,200191362242.115,SARS-CoV-2
2021-02-08,759980656644.299,SARS-CoV-2
2021-02-15,570600850790.675,SARS-CoV-2
2021-02-22,2536123894251.84,SARS-CoV-2
2021-03-01,2366514234480.91,SARS-CoV-2
2021-03-08,803564616826.958,SARS-CoV-2
2021-03-15,437422501235.763,SARS-CoV-2
2021-03-22,1130320837310.2,SARS-CoV-2
2021-03-29,2244695013286.01,SARS-CoV-2
2021-04-05,434460191820.852,SARS-CoV-2
2021-04-12,182582017235.417,SARS-CoV-2
2021-04-19,977878578487.728,SARS-CoV-2
2021-04-26,676652367292.346,SARS-CoV-2
2021-05-03,336367100785.763,SARS-CoV-2
2021-05-10,741896539431.57,SARS-CoV-2
2021-05-17,378426027215.314,SARS-CoV-2
2021-05-24,85665621311.2111,SARS-CoV-2
2021-05-31,375926942277.592,SARS-CoV-2
2021-06-07,187533393641.11,SARS-CoV-2
2021-06-14,289418644378.97,SARS-CoV-2
2021-06-21,494690216336.022,SARS-CoV-2
2021-06-28,295142168973.377,SARS-CoV-2
2021-07-05,230545908318.25,SARS-CoV-2
2021-07-12,145237764592.251,SARS-CoV-2
2021-07-19,154223298343.703,SARS-CoV-2
2021-07-26,289981163429.811,SARS-CoV-2
2021-08-02,240034050484.785,SARS-CoV-2
2021-08-09,954423317229.18,SARS-CoV-2
2021-08-16,681710056723.655,SARS-CoV-2
2021-08-23,192864557509.168,SARS-CoV-2
2021-08-30,945619578890.21,SARS-CoV-2
2021-09-06,1210941714580.06,SARS-CoV-2
2021-09-13,1525755055238.52,SARS-CoV-2
2021-09-20,283005295661.599,SARS-CoV-2
2021-09-27,719443651238.898,SARS-CoV-2
2021-10-04,495754220394.474,SARS-CoV-2
2021-10-11,1304569589534.41,SARS-CoV-2
2021-10-18,816214313790.902,SARS-CoV-2
2021-10-25,1355239407547.97,SARS-CoV-2
2021-11-01,428003360302.198,SARS-CoV-2
2021-11-08,1846957546773.23,SARS-CoV-2
2021-11-15,2003982176795.33,SARS-CoV-2
2021-11-22,2139110861321.18,SARS-CoV-2
2021-11-29,1145536550863.27,SARS-CoV-2
2021-12-06,1235682940820.7,SARS-CoV-2
2021-12-13,2045250612454.04,SARS-CoV-2
2021-12-20,5289199271367.89,SARS-CoV-2
2021-12-27,,SARS-CoV-2
2022-01-03,1772890196594.28,SARS-CoV-2
2022-01-10,4307721103737.37,SARS-CoV-2
2022-01-17,10743389198784.5,SARS-CoV-2
2022-01-24,9033696715947.16,SARS-CoV-2
2022-01-31,7728139527495.38,SARS-CoV-2
