time,rna_copies,label
2020-04-06,196031262548.477,SARS-CoV-2
2020-04-13,115619940971.661,SARS-CoV-2
2020-04-20,97167474789.3907,SARS-CoV-2
2020-04-27,108425561328.832,SARS-CoV-2
2020-05-04,45768996190.5579,SARS-CoV-2
2020-05-11,94888392883.4563,SARS-CoV-2
2020-05-18,0.0,SARS-CoV-2
2020-06-01,96404286609.7271,SARS-CoV-2
2020-06-08,80592113710.9908,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,0.0,SARS-CoV-2
2020-06-29,57723703571.9225,SARS-CoV-2
2020-07-06,158709841146.32,SARS-CoV-2
2020-07-13,281025615389.939,SARS-CoV-2
2020-07-20,198502033861.654,SARS-CoV-2
2020-07-27,426728607063.93,SARS-CoV-2
2020-08-03,193572860846.742,SARS-CoV-2
2020-08-10,405325833883.833,SARS-CoV-2
2020-08-17,202124130733.311,SARS-CoV-2
2020-08-24,194292314030.874,SARS-CoV-2
2020-08-31,38842530903.4627,SARS-CoV-2
2020-09-07,65421044872.4501,SARS-CoV-2
2020-09-14,144913447487.491,SARS-CoV-2
2020-09-21,147951434131.011,SARS-CoV-2
2020-09-28,101424367454.17,SARS-CoV-2
2020-10-05,724664663079.577,SARS-CoV-2
2020-10-12,725796552698.158,SARS-CoV-2
2020-10-19,1281592380127.03,SARS-CoV-2
2020-10-26,2668704386934.12,SARS-CoV-2
2020-11-02,7053504471992.51,SARS-CoV-2
2020-11-09,3950570787843.25,SARS-CoV-2
2020-11-16,3796727377317.1,SARS-CoV-2
2020-11-23,3195252167276.1,SARS-CoV-2
2020-11-30,2617396294993.2,SARS-CoV-2
2020-12-07,2035622779436.34,SARS-CoV-2
2020-12-14,950215863209.483,SARS-CoV-2
2020-12-21,1359299787268.51,SARS-CoV-2
2020-12-28,988012513750.354,SARS-CoV-2
2021-01-04,180595654758.603,SARS-CoV-2
2021-01-04,249288164660.506,SARS-CoV-2
2021-01-11,611550864130.707,SARS-CoV-2
2021-01-18,384036936135.931,SARS-CoV-2
2021-01-25,546251173651.89,SARS-CoV-2
2021-02-01,698352770723.089,SARS-CoV-2
2021-02-08,867734278345.707,SARS-CoV-2
2021-02-15,1802422640138.31,SARS-CoV-2
2021-02-22,1141774544256.49,SARS-CoV-2
2021-03-01,833460459448.542,SARS-CoV-2
2021-03-08,505958857649.417,SARS-CoV-2
2021-03-15,422231666646.451,SARS-CoV-2
2021-03-22,811871599212.114,SARS-CoV-2
2021-03-29,524984504629.826,SARS-CoV-2
2021-04-05,308082290293.779,SARS-CoV-2
2021-04-12,162289239010.353,SARS-CoV-2
2021-04-19,368885575046.098,SARS-CoV-2
2021-04-26,274400416411.208,SARS-CoV-2
2021-05-03,122420299400.861,SARS-CoV-2
2021-05-10,65147719820.0683,SARS-CoV-2
2021-05-17,157391133974.926,SARS-CoV-2
2021-05-24,174898883435.618,SARS-CoV-2
2021-05-31,84088153627.6611,SARS-CoV-2
2021-06-07,0.0,SARS-CoV-2
2021-06-14,0.0,SARS-CoV-2
2021-06-21,0.0,SARS-CoV-2
2021-06-28,68178088241.901,SARS-CoV-2
2021-07-05,113744041256.83,SARS-CoV-2
2021-07-12,262025684245.335,SARS-CoV-2
2021-07-19,253062781242.688,SARS-CoV-2
2021-07-26,0.0,SARS-CoV-2
2021-08-02,73585370998.4025,SARS-CoV-2
2021-08-09,181440226319.871,SARS-CoV-2
2021-08-16,188915862564.676,SARS-CoV-2
2021-08-23,98220090653.6107,SARS-CoV-2
2021-08-30,406895516734.006,SARS-CoV-2
2021-09-06,199722667314.213,SARS-CoV-2
2021-09-13,378639692183.613,SARS-CoV-2
2021-09-20,124334109257.893,SARS-CoV-2
2021-09-27,287820399481.718,SARS-CoV-2
2021-10-04,393966360223.241,SARS-CoV-2
2021-10-11,204256623881.618,SARS-CoV-2
2021-10-18,250301508124.101,SARS-CoV-2
2021-10-25,342775419910.383,SARS-CoV-2
2021-11-01,481609868854.08,SARS-CoV-2
2021-11-08,986170443203.714,SARS-CoV-2
2021-11-15,1301404530466.32,SARS-CoV-2
2021-11-22,1019412856709.02,SARS-CoV-2
2021-11-29,1527154583536.19,SARS-CoV-2
2021-12-06,2477947151529.92,SARS-CoV-2
2021-12-13,2928293947931.62,SARS-CoV-2
2021-12-20,2832805497840.3,SARS-CoV-2
2022-01-03,1683441014764.6,SARS-CoV-2
2022-01-10,4333885109212.69,SARS-CoV-2
2022-01-17,1900892680056.8,SARS-CoV-2
2022-01-24,5661641034454.6,SARS-CoV-2
2022-01-31,2929560633207.11,SARS-CoV-2
2022-02-07,1959424157662.15,SARS-CoV-2
2022-02-14,1468270145783.57,SARS-CoV-2
