time,rna_copies,label
2020-04-06,,SARS-CoV-2
2020-04-13,,SARS-CoV-2
2020-04-20,,SARS-CoV-2
2020-04-27,,SARS-CoV-2
2020-05-04,,SARS-CoV-2
2020-05-11,,SARS-CoV-2
2020-05-18,,SARS-CoV-2
2020-05-25,,SARS-CoV-2
2020-06-01,0.0,SARS-CoV-2
2020-06-08,,SARS-CoV-2
2020-06-15,0.0,SARS-CoV-2
2020-06-22,,SARS-CoV-2
2020-06-29,173468698198.247,SARS-CoV-2
2020-07-06,,SARS-CoV-2
2020-07-13,89924044303.6071,SARS-CoV-2
2020-07-20,43220808270.4817,SARS-CoV-2
2020-07-27,58737670843.0354,SARS-CoV-2
2020-08-03,0.0,SARS-CoV-2
2020-08-10,69920063380.5999,SARS-CoV-2
2020-08-17,394639981583.747,SARS-CoV-2
2020-08-24,0.0,SARS-CoV-2
2020-08-31,0.0,SARS-CoV-2
2020-09-07,123759081929.304,SARS-CoV-2
2020-09-14,67469429881.9168,SARS-CoV-2
2020-09-21,65121062578.5045,SARS-CoV-2
2020-09-28,123074446238.177,SARS-CoV-2
2020-10-05,141544111830.186,SARS-CoV-2
2020-10-12,218618653469.134,SARS-CoV-2
2020-10-19,364119188294.852,SARS-CoV-2
2020-10-26,1320079491745.17,SARS-CoV-2
2020-11-02,3131652307764.55,SARS-CoV-2
2020-11-09,2696739063771.43,SARS-CoV-2
2020-11-16,4807039360586.43,SARS-CoV-2
2020-11-23,1464327859367.41,SARS-CoV-2
2020-11-30,1580621351082.23,SARS-CoV-2
2020-12-07,1104085920735.34,SARS-CoV-2
2020-12-14,1578926013509.95,SARS-CoV-2
2020-12-21,784064270404.242,SARS-CoV-2
2020-12-28,472395278529.454,SARS-CoV-2
2021-01-04,,SARS-CoV-2
2021-01-04,432164355770.104,SARS-CoV-2
2021-01-11,229530806358.185,SARS-CoV-2
2021-01-18,239681138160.289,SARS-CoV-2
2021-01-25,171244880315.991,SARS-CoV-2
2021-02-01,231920861373.987,SARS-CoV-2
2021-02-08,512862754548.285,SARS-CoV-2
2021-02-15,432412965033.353,SARS-CoV-2
2021-02-22,358061234134.358,SARS-CoV-2
2021-03-01,971807754859.788,SARS-CoV-2
2021-03-08,580794105250.599,SARS-CoV-2
2021-03-15,567092636710.876,SARS-CoV-2
2021-03-22,650525342135.861,SARS-CoV-2
2021-03-29,403534504523.274,SARS-CoV-2
2021-04-05,322054049524.984,SARS-CoV-2
2021-04-12,206232554593.018,SARS-CoV-2
2021-04-19,834486330875.958,SARS-CoV-2
2021-04-26,224730963688.963,SARS-CoV-2
2021-05-03,147872634725.769,SARS-CoV-2
2021-05-10,187121407719.713,SARS-CoV-2
2021-05-17,373510619130.887,SARS-CoV-2
2021-05-24,176418633419.775,SARS-CoV-2
2021-05-31,147348724873.503,SARS-CoV-2
2021-06-07,0.0,SARS-CoV-2
2021-06-14,37209315080.5949,SARS-CoV-2
2021-06-21,269757481701.365,SARS-CoV-2
2021-06-28,162366192008.073,SARS-CoV-2
2021-07-05,99052441772.8999,SARS-CoV-2
2021-07-12,,SARS-CoV-2
2021-07-19,305233433245.904,SARS-CoV-2
2021-07-26,0.0,SARS-CoV-2
2021-08-02,667230295333.994,SARS-CoV-2
2021-08-09,168615242872.041,SARS-CoV-2
2021-08-16,,SARS-CoV-2
2021-08-23,123318631268.93,SARS-CoV-2
2021-08-30,64993128775.0072,SARS-CoV-2
2021-09-06,234003685498.92,SARS-CoV-2
2021-09-13,382297079976.259,SARS-CoV-2
2021-09-20,342634536715.775,SARS-CoV-2
2021-09-27,659998248900.38,SARS-CoV-2
2021-10-04,375156611739.074,SARS-CoV-2
2021-10-11,1018816720179.88,SARS-CoV-2
2021-10-18,1790595402189.77,SARS-CoV-2
2021-10-25,858477125443.212,SARS-CoV-2
2021-11-01,1229019682644.77,SARS-CoV-2
2021-11-08,2306935976007.02,SARS-CoV-2
2021-11-15,2238088686080.71,SARS-CoV-2
2021-11-22,2216974781287.71,SARS-CoV-2
2021-11-29,4904028801020.83,SARS-CoV-2
2021-12-06,4049428523387.33,SARS-CoV-2
2021-12-13,6430203486468.31,SARS-CoV-2
2021-12-20,4432578037303.18,SARS-CoV-2
2021-12-27,,SARS-CoV-2
2022-01-03,2544366919866.15,SARS-CoV-2
2022-01-10,3160028717800.49,SARS-CoV-2
2022-01-17,4129484395112.13,SARS-CoV-2
2022-01-24,3737833120743.78,SARS-CoV-2
2022-01-31,3391778760931.12,SARS-CoV-2
2022-02-07,3164788521182.0,SARS-CoV-2
2022-02-14,1391821368037.87,SARS-CoV-2
2022-02-21,2806631996944.63,SARS-CoV-2
