time,rna_copies,label
2020-04-06,,SARS
2020-04-13,,SARS
2020-04-20,,SARS
2020-04-27,,SARS
2020-05-04,,SARS
2020-05-11,,SARS
2020-05-18,-0.0024949860636810464,SARS
2020-05-25,-0.0024949860636810464,SARS
2020-06-01,-0.0024949860636810464,SARS
2020-06-08,-0.0024949860636810464,SARS
2020-06-15,-0.0024949860636810464,SARS
2020-06-22,-0.0024949860636810464,SARS
2020-06-29,0.005135207902337969,SARS
2020-07-06,0.010222003879683979,SARS
2020-07-13,0.009090606815064366,SARS
2020-07-20,0.0045864549579921485,SARS
2020-07-27,0.0001311243259400315,SARS
2020-08-03,-0.007769053138611643,SARS
2020-08-10,-0.012593726773068208,SARS
2020-08-17,0.006013153564737601,SARS
2020-08-24,0.004018586836509085,SARS
2020-08-31,-0.0003323086407699174,SARS
2020-09-07,-0.000660122291321231,SARS
2020-09-14,-0.0037347117196073515,SARS
2020-09-21,-0.010485468309780081,SARS
2020-09-28,-0.011541220652676962,SARS
2020-10-05,0.0064802574341098085,SARS
2020-10-12,0.008457982717495963,SARS
2020-10-19,0.013630307747786405,SARS
2020-10-26,0.06277100867211502,SARS
2020-11-02,0.17075382463205677,SARS
2020-11-09,0.2145417718637555,SARS
2020-11-16,0.31596745340517335,SARS
2020-11-23,0.20276754765423483,SARS
2020-11-30,0.07980854008827293,SARS
2020-12-07,-0.07554772228370871,SARS
2020-12-14,-0.1648019023605824,SARS
2020-12-21,-0.18656895796432302,SARS
2020-12-28,-0.213131541853345,SARS
2021-01-04,-0.08331590930955851,SARS
2021-01-04,-0.0877586633319218,SARS
2021-01-11,-0.07916049499662238,SARS
2021-01-18,-0.07825401432443213,SARS
2021-01-25,-0.03983544715511169,SARS
2021-02-01,-0.02472561642838773,SARS
2021-02-08,-0.007441512015746464,SARS
2021-02-15,0.0057105939263802745,SARS
2021-02-22,0.01381902228320243,SARS
2021-03-01,0.038126152254583066,SARS
2021-03-08,0.03494618856986299,SARS
2021-03-15,0.022148504359607763,SARS
2021-03-22,0.01077529622698565,SARS
2021-03-29,-0.0011229496216325296,SARS
2021-04-05,-0.01972044304802037,SARS
2021-04-12,-0.04615495844690749,SARS
2021-04-19,-0.0067339868604258234,SARS
2021-04-26,-0.01505247545177022,SARS
2021-05-03,-0.02233462047243453,SARS
2021-05-10,-0.01685060431010882,SARS
2021-05-17,-0.010859162465374878,SARS
2021-05-24,-0.0178754638923463,SARS
2021-05-31,-0.030827826730376387,SARS
2021-06-07,-0.012552289187498901,SARS
2021-06-14,-0.016165756349503554,SARS
2021-06-21,-0.011308504933846221,SARS
2021-06-28,-0.010660180268022883,SARS
2021-07-05,-0.0015024589915969473,SARS
2021-07-12,0.00012031749378720559,SARS
2021-07-19,0.010241621960722777,SARS
2021-07-26,-0.004019684361120219,SARS
2021-08-02,0.013250052201183717,SARS
2021-08-09,0.012988824772665324,SARS
2021-08-16,0.007912260613685846,SARS
2021-08-23,-0.0029615685642444436,SARS
2021-08-30,-0.016756694091398384,SARS
2021-09-06,-0.0105262413417562,SARS
2021-09-13,-0.014629914912875415,SARS
2021-09-20,0.013048296658682509,SARS
2021-09-27,0.03020251615656278,SARS
2021-10-04,0.02762303426684401,SARS
2021-10-11,0.04767072010724803,SARS
2021-10-18,0.08511539556478112,SARS
2021-10-25,0.06617126852506494,SARS
2021-11-01,0.0630669074287526,SARS
2021-11-08,0.09263499594868435,SARS
2021-11-15,0.10898692719740177,SARS
2021-11-22,0.08456678893463976,SARS
2021-11-29,0.18908404556159747,SARS
2021-12-06,0.24430915223614358,SARS
2021-12-13,0.3164691420909413,SARS
2021-12-20,0.24080051066600786,SARS
2021-12-27,0.1813789410073759,SARS
2022-01-03,0.0036986003650035003,SARS
2022-01-10,-0.15263018072536422,SARS
2022-01-17,-0.12255320177460484,SARS
2022-01-24,-0.14846762136568817,SARS
2022-01-31,-0.04540728946027828,SARS
2022-02-07,-0.024938702168955305,SARS
2022-02-14,-0.06386751668860094,SARS
2022-02-21,-0.10672070211660525,SARS
2022-02-28,-0.09985613062934676,SARS
2022-03-07,-0.08301819061058427,SARS
2022-03-14,-0.02043714969546756,SARS
2022-03-21,0.17363779778625849,SARS
2022-03-28,0.6527527720652426,SARS
2022-04-04,0.6803251844000543,SARS
2022-04-11,0.46738785625476026,SARS
2022-04-18,0.1491418737915156,SARS
2022-04-25,-0.1951878254886972,SARS
2022-05-02,-0.5770237517422991,SARS
2022-05-09,-0.8041999395555334,SARS
2022-05-16,-0.38705580757315844,SARS
2022-05-23,-0.2064360649110082,SARS
2022-05-30,-0.13677695741454934,SARS
2022-06-06,0.0036431411586546397,SARS
2022-06-13,0.2556591703109762,SARS
2022-06-20,0.3390452379498512,SARS
2022-06-27,0.33604769661074246,SARS
2022-07-04,0.3284783528906113,SARS
2022-07-11,0.40103503500294657,SARS
2022-07-18,-0.04096641955952723,SARS
2022-07-25,-0.3142843230219355,SARS
2022-08-01,-0.3976696189341169,SARS
2022-08-08,-0.4100889574698082,SARS
2022-08-15,-0.38199988414707414,SARS
2022-08-22,-0.33284620829055356,SARS
2022-08-29,0.030605239214757128,SARS
2022-09-05,-0.03393820028762879,SARS
2022-09-12,-0.11649854733374601,SARS
2022-09-19,-0.11297503575022301,SARS
2022-09-26,0.021656050104174793,SARS
2022-10-03,-0.03818877544920139,SARS
2022-10-10,0.3530995526334394,SARS
2022-10-17,0.44372654574903986,SARS
2022-10-24,0.35649387209679234,SARS
2022-10-31,0.1759924098213857,SARS
2022-11-07,-0.04310638134305308,SARS
2022-11-14,-0.14622756707562354,SARS
2022-11-21,-0.4191209229394715,SARS
2022-11-28,-0.18500478166859946,SARS
2022-12-05,-0.03536754496133466,SARS
2022-12-12,0.1318778050384745,SARS
2022-12-19,0.10368909210274245,SARS
2022-12-26,0.008147346970924561,SARS
2023-01-02,-0.10214522549749311,SARS
2023-01-09,-0.2379825930189205,SARS
2023-01-16,-0.19221082421340047,SARS
2023-01-23,-0.17112990019845822,SARS
2023-01-30,-0.004020556770121618,SARS
2023-02-06,-0.017158122732311105,SARS
2023-02-13,-0.03480171491990299,SARS
2023-02-20,0.0173565287757848,SARS
2023-02-27,0.21065945769567263,SARS
2023-03-06,0.48624158172702237,SARS
2023-03-13,0.40024865824256606,SARS
2023-03-20,0.30730037203165145,SARS
2023-03-27,0.2999254021585137,SARS
2023-04-03,0.0047854629411816525,SARS
2023-04-10,-0.2818515115760549,SARS
2023-04-17,-0.32138836574782786,SARS
2023-04-24,-0.12203801777383774,SARS
2023-05-01,-0.1987493704284539,SARS
2023-05-08,-0.32460346361202397,SARS
2023-05-15,-0.20242563645434203,SARS
2023-05-22,-0.18423706573088033,SARS
2023-05-29,-0.201940595459866,SARS
2023-06-05,-0.22013685044673112,SARS
2023-06-12,-0.10337723749321702,SARS
2023-06-19,-0.02505508757976397,SARS
2023-06-26,-4.416442873067312e-05,SARS
2023-07-03,-0.008721732965844128,SARS
2023-07-10,-0.007707960203317643,SARS
2023-07-17,0.0015215902381775206,SARS
2023-07-24,0.028203539137051217,SARS
2023-07-31,0.02065547145960106,SARS
2023-08-07,0.03607274925670188,SARS
2023-08-14,0.016430226183389,SARS
2023-08-21,-0.008525020866249452,SARS
2023-08-28,-0.00586017045855971,SARS
2023-09-04,0.03649827600150028,SARS
2023-09-11,0.04065578797600369,SARS
2023-09-18,0.11304385419895971,SARS
2023-09-25,0.1401562680776329,SARS
2023-10-02,0.09688998745323343,SARS
2023-10-09,0.3734682932902356,SARS
2023-10-16,0.3363061916244559,SARS
