time,rna_copies,label
2020-04-06,,SARS-CoV-2
2020-04-13,,SARS-CoV-2
2020-04-20,,SARS-CoV-2
2020-04-27,,SARS-CoV-2
2020-05-04,,SARS-CoV-2
2020-05-11,,SARS-CoV-2
2020-05-18,,SARS-CoV-2
2020-05-25,,SARS-CoV-2
2020-06-01,,SARS-CoV-2
2020-06-08,,SARS-CoV-2
2020-06-15,,SARS-CoV-2
2020-06-22,,SARS-CoV-2
2020-06-29,,SARS-CoV-2
2020-07-06,,SARS-CoV-2
2020-07-13,,SARS-CoV-2
2020-07-20,,SARS-CoV-2
2020-07-27,,SARS-CoV-2
2020-08-03,,SARS-CoV-2
2020-08-10,,SARS-CoV-2
2020-08-17,,SARS-CoV-2
2020-08-24,,SARS-CoV-2
2020-08-31,0.0,SARS-CoV-2
2020-09-07,,SARS-CoV-2
2020-09-14,0.0,SARS-CoV-2
2020-09-21,80550058247.7195,SARS-CoV-2
2020-09-28,297187135138.201,SARS-CoV-2
2020-10-05,1402909037656.91,SARS-CoV-2
2020-10-12,447260123372.514,SARS-CoV-2
2020-10-19,594921740388.255,SARS-CoV-2
2020-10-26,1475822890381.3,SARS-CoV-2
2020-11-02,1800265041548.52,SARS-CoV-2
2020-11-09,3869078488888.38,SARS-CoV-2
2020-11-16,6002889809874.62,SARS-CoV-2
2020-11-23,5352555617145.15,SARS-CoV-2
2020-11-30,3131950927838.43,SARS-CoV-2
2020-12-07,3241306312620.96,SARS-CoV-2
2020-12-14,1325704914768.53,SARS-CoV-2
2020-12-21,5760784451951.21,SARS-CoV-2
2020-12-28,1623080957683.21,SARS-CoV-2
2021-01-04,1147584117456.11,SARS-CoV-2
2021-01-04,934038553664.524,SARS-CoV-2
2021-01-11,1605045379361.57,SARS-CoV-2
2021-01-18,396608740052.784,SARS-CoV-2
2021-01-25,370906050332.117,SARS-CoV-2
2021-02-01,345024708614.186,SARS-CoV-2
2021-02-08,170483485918.794,SARS-CoV-2
2021-02-15,1204309787044.84,SARS-CoV-2
2021-02-22,2667757606390.45,SARS-CoV-2
2021-03-01,939679626297.79,SARS-CoV-2
2021-03-08,769973481059.415,SARS-CoV-2
2021-03-15,251975736412.725,SARS-CoV-2
2021-03-22,1979155805629.84,SARS-CoV-2
2021-03-29,1348605588937.44,SARS-CoV-2
2021-04-05,556220562509.144,SARS-CoV-2
2021-04-12,182496615271.268,SARS-CoV-2
2021-04-19,1603187451209.13,SARS-CoV-2
2021-04-26,1292752722777.71,SARS-CoV-2
2021-05-03,1600938730416.69,SARS-CoV-2
2021-05-10,1936496688456.41,SARS-CoV-2
2021-05-17,294417294753.528,SARS-CoV-2
2021-05-24,671526344488.771,SARS-CoV-2
2021-05-31,838130545130.492,SARS-CoV-2
2021-06-07,149566155546.443,SARS-CoV-2
2021-06-14,55486666856.4332,SARS-CoV-2
2021-06-21,0.0,SARS-CoV-2
2021-06-28,62940052747.0985,SARS-CoV-2
2021-07-05,70069240515.1097,SARS-CoV-2
2021-07-12,0.0,SARS-CoV-2
2021-07-19,222726413188.529,SARS-CoV-2
2021-07-26,189067004535.991,SARS-CoV-2
2021-08-02,1728424285428.75,SARS-CoV-2
2021-08-09,4313217339097.9,SARS-CoV-2
2021-08-16,3257458159559.29,SARS-CoV-2
2021-08-23,894497807942.126,SARS-CoV-2
2021-08-30,1284663581653.43,SARS-CoV-2
2021-09-06,1209606672809.45,SARS-CoV-2
2021-09-13,2130714437441.44,SARS-CoV-2
2021-09-20,257821377262.817,SARS-CoV-2
2021-09-27,705514290521.318,SARS-CoV-2
2021-10-04,3817489992989.38,SARS-CoV-2
2021-10-11,8975798297086.24,SARS-CoV-2
2021-10-18,2651900888278.98,SARS-CoV-2
2021-10-25,4088381366273.25,SARS-CoV-2
2021-11-01,3463888031578.95,SARS-CoV-2
2021-11-08,4478822647927.42,SARS-CoV-2
2021-11-15,2011153980632.16,SARS-CoV-2
2021-11-22,2170881073094.62,SARS-CoV-2
2021-11-29,4204488028296.36,SARS-CoV-2
2021-12-06,2825649086338.28,SARS-CoV-2
2021-12-13,6825626065772.42,SARS-CoV-2
2021-12-20,5275955959713.0,SARS-CoV-2
2021-12-27,,SARS-CoV-2
2022-01-03,2579476212283.65,SARS-CoV-2
2022-01-10,3828959315914.04,SARS-CoV-2
2022-01-17,8953803255029.46,SARS-CoV-2
2022-01-24,6863161895353.18,SARS-CoV-2
2022-01-31,4893728628463.04,SARS-CoV-2
2022-02-07,5108076419727.03,SARS-CoV-2
2022-02-14,3750587095591.75,SARS-CoV-2
2022-02-21,879905845326.319,SARS-CoV-2
2022-02-28,3056258684265.38,SARS-CoV-2
