time,rna_copies,label,filename,virus
2021-11-01,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2021-11-08,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2021-11-15,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2021-11-22,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2021-11-29,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2021-12-06,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2021-12-13,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2021-12-20,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2021-12-27,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-01-03,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-01-10,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-01-17,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-01-24,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-01-31,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-02-07,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-02-14,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-02-21,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-02-28,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-03-07,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-03-14,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-03-21,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-03-28,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-04-04,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-04-11,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-04-18,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-04-25,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-05-02,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-05-09,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-05-16,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-05-23,-3.5518313076915616e-18,on going,FluA-MER_slope_5.csv,FLUA
2022-05-30,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-06-06,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-06-13,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-06-20,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-06-27,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-07-04,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-07-11,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
2022-07-18,-3.5518313076915616e-18,none,FluA-MER_slope_5.csv,FLUA
