time,rna_copies,label,filename,virus
2024-09-23,0.0,none,FluA-UEB.csv,FLUA
2024-09-30,0.0,start,FluA-UEB.csv,FLUA
2024-10-07,0.0,start,FluA-UEB.csv,FLUA
2024-10-14,0.0,start,FluA-UEB.csv,FLUA
2024-10-21,0.0,start,FluA-UEB.csv,FLUA
2024-10-28,0.0,start,FluA-UEB.csv,FLUA
2024-11-04,249070427009.634,start,FluA-UEB.csv,FLUA
2024-11-11,0.0,start,FluA-UEB.csv,FLUA
2024-11-18,0.0,start,FluA-UEB.csv,FLUA
2024-11-25,0.0,start,FluA-UEB.csv,FLUA
2024-12-02,262141978979.111,start,FluA-UEB.csv,FLUA
2024-12-09,498750098614.923,on going,FluA-UEB.csv,FLUA
2024-12-16,1429612777071.61,on going,FluA-UEB.csv,FLUA
2025-01-13,1206622607149.11,on going,FluA-UEB.csv,FLUA
2025-01-20,1111640323341.53,on going,FluA-UEB.csv,FLUA
2025-01-27,1717884516869.82,on going,FluA-UEB.csv,FLUA
2025-02-03,1138241159764.11,on going,FluA-UEB.csv,FLUA
2025-02-10,901766251840.9,on going,FluA-UEB.csv,FLUA
2025-02-17,1593069028326.26,on going,FluA-UEB.csv,FLUA
2025-02-24,470496880000.636,on going,FluA-UEB.csv,FLUA
2025-03-03,325780046888.577,on going,FluA-UEB.csv,FLUA
2025-03-10,259111124859.702,end,FluA-UEB.csv,FLUA
2025-03-17,236903543944.0,end,FluA-UEB.csv,FLUA
2025-03-24,0.0,end,FluA-UEB.csv,FLUA
2025-03-31,71360297054.3729,end,FluA-UEB.csv,FLUA
2025-04-07,80571666816.8703,end,FluA-UEB.csv,FLUA
2025-04-14,0.0,end,FluA-UEB.csv,FLUA
2025-04-21,126170379673.281,end,FluA-UEB.csv,FLUA
2025-04-28,0.0,end,FluA-UEB.csv,FLUA
2025-05-05,0.0,end,FluA-UEB.csv,FLUA
2025-05-12,0.0,end,FluA-UEB.csv,FLUA
2025-05-19,0.0,none,FluA-UEB.csv,FLUA
2025-05-26,0.0,none,FluA-UEB.csv,FLUA
2025-06-02,0.0,none,FluA-UEB.csv,FLUA
2025-06-09,0.0,none,FluA-UEB.csv,FLUA
2025-06-16,0.0,none,FluA-UEB.csv,FLUA
2025-06-23,65179097960.0723,none,FluA-UEB.csv,FLUA
2024-09-23,0.0,none,FluA-UEB.csv,FLUA
2024-09-30,0.0,none,FluA-UEB.csv,FLUA
2024-10-07,0.0,none,FluA-UEB.csv,FLUA
2024-10-14,0.0,none,FluA-UEB.csv,FLUA
2024-10-21,0.0,none,FluA-UEB.csv,FLUA
2024-10-28,0.0,start,FluA-UEB.csv,FLUA
2024-11-04,249070427009.634,start,FluA-UEB.csv,FLUA
2024-11-11,0.0,start,FluA-UEB.csv,FLUA
2024-11-18,0.0,start,FluA-UEB.csv,FLUA
2024-11-25,0.0,start,FluA-UEB.csv,FLUA
2024-12-02,262141978979.111,start,FluA-UEB.csv,FLUA
2024-12-09,498750098614.923,on going,FluA-UEB.csv,FLUA
2024-12-16,1429612777071.61,on going,FluA-UEB.csv,FLUA
2025-01-13,1206622607149.11,on going,FluA-UEB.csv,FLUA
2025-01-20,1111640323341.53,on going,FluA-UEB.csv,FLUA
2025-01-27,1717884516869.82,on going,FluA-UEB.csv,FLUA
2025-02-03,1138241159764.11,on going,FluA-UEB.csv,FLUA
2025-02-10,901766251840.9,on going,FluA-UEB.csv,FLUA
2025-02-17,1593069028326.26,on going,FluA-UEB.csv,FLUA
2025-02-24,470496880000.636,on going,FluA-UEB.csv,FLUA
2025-03-03,325780046888.577,on going,FluA-UEB.csv,FLUA
2025-03-10,259111124859.702,on going,FluA-UEB.csv,FLUA
2025-03-17,236903543944.0,end,FluA-UEB.csv,FLUA
2025-03-24,0.0,end,FluA-UEB.csv,FLUA
2025-03-31,71360297054.3729,end,FluA-UEB.csv,FLUA
2025-04-07,80571666816.8703,end,FluA-UEB.csv,FLUA
2025-04-14,0.0,end,FluA-UEB.csv,FLUA
2025-04-21,126170379673.281,end,FluA-UEB.csv,FLUA
2025-04-28,0.0,end,FluA-UEB.csv,FLUA
2025-05-05,0.0,end,FluA-UEB.csv,FLUA
2025-05-12,0.0,end,FluA-UEB.csv,FLUA
2025-05-19,0.0,none,FluA-UEB.csv,FLUA
2025-05-26,0.0,none,FluA-UEB.csv,FLUA
2025-06-02,0.0,none,FluA-UEB.csv,FLUA
2025-06-09,0.0,none,FluA-UEB.csv,FLUA
2025-06-16,0.0,none,FluA-UEB.csv,FLUA
2025-06-23,65179097960.0723,none,FluA-UEB.csv,FLUA
2024-09-23,0.0,none,FluA-UEB.csv,FLUA
2024-09-30,0.0,none,FluA-UEB.csv,FLUA
2024-10-07,0.0,none,FluA-UEB.csv,FLUA
2024-10-14,0.0,none,FluA-UEB.csv,FLUA
2024-10-21,0.0,none,FluA-UEB.csv,FLUA
2024-10-28,0.0,none,FluA-UEB.csv,FLUA
2024-11-04,249070427009.634,none,FluA-UEB.csv,FLUA
2024-11-11,0.0,none,FluA-UEB.csv,FLUA
2024-11-18,0.0,none,FluA-UEB.csv,FLUA
2024-11-25,0.0,start,FluA-UEB.csv,FLUA
2024-12-02,262141978979.111,start,FluA-UEB.csv,FLUA
2024-12-09,498750098614.923,start,FluA-UEB.csv,FLUA
2024-12-16,1429612777071.61,start,FluA-UEB.csv,FLUA
2025-01-13,1206622607149.11,on going,FluA-UEB.csv,FLUA
2025-01-20,1111640323341.53,on going,FluA-UEB.csv,FLUA
2025-01-27,1717884516869.82,on going,FluA-UEB.csv,FLUA
2025-02-03,1138241159764.11,on going,FluA-UEB.csv,FLUA
2025-02-10,901766251840.9,on going,FluA-UEB.csv,FLUA
2025-02-17,1593069028326.26,on going,FluA-UEB.csv,FLUA
2025-02-24,470496880000.636,on going,FluA-UEB.csv,FLUA
2025-03-03,325780046888.577,on going,FluA-UEB.csv,FLUA
2025-03-10,259111124859.702,on going,FluA-UEB.csv,FLUA
2025-03-17,236903543944.0,end,FluA-UEB.csv,FLUA
2025-03-24,0.0,end,FluA-UEB.csv,FLUA
2025-03-31,71360297054.3729,end,FluA-UEB.csv,FLUA
2025-04-07,80571666816.8703,end,FluA-UEB.csv,FLUA
2025-04-14,0.0,end,FluA-UEB.csv,FLUA
2025-04-21,126170379673.281,end,FluA-UEB.csv,FLUA
2025-04-28,0.0,end,FluA-UEB.csv,FLUA
2025-05-05,0.0,end,FluA-UEB.csv,FLUA
2025-05-12,0.0,none,FluA-UEB.csv,FLUA
2025-05-19,0.0,none,FluA-UEB.csv,FLUA
2025-05-26,0.0,none,FluA-UEB.csv,FLUA
2025-06-02,0.0,none,FluA-UEB.csv,FLUA
2025-06-09,0.0,none,FluA-UEB.csv,FLUA
2025-06-16,0.0,none,FluA-UEB.csv,FLUA
2025-06-23,65179097960.0723,none,FluA-UEB.csv,FLUA
2024-09-23,0.0,none,FluA-UEB.csv,FLUA
2024-09-30,0.0,none,FluA-UEB.csv,FLUA
2024-10-07,0.0,none,FluA-UEB.csv,FLUA
