time,rna_copies,label,filename,virus
2021-10-18,0.0,none,Mov-FluA-SCH.csv,FLUA
2021-10-25,0.0,none,Mov-FluA-SCH.csv,FLUA
2021-11-01,0.0,none,Mov-FluA-SCH.csv,FLUA
2021-11-08,0.0,none,Mov-FluA-SCH.csv,FLUA
2021-11-15,0.0,none,Mov-FluA-SCH.csv,FLUA
2021-11-22,0.0,none,Mov-FluA-SCH.csv,FLUA
2021-11-29,76199492365.853,none,Mov-FluA-SCH.csv,FLUA
2021-12-06,76199492365.853,none,Mov-FluA-SCH.csv,FLUA
2021-12-13,76199492365.853,none,Mov-FluA-SCH.csv,FLUA
2021-12-20,0.0,none,Mov-FluA-SCH.csv,FLUA
2021-12-27,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-01-03,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-01-10,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-01-17,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-01-24,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-01-31,58899110713.598,none,Mov-FluA-SCH.csv,FLUA
2022-02-07,58899110713.598,none,Mov-FluA-SCH.csv,FLUA
2022-02-14,58899110713.598,on going,Mov-FluA-SCH.csv,FLUA
2022-02-21,90274725540.349,on going,Mov-FluA-SCH.csv,FLUA
2022-02-28,90274725540.349,on going,Mov-FluA-SCH.csv,FLUA
2022-03-07,90274725540.349,on going,Mov-FluA-SCH.csv,FLUA
2022-03-14,209680463977.95105,on going,Mov-FluA-SCH.csv,FLUA
2022-03-21,485027341476.825,on going,Mov-FluA-SCH.csv,FLUA
2022-03-28,782688743741.5573,on going,Mov-FluA-SCH.csv,FLUA
2022-04-04,916636563555.5796,on going,Mov-FluA-SCH.csv,FLUA
2022-04-11,641289686056.7057,on going,Mov-FluA-SCH.csv,FLUA
2022-04-18,343628283791.9733,on going,Mov-FluA-SCH.csv,FLUA
2022-04-25,122236709246.511,on going,Mov-FluA-SCH.csv,FLUA
2022-05-02,122236709246.511,on going,Mov-FluA-SCH.csv,FLUA
2022-05-09,122236709246.511,on going,Mov-FluA-SCH.csv,FLUA
2022-05-16,0.0,on going,Mov-FluA-SCH.csv,FLUA
2022-05-23,0.0,on going,Mov-FluA-SCH.csv,FLUA
2022-05-30,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-06-06,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-06-13,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-06-20,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-06-27,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-07-04,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-07-11,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-07-18,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-07-25,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-08-01,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-08-08,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-08-15,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-08-22,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-08-29,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-09-05,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-09-12,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-09-19,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-09-26,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-10-03,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-10-10,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-10-17,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-10-24,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-10-31,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-11-07,0.0,none,Mov-FluA-SCH.csv,FLUA
2022-11-14,0.0,start,Mov-FluA-SCH.csv,FLUA
2022-11-21,78320264404.07433,start,Mov-FluA-SCH.csv,FLUA
2022-11-28,78320264404.07433,start,Mov-FluA-SCH.csv,FLUA
2022-12-05,78320264404.07433,start,Mov-FluA-SCH.csv,FLUA
2022-12-12,151825172686.375,on going,Mov-FluA-SCH.csv,FLUA
2022-12-19,537801762165.3717,on going,Mov-FluA-SCH.csv,FLUA
2022-12-26,806702643248.0575,on going,Mov-FluA-SCH.csv,FLUA
2023-01-02,825591186665.811,on going,Mov-FluA-SCH.csv,FLUA
2023-01-09,246626302447.316,end,Mov-FluA-SCH.csv,FLUA
2023-01-16,164417534964.87735,end,Mov-FluA-SCH.csv,FLUA
2023-01-23,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-01-30,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-02-06,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-02-13,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-02-20,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-02-27,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-03-06,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-03-13,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-03-20,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-03-27,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-04-03,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-04-10,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-04-17,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-04-24,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-05-01,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-05-08,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-05-15,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-05-22,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-05-29,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-06-05,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-06-12,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-06-19,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-06-26,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-07-03,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-07-10,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-07-17,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-07-24,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-07-31,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-08-07,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-08-14,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-08-21,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-08-28,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-09-04,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-09-11,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-09-18,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-09-25,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-10-02,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-10-09,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-10-16,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-10-23,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-10-30,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-11-06,0.0,none,Mov-FluA-SCH.csv,FLUA
2023-11-13,0.0,none,Mov-FluA-SCH.csv,FLUA
