time,rna_copies,label,filename,virus
2020-06-08,0.0,none,Mov-SARS-CoV-BLE.csv,SARS
2020-06-15,0.0,none,Mov-SARS-CoV-BLE.csv,SARS
2020-06-22,0.0,none,Mov-SARS-CoV-BLE.csv,SARS
2020-06-29,131852907591.10168,none,Mov-SARS-CoV-BLE.csv,SARS
2020-07-06,192977022344.842,none,Mov-SARS-CoV-BLE.csv,SARS
2020-07-13,231492243472.15732,none,Mov-SARS-CoV-BLE.csv,SARS
2020-07-20,149459003821.5835,none,Mov-SARS-CoV-BLE.csv,SARS
2020-07-27,145726059589.5775,none,Mov-SARS-CoV-BLE.csv,SARS
2020-08-03,169640440230.601,none,Mov-SARS-CoV-BLE.csv,SARS
2020-08-10,151912674880.4727,none,Mov-SARS-CoV-BLE.csv,SARS
2020-08-17,128514274715.01263,none,Mov-SARS-CoV-BLE.csv,SARS
2020-08-24,97094257701.55576,none,Mov-SARS-CoV-BLE.csv,SARS
2020-08-31,113085624418.12744,none,Mov-SARS-CoV-BLE.csv,SARS
2020-09-07,101742497665.65602,start,Mov-SARS-CoV-BLE.csv,SARS
2020-09-14,136651530399.40729,start,Mov-SARS-CoV-BLE.csv,SARS
2020-09-21,115781681156.8876,start,Mov-SARS-CoV-BLE.csv,SARS
2020-09-28,148473718552.49432,start,Mov-SARS-CoV-BLE.csv,SARS
2020-10-05,118196892557.96028,start,Mov-SARS-CoV-BLE.csv,SARS
2020-10-12,164124790710.42795,start,Mov-SARS-CoV-BLE.csv,SARS
2020-10-19,209491795423.4853,on going,Mov-SARS-CoV-BLE.csv,SARS
2020-10-26,1113814420808.691,on going,Mov-SARS-CoV-BLE.csv,SARS
2020-11-02,2236545901950.739,on going,Mov-SARS-CoV-BLE.csv,SARS
2020-11-09,3033038374316.203,on going,Mov-SARS-CoV-BLE.csv,SARS
2020-11-16,3223510551028.453,on going,Mov-SARS-CoV-BLE.csv,SARS
2020-11-23,2707858539818.0864,on going,Mov-SARS-CoV-BLE.csv,SARS
2020-11-30,2279410505655.0366,on going,Mov-SARS-CoV-BLE.csv,SARS
2020-12-07,2032947790923.2769,on going,Mov-SARS-CoV-BLE.csv,SARS
2020-12-14,1802167315060.7068,on going,Mov-SARS-CoV-BLE.csv,SARS
2020-12-21,1984148705331.9065,on going,Mov-SARS-CoV-BLE.csv,SARS
2020-12-28,1252939620608.4067,on going,Mov-SARS-CoV-BLE.csv,SARS
2021-01-04,851060150367.8336,end,Mov-SARS-CoV-BLE.csv,SARS
2021-01-04,436841329777.9167,end,Mov-SARS-CoV-BLE.csv,SARS
2021-01-11,526528609088.21466,end,Mov-SARS-CoV-BLE.csv,SARS
2021-01-18,757473721711.7367,end,Mov-SARS-CoV-BLE.csv,SARS
2021-01-25,621964198130.8534,end,Mov-SARS-CoV-BLE.csv,SARS
2021-02-01,450248027729.7764,end,Mov-SARS-CoV-BLE.csv,SARS
2021-02-08,280710596634.5493,end,Mov-SARS-CoV-BLE.csv,SARS
2021-02-15,313086890400.52936,end,Mov-SARS-CoV-BLE.csv,SARS
2021-02-22,404491757546.50464,end,Mov-SARS-CoV-BLE.csv,SARS
2021-03-01,462815621945.4121,end,Mov-SARS-CoV-BLE.csv,SARS
2021-03-08,513951809442.74335,end,Mov-SARS-CoV-BLE.csv,SARS
2021-03-15,466486644933.79865,end,Mov-SARS-CoV-BLE.csv,SARS
2021-03-22,371410747534.6236,end,Mov-SARS-CoV-BLE.csv,SARS
2021-03-29,453758749014.78,end,Mov-SARS-CoV-BLE.csv,SARS
2021-04-05,496855549442.0764,end,Mov-SARS-CoV-BLE.csv,SARS
2021-04-12,464491741883.8226,end,Mov-SARS-CoV-BLE.csv,SARS
2021-04-19,271179689057.0037,end,Mov-SARS-CoV-BLE.csv,SARS
2021-04-26,268294518558.099,end,Mov-SARS-CoV-BLE.csv,SARS
2021-05-03,397812562146.281,none,Mov-SARS-CoV-BLE.csv,SARS
2021-05-10,357042370139.753,none,Mov-SARS-CoV-BLE.csv,SARS
2021-05-17,293921826356.036,none,Mov-SARS-CoV-BLE.csv,SARS
2021-05-24,181157555734.73965,none,Mov-SARS-CoV-BLE.csv,SARS
2021-05-31,239098534373.654,none,Mov-SARS-CoV-BLE.csv,SARS
2021-06-07,178510883305.12103,none,Mov-SARS-CoV-BLE.csv,SARS
2021-06-14,156334685455.6977,none,Mov-SARS-CoV-BLE.csv,SARS
2021-06-21,64364984147.3797,none,Mov-SARS-CoV-BLE.csv,SARS
2021-06-28,79429236159.453,none,Mov-SARS-CoV-BLE.csv,SARS
2021-07-05,134645249837.151,none,Mov-SARS-CoV-BLE.csv,SARS
2021-07-12,349508280130.96063,none,Mov-SARS-CoV-BLE.csv,SARS
2021-07-19,482627850062.87897,none,Mov-SARS-CoV-BLE.csv,SARS
2021-07-26,447907073334.24335,none,Mov-SARS-CoV-BLE.csv,SARS
2021-08-02,416832570906.31934,none,Mov-SARS-CoV-BLE.csv,SARS
2021-08-09,376060872470.06537,none,Mov-SARS-CoV-BLE.csv,SARS
2021-08-16,593648272053.231,none,Mov-SARS-CoV-BLE.csv,SARS
2021-08-23,596868178723.6206,none,Mov-SARS-CoV-BLE.csv,SARS
2021-08-30,562175325805.3477,none,Mov-SARS-CoV-BLE.csv,SARS
2021-09-06,544509846355.261,start,Mov-SARS-CoV-BLE.csv,SARS
2021-09-13,836445494427.319,start,Mov-SARS-CoV-BLE.csv,SARS
2021-09-20,843514214247.4357,start,Mov-SARS-CoV-BLE.csv,SARS
2021-09-27,740135415116.1426,start,Mov-SARS-CoV-BLE.csv,SARS
2021-10-04,794587256717.1859,start,Mov-SARS-CoV-BLE.csv,SARS
2021-10-11,1385474187991.9148,start,Mov-SARS-CoV-BLE.csv,SARS
2021-10-18,1407282977101.0603,start,Mov-SARS-CoV-BLE.csv,SARS
2021-10-25,1066780005370.6093,start,Mov-SARS-CoV-BLE.csv,SARS
2021-11-01,501816892710.4237,start,Mov-SARS-CoV-BLE.csv,SARS
2021-11-08,594609677022.4596,start,Mov-SARS-CoV-BLE.csv,SARS
2021-11-15,882777824552.2109,start,Mov-SARS-CoV-BLE.csv,SARS
2021-11-22,1440172197708.0898,start,Mov-SARS-CoV-BLE.csv,SARS
2021-11-29,1774423444490.7566,on going,Mov-SARS-CoV-BLE.csv,SARS
