time,rna_copies,label,filename,virus
2020-05-18,72474710239.13226,none,Mov-SARS-CoV-MER.csv,SARS
2020-05-25,80368160089.36426,none,Mov-SARS-CoV-MER.csv,SARS
2020-06-01,54110266599.73499,none,Mov-SARS-CoV-MER.csv,SARS
2020-06-08,54110266599.73499,none,Mov-SARS-CoV-MER.csv,SARS
2020-06-15,0.0,none,Mov-SARS-CoV-MER.csv,SARS
2020-06-22,0.0,none,Mov-SARS-CoV-MER.csv,SARS
2020-06-29,69571012880.30667,none,Mov-SARS-CoV-MER.csv,SARS
2020-07-06,144400627637.463,none,Mov-SARS-CoV-MER.csv,SARS
2020-07-13,176452739022.96228,none,Mov-SARS-CoV-MER.csv,SARS
2020-07-20,133238959249.1166,none,Mov-SARS-CoV-MER.csv,SARS
2020-07-27,96033820881.55028,none,Mov-SARS-CoV-MER.csv,SARS
2020-08-03,173730858004.44302,none,Mov-SARS-CoV-MER.csv,SARS
2020-08-10,187860215118.199,none,Mov-SARS-CoV-MER.csv,SARS
2020-08-17,217382666486.41968,none,Mov-SARS-CoV-MER.csv,SARS
2020-08-24,128574300929.6512,none,Mov-SARS-CoV-MER.csv,SARS
2020-08-31,113227817611.064,none,Mov-SARS-CoV-MER.csv,SARS
2020-09-07,76081858725.70624,start,Mov-SARS-CoV-MER.csv,SARS
2020-09-14,55141075774.0827,start,Mov-SARS-CoV-MER.csv,SARS
2020-09-21,109328852375.70024,start,Mov-SARS-CoV-MER.csv,SARS
2020-09-28,79327883503.24733,start,Mov-SARS-CoV-MER.csv,SARS
2020-10-05,79327883503.24733,start,Mov-SARS-CoV-MER.csv,SARS
2020-10-12,42775377893.837,start,Mov-SARS-CoV-MER.csv,SARS
2020-10-19,282870948845.832,on going,Mov-SARS-CoV-MER.csv,SARS
2020-10-26,865516701459.9886,on going,Mov-SARS-CoV-MER.csv,SARS
2020-11-02,2670151853042.185,on going,Mov-SARS-CoV-MER.csv,SARS
2020-11-09,3354691376195.07,on going,Mov-SARS-CoV-MER.csv,SARS
2020-11-16,4365935440773.4434,on going,Mov-SARS-CoV-MER.csv,SARS
2020-11-23,3407862252318.177,on going,Mov-SARS-CoV-MER.csv,SARS
2020-11-30,3428786080656.04,on going,Mov-SARS-CoV-MER.csv,SARS
2020-12-07,2773609311055.803,on going,Mov-SARS-CoV-MER.csv,SARS
2020-12-14,2317605078836.033,on going,Mov-SARS-CoV-MER.csv,SARS
2020-12-21,1885605816882.1035,on going,Mov-SARS-CoV-MER.csv,SARS
