time,rna_copies,label,filename,virus
2020-06-15,0.0,none,Mov-SARS-CoV-UEB.csv,SARS
2020-06-22,0.0,none,Mov-SARS-CoV-UEB.csv,SARS
2020-06-29,86734349099.1235,none,Mov-SARS-CoV-UEB.csv,SARS
2020-07-06,173468698198.247,none,Mov-SARS-CoV-UEB.csv,SARS
2020-07-13,131696371250.92706,none,Mov-SARS-CoV-UEB.csv,SARS
2020-07-20,66572426287.0444,none,Mov-SARS-CoV-UEB.csv,SARS
2020-07-27,63960841139.041405,none,Mov-SARS-CoV-UEB.csv,SARS
2020-08-03,33986159704.50569,none,Mov-SARS-CoV-UEB.csv,SARS
2020-08-10,42885911407.87843,none,Mov-SARS-CoV-UEB.csv,SARS
2020-08-17,154853348321.44897,none,Mov-SARS-CoV-UEB.csv,SARS
2020-08-24,154853348321.44897,none,Mov-SARS-CoV-UEB.csv,SARS
2020-08-31,131546660527.91566,none,Mov-SARS-CoV-UEB.csv,SARS
2020-09-07,41253027309.768,start,Mov-SARS-CoV-UEB.csv,SARS
2020-09-14,63742837270.40693,start,Mov-SARS-CoV-UEB.csv,SARS
2020-09-21,85449858129.90843,start,Mov-SARS-CoV-UEB.csv,SARS
2020-09-28,85221646232.8661,start,Mov-SARS-CoV-UEB.csv,SARS
2020-10-05,109913206882.28918,start,Mov-SARS-CoV-UEB.csv,SARS
2020-10-12,161079070512.499,start,Mov-SARS-CoV-UEB.csv,SARS
2020-10-19,241427317864.724,on going,Mov-SARS-CoV-UEB.csv,SARS
2020-10-26,634272444503.0519,on going,Mov-SARS-CoV-UEB.csv,SARS
2020-11-02,1605283662601.5242,on going,Mov-SARS-CoV-UEB.csv,SARS
2020-11-09,2382823621093.717,on going,Mov-SARS-CoV-UEB.csv,SARS
2020-11-16,3545143577374.1367,on going,Mov-SARS-CoV-UEB.csv,SARS
2020-11-23,2989368761241.7563,on going,Mov-SARS-CoV-UEB.csv,SARS
2020-11-30,2617329523678.69,on going,Mov-SARS-CoV-UEB.csv,SARS
2020-12-07,1383011710394.9932,on going,Mov-SARS-CoV-UEB.csv,SARS
2020-12-14,1421211095109.1736,on going,Mov-SARS-CoV-UEB.csv,SARS
2020-12-21,1155692068216.5107,on going,Mov-SARS-CoV-UEB.csv,SARS
2020-12-28,945128520814.5488,on going,Mov-SARS-CoV-UEB.csv,SARS
2021-01-04,628229774466.8479,end,Mov-SARS-CoV-UEB.csv,SARS
2021-01-04,452279817149.779,end,Mov-SARS-CoV-UEB.csv,SARS
2021-01-11,330847581064.14453,end,Mov-SARS-CoV-UEB.csv,SARS
2021-01-18,300458766762.8594,end,Mov-SARS-CoV-UEB.csv,SARS
2021-01-25,213485608278.155,end,Mov-SARS-CoV-UEB.csv,SARS
2021-02-01,214282293283.4224,end,Mov-SARS-CoV-UEB.csv,SARS
2021-02-08,305342832079.42096,end,Mov-SARS-CoV-UEB.csv,SARS
2021-02-15,392398860318.5417,end,Mov-SARS-CoV-UEB.csv,SARS
2021-02-22,434445651238.6653,end,Mov-SARS-CoV-UEB.csv,SARS
2021-03-01,587427318009.1664,end,Mov-SARS-CoV-UEB.csv,SARS
2021-03-08,636887698081.5817,end,Mov-SARS-CoV-UEB.csv,SARS
2021-03-15,706564832273.7543,end,Mov-SARS-CoV-UEB.csv,SARS
2021-03-22,599470694699.1119,end,Mov-SARS-CoV-UEB.csv,SARS
2021-03-29,540384161123.3369,end,Mov-SARS-CoV-UEB.csv,SARS
2021-04-05,458704632061.37305,end,Mov-SARS-CoV-UEB.csv,SARS
2021-04-12,310607036213.7587,end,Mov-SARS-CoV-UEB.csv,SARS
2021-04-19,454257644997.9866,end,Mov-SARS-CoV-UEB.csv,SARS
2021-04-26,421816616385.9797,end,Mov-SARS-CoV-UEB.csv,SARS
2021-05-03,402363309763.5633,none,Mov-SARS-CoV-UEB.csv,SARS
2021-05-10,186575002044.81503,none,Mov-SARS-CoV-UEB.csv,SARS
2021-05-17,236168220525.4564,none,Mov-SARS-CoV-UEB.csv,SARS
