time,rna_copies,label,filename,virus
2020-05-18,0.0,none,SARS-CoV-BET.csv,SARS
2020-05-25,0.0,none,SARS-CoV-BET.csv,SARS
2020-06-01,0.0,none,SARS-CoV-BET.csv,SARS
2020-06-08,0.0,none,SARS-CoV-BET.csv,SARS
2020-06-15,0.0,none,SARS-CoV-BET.csv,SARS
2020-06-22,0.0,none,SARS-CoV-BET.csv,SARS
2020-06-29,183669158592.418,none,SARS-CoV-BET.csv,SARS
2020-07-06,105949229188.846,none,SARS-CoV-BET.csv,SARS
2020-07-13,155884007386.624,none,SARS-CoV-BET.csv,SARS
2020-07-20,628241875011.806,none,SARS-CoV-BET.csv,SARS
2020-07-27,380843090387.127,none,SARS-CoV-BET.csv,SARS
2020-08-03,398112065653.083,none,SARS-CoV-BET.csv,SARS
2020-08-10,591543374203.127,none,SARS-CoV-BET.csv,SARS
2020-08-17,355796595207.598,none,SARS-CoV-BET.csv,SARS
2020-08-24,147173547820.505,none,SARS-CoV-BET.csv,SARS
2020-08-31,82603592930.3417,none,SARS-CoV-BET.csv,SARS
2020-09-07,60301410692.9982,start,SARS-CoV-BET.csv,SARS
2020-09-14,250972289472.083,start,SARS-CoV-BET.csv,SARS
2020-09-21,229174237489.362,start,SARS-CoV-BET.csv,SARS
2020-09-28,192572610984.755,start,SARS-CoV-BET.csv,SARS
2020-10-05,279163823689.638,start,SARS-CoV-BET.csv,SARS
2020-10-12,311462064627.988,start,SARS-CoV-BET.csv,SARS
2020-10-26,1734530560835.77,on going,SARS-CoV-BET.csv,SARS
2020-11-02,3320821175386.48,on going,SARS-CoV-BET.csv,SARS
2020-11-09,6739812775731.85,on going,SARS-CoV-BET.csv,SARS
2020-11-16,4641492165880.18,on going,SARS-CoV-BET.csv,SARS
2020-11-23,3132717258144.81,on going,SARS-CoV-BET.csv,SARS
2020-11-30,2511963755222.67,on going,SARS-CoV-BET.csv,SARS
2020-12-07,1536015507064.48,on going,SARS-CoV-BET.csv,SARS
2020-12-14,1281332264720.99,on going,SARS-CoV-BET.csv,SARS
2020-12-21,1516728388378.73,on going,SARS-CoV-BET.csv,SARS
2020-12-28,550585861642.152,on going,SARS-CoV-BET.csv,SARS
2021-01-04,332932764965.845,end,SARS-CoV-BET.csv,SARS
2021-01-04,496195781028.711,end,SARS-CoV-BET.csv,SARS
2021-01-11,633426938443.511,end,SARS-CoV-BET.csv,SARS
2021-01-18,287044251912.296,end,SARS-CoV-BET.csv,SARS
2021-01-25,358077267514.263,end,SARS-CoV-BET.csv,SARS
2021-02-01,0.0,end,SARS-CoV-BET.csv,SARS
2021-02-08,442761259517.723,end,SARS-CoV-BET.csv,SARS
2021-02-15,276882010903.008,end,SARS-CoV-BET.csv,SARS
2021-02-22,882397402872.654,end,SARS-CoV-BET.csv,SARS
2021-03-01,908192924044.787,end,SARS-CoV-BET.csv,SARS
2021-03-08,628859770887.452,end,SARS-CoV-BET.csv,SARS
2021-03-15,819109997600.404,end,SARS-CoV-BET.csv,SARS
2021-03-22,462422896294.436,end,SARS-CoV-BET.csv,SARS
2021-03-29,1497587412882.94,end,SARS-CoV-BET.csv,SARS
2021-04-05,874294716299.602,end,SARS-CoV-BET.csv,SARS
2021-04-12,202724822208.014,end,SARS-CoV-BET.csv,SARS
2021-04-19,970436358727.59,end,SARS-CoV-BET.csv,SARS
2021-04-26,511120724030.968,end,SARS-CoV-BET.csv,SARS
2021-05-03,721777872871.302,none,SARS-CoV-BET.csv,SARS
2021-05-10,532789079117.927,none,SARS-CoV-BET.csv,SARS
2021-05-17,193924576238.33,none,SARS-CoV-BET.csv,SARS
2021-05-24,303317400812.682,none,SARS-CoV-BET.csv,SARS
2021-05-31,223915469161.616,none,SARS-CoV-BET.csv,SARS
2021-06-07,236369402632.648,none,SARS-CoV-BET.csv,SARS
2021-06-14,65163238615.8782,none,SARS-CoV-BET.csv,SARS
2021-06-21,0.0,none,SARS-CoV-BET.csv,SARS
2021-06-28,433264432415.692,none,SARS-CoV-BET.csv,SARS
2021-07-05,723940337011.536,none,SARS-CoV-BET.csv,SARS
2021-07-12,308152925163.569,none,SARS-CoV-BET.csv,SARS
2021-07-19,814089782142.13,none,SARS-CoV-BET.csv,SARS
2021-07-26,243523912150.034,none,SARS-CoV-BET.csv,SARS
2021-08-02,394499223332.873,none,SARS-CoV-BET.csv,SARS
2021-08-09,683212639825.309,none,SARS-CoV-BET.csv,SARS
2021-08-16,293299978250.38,none,SARS-CoV-BET.csv,SARS
2021-08-23,437844385247.639,none,SARS-CoV-BET.csv,SARS
2021-08-30,772377576592.471,none,SARS-CoV-BET.csv,SARS
2021-09-06,1391965160123.07,start,SARS-CoV-BET.csv,SARS
2021-09-13,2037419445215.75,start,SARS-CoV-BET.csv,SARS
2021-09-20,529856411633.268,start,SARS-CoV-BET.csv,SARS
2021-09-27,606966211966.753,start,SARS-CoV-BET.csv,SARS
2021-10-04,117330968614.974,start,SARS-CoV-BET.csv,SARS
2021-10-11,1410703046910.55,start,SARS-CoV-BET.csv,SARS
2021-10-18,1978738247579.24,start,SARS-CoV-BET.csv,SARS
2021-10-25,2042104215371.13,start,SARS-CoV-BET.csv,SARS
2021-11-01,1331372695768.53,start,SARS-CoV-BET.csv,SARS
2021-11-08,2403677531664.77,start,SARS-CoV-BET.csv,SARS
2021-11-15,1793701710824.32,start,SARS-CoV-BET.csv,SARS
2021-11-22,4285888004898.56,start,SARS-CoV-BET.csv,SARS
2021-11-29,2543437928855.82,on going,SARS-CoV-BET.csv,SARS
2021-12-06,2233744857683.23,on going,SARS-CoV-BET.csv,SARS
2021-12-13,2457920550880.08,on going,SARS-CoV-BET.csv,SARS
2021-12-20,4630537111071.07,on going,SARS-CoV-BET.csv,SARS
2022-01-03,8092741882826.96,on going,SARS-CoV-BET.csv,SARS
2022-01-10,4169591951311.85,on going,SARS-CoV-BET.csv,SARS
2022-01-17,8604875010694.76,on going,SARS-CoV-BET.csv,SARS
2022-01-24,5034136646461.8,on going,SARS-CoV-BET.csv,SARS
2022-01-31,5368036222665.08,on going,SARS-CoV-BET.csv,SARS
2022-02-07,2153675723239.92,on going,SARS-CoV-BET.csv,SARS
2022-02-14,2269507358728.81,on going,SARS-CoV-BET.csv,SARS
2022-02-21,997980520978.113,on going,SARS-CoV-BET.csv,SARS
2022-02-28,2160969125401.57,end,SARS-CoV-BET.csv,SARS
2022-03-07,1416725845390.22,on going,SARS-CoV-BET.csv,SARS
2022-03-14,5611329061831.67,on going,SARS-CoV-BET.csv,SARS
2022-03-21,3862991703541.9,on going,SARS-CoV-BET.csv,SARS
2022-03-28,6764167901170.93,on going,SARS-CoV-BET.csv,SARS
2022-04-04,3566197543164.41,on going,SARS-CoV-BET.csv,SARS
2022-04-11,4736339729421.6,on going,SARS-CoV-BET.csv,SARS
2022-04-18,2785960175955.79,on going,SARS-CoV-BET.csv,SARS
2022-04-25,1948075224505.01,end,SARS-CoV-BET.csv,SARS
2022-05-02,2122763105848.74,end,SARS-CoV-BET.csv,SARS
2022-05-09,2555852005603.12,end,SARS-CoV-BET.csv,SARS
2022-05-16,2023161451562.08,end,SARS-CoV-BET.csv,SARS
2022-05-23,1039457700637.45,start,SARS-CoV-BET.csv,SARS
2022-05-30,2272028591726.91,start,SARS-CoV-BET.csv,SARS
2022-06-06,3997842234675.43,on going,SARS-CoV-BET.csv,SARS
2022-06-13,5269610171027.71,on going,SARS-CoV-BET.csv,SARS
2022-06-20,4736531662741.1,on going,SARS-CoV-BET.csv,SARS
2022-06-27,4808690535301.76,on going,SARS-CoV-BET.csv,SARS
2022-07-04,6174225219488.87,on going,SARS-CoV-BET.csv,SARS
2022-07-11,5954648476930.17,on going,SARS-CoV-BET.csv,SARS
2022-07-18,1652293625446.76,on going,SARS-CoV-BET.csv,SARS
2022-07-25,1145422104522.68,on going,SARS-CoV-BET.csv,SARS
2022-08-01,1820980235312.51,end,SARS-CoV-BET.csv,SARS
2022-08-08,340305015356.423,end,SARS-CoV-BET.csv,SARS
2022-08-15,353856366640.034,end,SARS-CoV-BET.csv,SARS
2022-08-22,145287137647.151,end,SARS-CoV-BET.csv,SARS
2022-08-29,305086059256.036,end,SARS-CoV-BET.csv,SARS
2022-09-05,2702892298249.68,start,SARS-CoV-BET.csv,SARS
2022-09-12,1695042245403.88,start,SARS-CoV-BET.csv,SARS
2022-09-19,2723415653407.01,start,SARS-CoV-BET.csv,SARS
2022-09-26,2618641195151.05,start,SARS-CoV-BET.csv,SARS
2022-10-03,1449297219105.22,on going,SARS-CoV-BET.csv,SARS
2022-10-10,8221671890118.25,on going,SARS-CoV-BET.csv,SARS
2022-10-17,638517298277.898,on going,SARS-CoV-BET.csv,SARS
2022-10-24,3604465393041.19,on going,SARS-CoV-BET.csv,SARS
2022-10-31,2480158711018.27,on going,SARS-CoV-BET.csv,SARS
2022-11-07,2346043264382.76,on going,SARS-CoV-BET.csv,SARS
2022-11-14,372450583085.328,on going,SARS-CoV-BET.csv,SARS
2022-11-21,2135579150881.65,on going,SARS-CoV-BET.csv,SARS
2022-11-28,2616176741169.26,on going,SARS-CoV-BET.csv,SARS
2022-12-05,1119121328244.4,on going,SARS-CoV-BET.csv,SARS
2022-12-12,2695463574875.97,on going,SARS-CoV-BET.csv,SARS
2022-12-19,602488628176.83,on going,SARS-CoV-BET.csv,SARS
