time,rna_copies,label,filename,virus
2020-05-04,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-05-11,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-05-18,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-05-25,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-06-01,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-06-08,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-06-15,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-06-22,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-06-29,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-07-06,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-07-13,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-07-20,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-07-27,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-08-03,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-08-10,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-08-17,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-08-24,-0.0017064977160962,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-08-31,-0.0047403859785837,none,SARS-CoV-BOE_slope_5.csv,SARS
2020-09-07,-0.0062573301098274,start,SARS-CoV-BOE_slope_5.csv,SARS
2020-09-14,-0.0062573301098274,start,SARS-CoV-BOE_slope_5.csv,SARS
2020-09-21,-0.0047403859785837,start,SARS-CoV-BOE_slope_5.csv,SARS
2020-09-28,0.0025826200483426,start,SARS-CoV-BOE_slope_5.csv,SARS
2020-10-05,0.0004380611661232,start,SARS-CoV-BOE_slope_5.csv,SARS
2020-10-12,0.0012085637248691,start,SARS-CoV-BOE_slope_5.csv,SARS
2020-10-19,0.0147098281459298,on going,SARS-CoV-BOE_slope_5.csv,SARS
2020-10-26,0.0619498091856968,on going,SARS-CoV-BOE_slope_5.csv,SARS
2020-11-02,0.050612192610206,on going,SARS-CoV-BOE_slope_5.csv,SARS
2020-11-09,0.0754195178893334,on going,SARS-CoV-BOE_slope_5.csv,SARS
2020-11-16,0.0247193944033759,on going,SARS-CoV-BOE_slope_5.csv,SARS
2020-11-23,0.0066980981910443,on going,SARS-CoV-BOE_slope_5.csv,SARS
2020-11-30,0.0106533638819197,on going,SARS-CoV-BOE_slope_5.csv,SARS
2020-12-07,0.0112279236395991,on going,SARS-CoV-BOE_slope_5.csv,SARS
2020-12-14,0.0009785562137519,on going,SARS-CoV-BOE_slope_5.csv,SARS
2020-12-21,-0.0480597048343443,on going,SARS-CoV-BOE_slope_5.csv,SARS
2020-12-28,-0.0599998459994888,on going,SARS-CoV-BOE_slope_5.csv,SARS
2021-01-04,-0.0800482719392366,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-01-04,-0.0268436119696476,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-01-11,-0.0304714494367826,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-01-18,0.0049081858665555,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-01-25,-0.0034598572336489,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-02-01,-0.0090166486880174,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-02-08,-0.0108296827140307,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-02-15,-0.0168668698899629,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-02-22,0.0077554143455599,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-03-01,0.0057478745879159,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-03-08,-0.000648606941343,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-03-15,-0.0051089652532622,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-03-22,0.0408679014620052,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-03-29,0.0386074764400395,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-04-05,0.0204437988004399,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-04-12,-0.014338807907541,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-04-19,-0.0376114219844046,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-04-26,-0.0112457073747392,end,SARS-CoV-BOE_slope_5.csv,SARS
2021-05-03,-0.0034449838279838,none,SARS-CoV-BOE_slope_5.csv,SARS
2021-05-10,0.0007727223337864,none,SARS-CoV-BOE_slope_5.csv,SARS
2021-05-17,-0.0180284869087577,none,SARS-CoV-BOE_slope_5.csv,SARS
