time,rna_copies,label,filename,virus
2020-05-04,138650450248.509,none,SARS-CoV-MER.csv,SARS
2020-05-11,78773680468.8878,none,SARS-CoV-MER.csv,SARS
2020-05-18,0.0,none,SARS-CoV-MER.csv,SARS
2020-05-25,162330799799.205,none,SARS-CoV-MER.csv,SARS
2020-06-01,0.0,none,SARS-CoV-MER.csv,SARS
2020-06-08,0.0,none,SARS-CoV-MER.csv,SARS
2020-06-15,0.0,none,SARS-CoV-MER.csv,SARS
2020-06-22,0.0,none,SARS-CoV-MER.csv,SARS
2020-06-29,208713038640.92,none,SARS-CoV-MER.csv,SARS
2020-07-06,224488844271.469,none,SARS-CoV-MER.csv,SARS
2020-07-13,96156334156.4978,none,SARS-CoV-MER.csv,SARS
2020-07-20,79071699319.383,none,SARS-CoV-MER.csv,SARS
2020-07-27,112873429168.77,none,SARS-CoV-MER.csv,SARS
2020-08-03,329247445525.176,none,SARS-CoV-MER.csv,SARS
2020-08-10,121459770660.651,none,SARS-CoV-MER.csv,SARS
2020-08-17,201440783273.432,none,SARS-CoV-MER.csv,SARS
2020-08-24,62822348854.8706,none,SARS-CoV-MER.csv,SARS
2020-08-31,75420320704.8894,none,SARS-CoV-MER.csv,SARS
2020-09-07,90002906617.3587,start,SARS-CoV-MER.csv,SARS
2020-09-14,0.0,start,SARS-CoV-MER.csv,SARS
2020-09-21,237983650509.742,start,SARS-CoV-MER.csv,SARS
2020-09-28,0.0,start,SARS-CoV-MER.csv,SARS
2020-10-05,0.0,start,SARS-CoV-MER.csv,SARS
2020-10-12,128326133681.511,start,SARS-CoV-MER.csv,SARS
2020-10-19,720286712855.985,on going,SARS-CoV-MER.csv,SARS
2020-10-26,1747937257842.47,on going,SARS-CoV-MER.csv,SARS
2020-11-02,5542231588428.1,on going,SARS-CoV-MER.csv,SARS
2020-11-09,2773905282314.64,on going,SARS-CoV-MER.csv,SARS
2020-11-16,4781669451577.59,on going,SARS-CoV-MER.csv,SARS
2020-11-23,2668012023062.3,on going,SARS-CoV-MER.csv,SARS
2020-11-30,2836676767328.23,on going,SARS-CoV-MER.csv,SARS
2020-12-07,2816139142776.88,on going,SARS-CoV-MER.csv,SARS
2020-12-14,1299999326402.99,on going,SARS-CoV-MER.csv,SARS
2020-12-21,1540678981466.44,on going,SARS-CoV-MER.csv,SARS
2020-12-28,1886232797792.0,on going,SARS-CoV-MER.csv,SARS
2021-01-04,217935096312.185,end,SARS-CoV-MER.csv,SARS
2021-01-04,174850489005.53,end,SARS-CoV-MER.csv,SARS
2021-01-11,376999590073.944,end,SARS-CoV-MER.csv,SARS
2021-01-18,136332314650.018,end,SARS-CoV-MER.csv,SARS
2021-01-25,136695165635.978,end,SARS-CoV-MER.csv,SARS
2021-02-01,230445892466.285,end,SARS-CoV-MER.csv,SARS
2021-02-08,291811992145.823,end,SARS-CoV-MER.csv,SARS
2021-02-15,270627453648.259,end,SARS-CoV-MER.csv,SARS
2021-02-22,581279513587.156,end,SARS-CoV-MER.csv,SARS
2021-03-01,1057216307820.42,end,SARS-CoV-MER.csv,SARS
2021-03-08,454296678929.254,end,SARS-CoV-MER.csv,SARS
2021-03-15,421455696763.928,end,SARS-CoV-MER.csv,SARS
2021-03-22,578954998796.453,end,SARS-CoV-MER.csv,SARS
2021-03-29,1418428694092.52,end,SARS-CoV-MER.csv,SARS
2021-04-05,583470120955.066,end,SARS-CoV-MER.csv,SARS
2021-04-12,119970123589.143,end,SARS-CoV-MER.csv,SARS
2021-04-19,163305909810.408,end,SARS-CoV-MER.csv,SARS
2021-04-26,59523612064.7858,end,SARS-CoV-MER.csv,SARS
2021-05-03,85580125616.1836,none,SARS-CoV-MER.csv,SARS
2021-05-10,102394652648.789,none,SARS-CoV-MER.csv,SARS
2021-05-17,171330666259.696,none,SARS-CoV-MER.csv,SARS
2021-05-24,61760951402.8713,none,SARS-CoV-MER.csv,SARS
2021-05-31,64767343650.6163,none,SARS-CoV-MER.csv,SARS
2021-06-07,65723759529.9425,none,SARS-CoV-MER.csv,SARS
2021-06-14,46406281261.6312,none,SARS-CoV-MER.csv,SARS
2021-06-21,100885530734.152,none,SARS-CoV-MER.csv,SARS
2021-06-28,315957199861.524,none,SARS-CoV-MER.csv,SARS
2021-07-05,146373733678.194,none,SARS-CoV-MER.csv,SARS
2021-07-12,220451209681.914,none,SARS-CoV-MER.csv,SARS
2021-07-19,131083017068.05,none,SARS-CoV-MER.csv,SARS
2021-07-26,157103332013.924,none,SARS-CoV-MER.csv,SARS
2021-08-02,138473575316.913,none,SARS-CoV-MER.csv,SARS
2021-08-09,158700765955.68,none,SARS-CoV-MER.csv,SARS
2021-08-16,166355865498.154,none,SARS-CoV-MER.csv,SARS
2021-08-23,197400804747.527,none,SARS-CoV-MER.csv,SARS
2021-08-30,647358817114.056,none,SARS-CoV-MER.csv,SARS
2021-09-06,615805887794.994,start,SARS-CoV-MER.csv,SARS
2021-09-13,276348087137.373,start,SARS-CoV-MER.csv,SARS
2021-09-20,198220106805.571,start,SARS-CoV-MER.csv,SARS
2021-09-27,446106231804.731,start,SARS-CoV-MER.csv,SARS
2021-10-04,735394525240.625,start,SARS-CoV-MER.csv,SARS
2021-10-11,444531478689.219,start,SARS-CoV-MER.csv,SARS
2021-10-18,848784707034.765,start,SARS-CoV-MER.csv,SARS
2021-10-25,964730434125.862,start,SARS-CoV-MER.csv,SARS
2021-11-01,937454164109.093,start,SARS-CoV-MER.csv,SARS
2021-11-08,1684842265178.11,start,SARS-CoV-MER.csv,SARS
2021-11-15,1409898804087.43,start,SARS-CoV-MER.csv,SARS
2021-11-22,2782289510893.3,start,SARS-CoV-MER.csv,SARS
2021-11-29,1976084870003.08,on going,SARS-CoV-MER.csv,SARS
