time,rna_copies,label,filename,virus
2020-04-27,-0.0027602473427651,none,SARS-CoV-MER_slope_4.csv,SARS
2020-05-04,-0.0027602473427651,none,SARS-CoV-MER_slope_4.csv,SARS
2020-05-11,-0.0075948082018914,none,SARS-CoV-MER_slope_4.csv,SARS
2020-05-18,-0.0155666607795024,none,SARS-CoV-MER_slope_4.csv,SARS
2020-05-25,-0.0029683629957255,none,SARS-CoV-MER_slope_4.csv,SARS
2020-06-01,-0.0047516168802852,none,SARS-CoV-MER_slope_4.csv,SARS
2020-06-08,-0.0071292100964807,none,SARS-CoV-MER_slope_4.csv,SARS
2020-06-15,-0.0158671356039118,none,SARS-CoV-MER_slope_4.csv,SARS
2020-06-22,-0.0027602473427651,none,SARS-CoV-MER_slope_4.csv,SARS
2020-06-29,0.0140916284534157,none,SARS-CoV-MER_slope_4.csv,SARS
2020-07-06,0.0209826880369935,none,SARS-CoV-MER_slope_4.csv,SARS
2020-07-13,0.0054281816937738,none,SARS-CoV-MER_slope_4.csv,SARS
2020-07-20,-0.0166816627986815,none,SARS-CoV-MER_slope_4.csv,SARS
2020-07-27,-0.012232096857082,none,SARS-CoV-MER_slope_4.csv,SARS
2020-08-03,0.0169696970304563,none,SARS-CoV-MER_slope_4.csv,SARS
2020-08-10,0.0064857228296545,none,SARS-CoV-MER_slope_4.csv,SARS
2020-08-17,-0.0012015425129736,none,SARS-CoV-MER_slope_4.csv,SARS
2020-08-24,-0.0221192963390147,none,SARS-CoV-MER_slope_4.csv,SARS
2020-08-31,-0.0102083268484622,none,SARS-CoV-MER_slope_4.csv,SARS
2020-09-07,-0.0114188859334954,start,SARS-CoV-MER_slope_4.csv,SARS
2020-09-14,-0.0074401647273824,start,SARS-CoV-MER_slope_4.csv,SARS
2020-09-21,0.0079430822442505,start,SARS-CoV-MER_slope_4.csv,SARS
2020-09-28,-0.0036221684034319,start,SARS-CoV-MER_slope_4.csv,SARS
2020-10-05,-0.0091653270094484,start,SARS-CoV-MER_slope_4.csv,SARS
2020-10-12,-0.0116141975594847,start,SARS-CoV-MER_slope_4.csv,SARS
2020-10-19,0.058850793643579,on going,SARS-CoV-MER_slope_4.csv,SARS
2020-10-26,0.1543034280635969,on going,SARS-CoV-MER_slope_4.csv,SARS
2020-11-02,0.4620266008707849,on going,SARS-CoV-MER_slope_4.csv,SARS
2020-11-09,0.2651721461504757,on going,SARS-CoV-MER_slope_4.csv,SARS
2020-11-16,0.1676822958481318,on going,SARS-CoV-MER_slope_4.csv,SARS
2020-11-23,-0.1807931766651407,on going,SARS-CoV-MER_slope_4.csv,SARS
2020-11-30,-0.054578828595633,on going,SARS-CoV-MER_slope_4.csv,SARS
2020-12-07,-0.1569213564898891,on going,SARS-CoV-MER_slope_4.csv,SARS
2020-12-14,-0.1137688648937665,on going,SARS-CoV-MER_slope_4.csv,SARS
